col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
Blaby / South Leics (2010),"Nigel Lawson, Baron Lawson of Blaby",Lawson,"Andrew Robert George Robathan, Baron Robathan","Andrew Robert George Robathan, Baron Robathan","Andrew Robert George Robathan, Baron Robathan",Andrew Robert George Robathan,"Andrew Robert George Robathan, Baron Robathan",Andrew Robert George Robathan,"Andrew Robert George Robathan, Baron Robathan",Costa,Costa,Costa,Alberto Castrenze Costa,Alberto Castrenze Costa,Costa,Costa,Costa
Bosworth / Hinckley & Bosworth (2024),Butler,Tredinnick,David Arthur Stephen Tredinnick,Tredinnick,Tredinnick,David Arthur Stephen Tredinnick,Tredinnick,Tredinnick,Tredinnick,David Arthur Stephen Tredinnick,David Arthur Stephen Tredinnick,Evans,Evans,Evans,Luke Morgan Evans,Evans,Evans
"Harborough / H., Oadby & Wigston ('24)",Farr,Farr,Garnier,Sir Edward Henry Garnier,"Edward Henry Garnier, Baron Garnier",Garnier,Sir Edward Henry Garnier,Garnier,Sir Edward Henry Garnier,Garnier,O'Brien,O'Brien,O'Brien,O'Brien,O'Brien,O'Brien,O'Brien
Leicester East,Bruinvels,Vaz,Vaz,Vaz,Nigel Keith Anthony Standish Vaz,Vaz,Vaz,Vaz,Vaz,Nigel Keith Anthony Standish Vaz,Vaz,Webbe,→,→,→,→,Raja
Leicester South,Spencer,Marshall,Marshall,Marshall,Marshall,Gill,Soulsby,Soulsby,Ashworth,Ashworth,Ashworth,Ashworth,Ashworth,Ashworth,Ashworth,Ashworth,Adam
Leicester West,"Greville Ewan Janner, Baron Janner of Braunstone",G. Janner,"Greville Ewan Janner, Baron Janner of Braunstone",Patricia Hope Hewitt,Hewitt,Patricia Hope Hewitt,Hewitt,Elizabeth Louise Kendall,Elizabeth Louise Kendall,Kendall,Elizabeth Louise Kendall,Kendall,Elizabeth Louise Kendall,Kendall,Elizabeth Louise Kendall,Elizabeth Louise Kendall,Elizabeth Louise Kendall
Loughborough,Dorrell,Dorrell,Dorrell,Reed,Reed,Andrew John Reed,Reed,Morgan,Morgan,Morgan,Morgan,Hunt,Hunt,Hunt,Jane Marion Hunt,Hunt,Sandher
Rutland & Melton / R. & Stamford ('24) 1,Latham,Sir Michael Anthony Latham,Duncan,Duncan,Duncan,Duncan,Duncan,Sir Alan James Carter Duncan,Sir Alan James Carter Duncan,Sir Alan James Carter Duncan,Duncan,Kearns,Kearns,Alicia Alexandra Martha Kearns,Kearns,Alicia Alexandra Martha Kearns,Kearns
North West Leicestershire,David Glynn Ashby,David Glynn Ashby,David Glynn Ashby,Taylor,Taylor,Taylor,Taylor,Andrew James Bridgen,Bridgen,Bridgen,Bridgen,Andrew James Bridgen,Andrew James Bridgen,Andrew James Bridgen,→,→,Hack
Charnwood / Mid Leicestershire (2024),,,,Dorrell,Stephen James Dorrell,Stephen James Dorrell,Dorrell,Dorrell,Stephen James Dorrell,Argar,Argar,Argar,Argar,Argar,Argar,Argar,Bedford
