col0,col1,col2,col3,col4
1981    (39th),Mickey Rooney,"William ""Bill"" Sackter",Bill,Tiffany Network
1981    (39th),Dirk Bogarde,Roald Dahl,The Patricia Neal Story,CBS
1981    (39th),Timothy Hutton,Donald Branch Booth,A Long Way Home,ABC
1981    (39th),David Daniel Kaminsky,Max Feldman,Skokie,CBS
1981    (39th),Peter O'Toole,Lucius Flavius Silva,Masada,ABC
1981    (39th),Ray Sharkey,Bill Carney,The Ordeal of Bill Carney,Black Rock
1981    (39th),Peter Strauss,Eleazar Ben Yair,Masada,ABC
1982    (40th),Anthony Andrews,Sebastian Flyte,Brideshead Revisited,PBS
1982    (40th),Philip Anglim,John Merrick,The Elephant Man,ABC
1982    (40th),Robby Benson,Nolie Minor,Two of a Kind,Tiffany Network
1982    (40th),Jeremy Irons,Charles Ryder,Brideshead Revisited,PBS
1982    (40th),Sam Waterston,J. Robert Oppenheimer,Oppenheimer,PBS
1983    (41st),Richard Chamberlain,Ralph de Bricassart,The Thorn Birds,ABC
1983    (41st),Robert Blake,James R. Hoffa,Blood Feud,Syndicated
1983    (41st),Louis Gossett Jr.,Anwar al-Sadat,Sadat,OPT
1983    (41st),Martin Sheen,John F. Kennedy,Kennedy,NBC
1983    (41st),Peter Strauss,Emory,Heart of Steel,ABC
1984    (42nd),Ted Danson,Steven Bennett,Something About Amelia,ABC
1984    (42nd),James Garner,Harold Lear,Heartsounds,ABC
1984    (42nd),Sam Neill,Sidney Reilly,"Reilly, Ace of Spies",PBS
1984    (42nd),Jason Robards,Andrei Sakharov,Sakharov,HBO
1984    (42nd),Treat Williams,Stanley Kowalski,A Streetcar Named Desire,ABC
1985    (43rd),Dustin Hoffman,Willy Loman,Death of a Salesman,Eye Network
1985    (43rd),Richard Chamberlain,Raoul Wallenberg,Wallenberg: A Hero's Story,NBC
1985    (43rd),Richard Crenna,Richard Beck,The Rape of Richard Beck,ABC
1985    (43rd),Kirk Douglas,Amos Lasher,Amos,Eye Network
1985    (43rd),Peter Strauss,Abel Rosnovski,Kane and Abel,Tiffany Network
1986    (44th),James Woods,D.J.,Promise,Black Rock
1986    (44th),James Garner,Bob Buehler,Promise,Tiffany Network
1986    (44th),Mark Harmon,Ted Bundy,The Deliberate Stranger,NBC
1986    (44th),Jan Niklas,Peter the Great,Peter the Great,NBC
1986    (44th),John Ritter,Frank Coleman,Unnatural Causes,NBC
1987    (45th),Randy Quaid,Lyndon B. Johnson,LBJ: The Early Years,NBC
1987    (45th),Alan Arkin,Leon Feldhendler,Escape from Sobibor,Columbia Broadcasting System
1987    (45th),Mark Harmon,Elmer Jackson,After the Promise,CBS
1987    (45th),Jack Lemmon,James Tyrone,Long Day's Journey into Night,Showtime
1987    (45th),Judd Nelson,Joe Hunt,Billionaire Boys Club,NBC
1987    (45th),James Woods,James Stockdale,In Love and War,NBC
1988    (46th),Michael Caine,Jack the Ripper,Jack the Ripper,Eye Network
1988    (46th),Stacy Keach,Ernest Hemingway,Hemingway,Syndicated
1988    (46th),Richard Chamberlain,Jason Bourne,The Bourne Identity,ABC
1988    (46th),Anthony Hopkins,Chavel,The Tenth Man,CBS
1988    (46th),Jack Lemmon,John M. Slaton,The Murder of Mary Phagan,NBC
1989    (47th),Robert Duvall,Captain Augustus Gus McCrae,Lonesome Dove,CBS
1989    (47th),John Gielgud,Aaron Jastrow,War and Remembrance,ABC
1989    (47th),Ben Kingsley,Simon Wiesenthal,Murderers Among Us: The Simon Wiesenthal Story,HBO
1989    (47th),Lane Smith,Richard Nixon,The Final Days,ABC
1989    (47th),James Woods,Bill Wilson,My Name Is Bill W.,CBS
