col0,col1,col2
Waveney,Conservatives,"United Kingdom general election, 2010"
South Cambridgeshire,Conservative Party (Great Britain) -- Elections,2015
Southend West,Conservative,"United Kingdom general election, 2010"
South Norfolk,Conservative,2001
North East Cambridgeshire,Tories,"UK general election, 2010"
Basildon and Billericay,Conservative,2010 UK general election
North West Norfolk,Conservative,2001
North East Bedfordshire,Tory Party,"General election, 2001"
Clacton,Independent,2010
South Suffolk,Conservative,2015
Bury St Edmunds,Conservative,2015
Braintree,Conservative,2015
Suffolk Coastal,Conservative,2010 UK general election
Huntingdon,UK Conservative Party,2001 general election
Mid Bedfordshire,Conservatives,2010
Hertsmere,Conservative Party (UK),"UK general election, 2015"
Thurrock,Conservative,2010
Rochford and Southend East,Conservative Party (UK),2005
Rayleigh and Wickford,Conservative,2010
South East Cambridgeshire,Conservative Party (UK),2015 UK general election
Mid Norfolk,British Conservative Party,2010 UK general election
Bedford,Conservative Party (Great Britain) -- Records and correspondence,"United Kingdom general election, 2010"
South West Hertfordshire,Conservative Party (Great Britain) -- Records and correspondence,2005
Ipswich,Conservative,2010
Harlow,Conservative,2010
West Suffolk,Conservative,"UK general election, 2010"
Watford,Tories,2010 general election
Castle Point,Conservative,2010 general election
Saffron Walden,Conservative,1977 by-election
North East Hertfordshire,Conservatives,1997
Luton North,Labour,1997
Peterborough,Conservative,2005
Harwich and North Essex,Conservative,2010 UK general election
Epping Forest,Conservative,1997
North Norfolk,Liberal Democrats,"United Kingdom general election, 2001"
Great Yarmouth,Conservative,2010
Norwich South,Labour,2015
Hitchin and Harpenden,Conservative and Unionist Party,1997
St Albans,British Conservative Party,2005
Stevenage,Conservative,2010
South Basildon and East Thurrock,Conservative,2010
Witham,Conservative,2010 UK general election
Hemel Hempstead,United Kingdom Conservative Party,2005
Brentwood and Ongar,Conservative,1992
Central Suffolk and North Ipswich,Conservative,2010
Hertford and Stortford,Conservative Party (Great Britain) -- Elections,2001
Colchester,Conservative,"General election, 2015"
South West Bedfordshire,Conservative,2001
Welwyn Hatfield,Conservative,2005
Luton South,Labour Co-op,2010
Broadland,Conservative Party (Great Britain) -- Elections,2010 UK general election
Norwich North,Conservative Party (UK),2009 by-election
South West Norfolk,Tories,2010
North West Cambridgeshire,Conservative,2005
Broxbourne,Conservative,2005
Maldon,Conservative,2010
Cambridge,Labour,2015
