col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
,Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1999-04-29,Iranian Reformists,Iranian Reformists,Iranian Reformists,R,Iranian Reformists,R,Iranian Reformists,R,R,R,R,R,Iranian Reformists,Iranian Reformists,Iranian Reformists
1,2000-01-03,R,Iranian Reformists,R,R,R,R,Iranian Reformists,Iranian Reformists,Iranian Reformists,R,Iranian Reformists,R,Iranian Reformists,R,I
1,2003-01-15,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant
2,2003-04-29,Rasoul Khadem Azghadi,C,C,C,C,C,C,C,C,C,C,Principlists,Principlists,C,C
2,2006-12-06,C,C,Principlists,Principlists,C,Principlists,C,C,C,C,C,C,Principlists,C,C
3,2007-04-29,Iranian Reformists,R,Iranian Reformists,R,I,C,C,C,C,C,Principlists,C,C,C,Principlists
3,2009-02-07,R,R,R,R,C,C,Principlists,Principlists,C,C,C,Principlists,Principlists,C,Principlists
3,2013-06-06,Iranian Reformists,R,R,I,Principlists,C,C,C,Principlists,C,C,C,Principlists,C,C
3,2013-08-25,R,Iranian Reformists,Hadi Saei Bonehkohal,C,C,C,Principlists,Principlists,Principlists,C,C,C,Principlists,C,Principlists
4,2013-09-03,R,R,Iranian Reformists,Iranian Reformists,R,R,Iranian Reformists,R,R,R,R,R,R,Hadi Saei Bonehkohal,D
4,2013-09-08,Iranian Reformists,R,R,Iranian Reformists,R,Iranian Reformists,Iranian Reformists,R,Iranian Reformists,R,Iranian Reformists,Iranian Reformists,I,D,I
5,2017-08-23,Iranian Reformists,R,Iranian Reformists,Iranian Reformists,Iranian Reformists,R,Iranian Reformists,Iranian Reformists,R,Iranian Reformists,Iranian Reformists,R,Iranian Reformists,Iranian Reformists,Iranian Reformists
6,2021-08-05,C,C,Principlists,C,C,C,C,C,Principlists,Principlists,C,Principlists,Principlists,C,C
