col0,col1,col2,col3,col4,col5,col6,col7
Alsace,Alsace,Philippe Richert,LR,ACAL,FR-GES,Philippe Richert,LR
Champagne-Ardenne,Champagne-Ardenne,Jean-Paul Bachy,DVG,Grand Est,Alsace-Champagne-Ardenne-Lorraine,Philippe Richert,LR
Lorraine,Lorraine,Jean-Pierre Masseret,PS,Alsace-Champagne-Ardenne-Lorraine,Grand Est,Philippe Richert,LR
Aquitaine,Aquitaine Region,Alain Rousset,PS,Nouvelle-Aquitaine,Nouvelle-Aquitaine,Alain Rousset,PS
Limousin,Limousin,Gérard Vandenbroucke,PS,Novéle-Aguiéne,Nouvelle-Aquitaine,Alain Rousset,PS
Poitou-Charentes,Poitou-Charentes,Jean-François Macaire,PS,Nòva Aquitània,Nouvelle-Aquitaine,Alain Rousset,PS
Auvergne,Auvergne,René Souchon,PS,ARA,ARA,Laurent Wauquiez,LR
Rhône-Alpes,Rhône-Alpes,Jean-Jack Queyranne,PS,ARA,ARA,Laurent Wauquiez,LR
Bourgogne,Burgundy,François Patriat,Socialist Party (France),Burgundy-Free County,Burgundy-Free County,Marie-Guite Dufay,Parti Socialiste
Franche-Comté,Franche-Comté,Marie-Marguerite Dufay,PS,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,Marie-Marguerite Dufay,PS
Brittany,Brittany,Pierrick Massiot,PS,Brittany,Brittany,Jean-Yves Le Drian,PS
Centre-Val de Loire,Centre-Val de Loire,François Bonneau,PS,Centre-Val de Loire,Centre-Val de Loire,François Bonneau,PS
Corsica,Assembly,Dominique Bucchini,PCF,Corsica,Assembly,Jean-Guy Talamoni,CL
Corsica,Executive Council,Paul Giacobbi,DVG,Corsica,Executive Council,Gilles Simeoni,FC
French Guiana,Regional Council,Rodolphe Alexandre,GR,French Guiana,Assembly,Rodolphe Alexandre,GR
French Guiana,General Council,Alain Tien-Liong,MDES,French Guiana,Assembly,Rodolphe Alexandre,GR
Guadeloupe,Guadeloupe,Victorin Lurel,PS,Guadeloupe,Guadeloupe,Ary Chalus,GUSR
Île-de-France,Île-de-France,Jean-Paul Huchon,PS,Île-de-France,Île-de-France,Valérie Pécresse,LR
Languedoc-Roussilon,Languedoc-Roussilon,Damien Alary,Parti socialiste,Occitania (administrative region),Occitania (administrative region),Carole Delga,Parti socialiste
Midi-Pyrénées,Midi-Pyrénées,Martin Malvy,PS,Occitania (administrative region),Occitania (administrative region),Carole Delga,PS
Réunion,Réunion,Didier Robert,LR,Réunion,Réunion,Didier Robert,LR
Martinique,Regional Council,Serge Letchimy,PPM,Martinique,Assembly,Claude Lise,RDM
Martinique,General Council,Josette Manin,BPM,Martinique,Executive Council,Alfred Marie-Jeanne,MIM
Nord-Pas-de-Calais,Nord-Pas-de-Calais,Daniel Percheron,PS,Hauts-de-France,Hauts-de-France,Xavier Bertrand,LR
Picardy,Picardy,Claude Gewerc,PS,Hauts-de-France,Hauts-de-France,Xavier Bertrand,Les Républicains
Lower Normandy,Lower Normandy,Laurent Beauvais,PS,Normandy,Normandy,Hervé Morin,UDI
Upper Normandy,Upper Normandy,Nicolas Mayer-Rossignol,PS,Normandy,Normandy,Hervé Morin,UDI
Pays de la Loire,Pays de la Loire,Jacques Auxiette,PS,Pays de la Loire,Pays de la Loire,Bruno Retailleau,LR
Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,Michel Vauzelle,PS,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,Christian Estrosi,LR
