col0,col1,col2,col3,col4,col5,col6,col7,col8
1801,"Sir William Curtis, Bt",Tory,"Sir John Anderson, Bt",Tory,William Lushington,Non-partisan,Harvey Christian Combe,Whig
"United Kingdom general election, 1802","Sir William Curtis, Bt",Tory,"Sir John Anderson, Bt",Court Party,Sir Charles Price,Tory,Harvey Christian Combe,Whig
1806,"Sir William Curtis, Bt",Tory,"Sir James Shaw, Bt",Tory,Sir Charles Price,Tory,Harvey Christian Combe,British Whigs Party
1812,"Sir William Curtis, Bt",Tory,"Sir James Shaw, Bt",Court Party,Alderman John Atkins,Tory,Harvey Christian Combe,Whig
1817 by-election,"Sir William Curtis, Bt",Tory,"Sir James Shaw, Bt",Tory,John Atkins,Tory,Sir Matthew Wood,Whig
"United Kingdom general election, 1818",Thomas Wilson,Tory,Robert Waithman,Whig,John Thomas Thorp,Whig,"Sir Matthew Wood, Bt",Whig Party
1820,Thomas Wilson,Tory,"Sir William Curtis, Bt",Tory,George Bridges,Tory,"Sir Matthew Wood, 1st Bt.",Whig
1826,William Thompson,Tory,Robert Waithman,"Whig, Liberal",William Ward,Tory,"Sir Matthew Wood, Bt",Whig
United Kingdom general election 1831,William Thompson,Tory,Robert Waithman,"Whig, Liberal",William Venables,Whig,"Sir Matthew Wood, Bt",Whig
1832,George Grote,Radical,Robert Waithman,"Whig, Liberal","Sir John Key, Bt",Whig,"Sir Matthew Wood, Bt",Whiggamore
March 1833 by-election,George Grote,Radical,George Lyall,Conservative,"Sir John Key, Bt",Whig,"Sir Matthew Wood, 1st Bt.",Whiggamore
August 1833 by-election,George Grote,Radical,George Lyall,United Kingdom Conservative Party,William Crawford,Whig,"Sir Matthew Wood, Bt",Whig
1835,George Grote,Radical,James Pattison,Whig,William Crawford,Whig,"Sir Matthew Wood, Bt",Whig
1841,John Masterman,Conservative,George Lyall,Tory Party,Lord John Russell,Whig,"Sir Matthew Wood, Bt",Whig
1843 by-election,John Masterman,Conservative,George Lyall,Conservative,Lord John Russell,Whig,James Pattison,Whig
1847,John Masterman,Conservative,Baron Lionel de Rothschild,Whig,Lord John Russell,Whig,James Pattison,Whig
1849 by-election,John Masterman,Conservative,Baron Lionel de Rothschild,Whig,Lord John Russell,Whig,"Sir James Duke, Bt",Whig
1857,Robert Wigram Crawford,Whig,Baron Lionel de Rothschild,Whig,Lord John Russell,Whig,"Sir James Duke, Bt",Whig
1859,Robert Wigram Crawford,Liberal,Baron Lionel de Rothschild,Liberal,Lord John Russell,Liberal,"Sir James Duke, Bt",Liberal
1861 by-election,Robert Wigram Crawford,Liberal,Baron Lionel de Rothschild,Liberal,Western Wood,Liberal,"Sir James Duke, Bt",Liberal
1863 by-election,Robert Wigram Crawford,Liberal,Baron Lionel de Rothschild,Liberal,George Goschen,Liberal,"Sir James Duke, Bt",Liberal
1865,Robert Wigram Crawford,Liberal,Baron Lionel de Rothschild,Liberal,George Goschen,Liberal,William Lawrence,Liberal
1868,Robert Wigram Crawford,Liberal,Charles Bell,Conservative Party (UK),George Goschen,Liberal,William Lawrence,Liberal
1869 by-election,Robert Wigram Crawford,Liberal,Baron Lionel de Rothschild,Liberal,George Goschen,Liberal,William Lawrence,Liberal
1874,William Cotton,United Kingdom Conservative Party,Philip Twells,Conservative,George Goschen,Liberal,John Hubbard,UK Conservative Party
1880,William Cotton,Conservative,"Sir Robert Fowler, Bt",Conservative,William Lawrence,Liberal,John Hubbard,Conservatives
1885,reduced to two seats,reduced to two seats,reduced to two seats,reduced to two seats,reduced to two seats,reduced to two seats,reduced to two seats,reduced to two seats
