col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
1991,Le Garage Cox Racing   Mooncraft,SUZ,AUT,FUJ,Nishi-Nihon Circuit (1976–1990),SUZ,SUG,FUJ,SUZ,Fuji International Speedway,SUZ,19th,3
1992,Le Garage Cox Racing   Mooncraft,SUZ,FUJ,Nishi-Nihon Circuit (1976–1990),SUZ,AUT,SUG,FUJ,Fuji International Speedway,SUZ,Fuji International Speedway,5th,21
1993,Le Garage Cox Racing   Mooncraft,SUZ,FUJ,MIN,SUZ,AUT,SUG,FUJ,Fuji International Speedway,SUZ,Fuji International Speedway,15th,4
1994,"Le Mans Co., Ltd.",SUZ,FUJ,MIN,SUZ,SUG,Fuji International Speedway,SUZ,FUJ,FUJ,SUZ,5th,27
1995,"Le Mans Co., Ltd.",SUZ,Fuji International Speedway,MIN,SUZ,SUG,Fuji International Speedway,TOK,Fuji International Speedway,SUZ,,8th,11
1996,X Japan Racing   Team LeMans,SUZ,Nishi-Nihon Circuit (1976–1990),FUJ,TOK,SUZ,SUG,FUJ,MIN,SUZ,FUJ,2nd,38
2000,Team 5ZIGEN,SUZ,MOT,MIN,Fuji International Speedway,SUZ,SUG,MOT,Fuji International Speedway,Nishi-Nihon Circuit (1976–1990),SUZ,8th,10
2001,Team 5ZIGEN,SUZ,MOT,Atsu Circuit (1972–1975),Fuji International Speedway,SUZ,SUG,FUJ,MIN,MOT,SUZ,2nd,33
2002,Team 5ZIGEN,SUZ,FUJ,Atsu Circuit (1972–1975),SUZ,MOT,SUG,Fuji International Speedway,MIN,MOT,SUZ,8th,9
2003,Dandelion Ltd.,SUZ,Fuji International Speedway,Atsu Circuit (1972–1975),MOT,SUZ,SUG,FUJ,Mazda Mine Proving Ground (2006-),MOT,SUZ,13th,3
2004,Dandelion Ltd.,SUZ,SUG,MOT,SUZ,SUG,MIN,SEP,MOT,SUZ,,9th,7
2005,DoCoMo Team   Dandelion Racing,MOT,SUZ,SUG,Fuji International Speedway,SUZ,Central Park Mine Circuit (1991–2002),FUJ,MOT,SUZ,,12th,7
