col0,col1,col2,col3,col4
1976,Stan Hansen,"Douglas Albert Baker, Sr.",Terry Funk,The Spoiler
1977,Kenneth Wayne Patera,Ric Flair,Eldridge Coleman,Nick Bockwinkel
1978,Ric Flair,Ken Patera,Victor Rivera,Bob Orton Jr.
1979,Greg Valentine (2),Terry Funk,Kenneth Wayne Patera,"""The Russian Bear"" Ivan Koloff"
1980,Larry Zbyszko,Greg Valentine,Ernie Ladd,Hulk Hogan
1981,Ken Patera (2),Don Muraco,Nick Bockwinkel,Roddy Piper
1982,Ted DiBiase,Blackjack Mulligan,Superstar Billy Graham,Buzz Sawyer
1983,Greg Valentine (3),Masked Superstar,Kevin Sullivan,Michael Hayes
1984,Roddy Piper,Kevin Sullivan,Tully Blanchard,The Iron Sheik
1985,Roddy Piper (2),Chris Adams,Ted DiBiase,Big John Studd
1986,Paul Orndorff,Fred Phillips,Colonel DeBeers,Rick Rude
1987,Ric Flair (2),André the Giant,The Honky Tonk Man,Lex Luger
1988,André the Giant,Barry Windham,Eddie Gilbert,Ted DiBiase
1989,Randy Savage,Chainsaw Charlie,Rick Rude,Lex Luger
1990,Earthquake,Ric Flair,Rick Rude,Eddie Gilbert
1991,Sgt. Slaughter,The Undertaker,Lex Luger,Jake Roberts
1992,Rick Rude,Ric Flair,Jake Roberts,The Moondogs   (Spot & Cujo)
1993,Jerry Lawler,Big Van Vader,Yokozuna,Shawn Michaels
1994,Bob Backlund,Owen Hart,Big Van Vader,Jerry Lawler
1995,Jerry Lawler (2),Kevin Sullivan,The Gangstas,Davey Boy Smith
1996,Hollywood Hogan,Goldust,Jerry Lawler,The Giant
1997,Bret Hart,Hollywood Hogan,Owen Hart,Curt Hennig
1998,Hollywood Hogan (2),Vince McMahon,Eric Bischoff,Bret Hart
1999,Diamond Dallas Page,Triple H,The Undertaker,The Dudley Boyz   (Bubba Ray Dudley & D-Von Dudley)
2000,Kurt Angle,Triple H,Steven Richards,Jeff Jarrett
2001,Stone Cold Steve Austin,Booker T,Kurt Angle,Shane McMahon
2002,Chris Jericho,"The Un-Americans   (Christian, Lance Storm & Test)",Kurt Angle,Triple H
2003,Triple H,Kane,Vince McMahon,Test
2004,Triple H (2),John Bradshaw Layfield,Kurt Angle,Jeff Jarrett
2005,Triple H (3),Edge,Jeff Jarrett,Muhammad Hassan
2006,Edge,Jeff Jarrett,Randy Orton,King Booker
2007,Randy Orton,Kurt Angle,The Great Khali,Robert Roode
2008,Chris Jericho (2),Edge,Randy Orton,Kurt Angle
2009,Randy Orton (2),CM Punk,Chris Jericho,Kurt Angle
2010,The Nexus,CM Punk,The Miz,Hulk Hogan and Eric Bischoff
2011,The Miz,Alberto Del Rio,Christian,Kurt Angle
2012,CM Punk,Bobby Roode,Alberto Del Rio,Kevin Steen
2013,The Authority,Randy Orton,Bully Ray,"The Shield   (Seth Rollins, Dean Ambrose & Roman Reigns)"
2014,Triple H (5) and Stephanie McMahon (2),Seth Rollins,Dixie Carter,Batista
2015,Seth Rollins,Ethan Carter III,Kevin Owens,Bray Wyatt
2016,Roman Reigns,Kevin Owens,The Miz,Eva Marie
2017,Jinder Mahal,Kevin Owens,Roman Reigns,Sexy Star
2018,Brock Lesnar,Tommaso Ciampa,Samoa Joe,Baron Corbin
2019,Baron Corbin,Brock Lesnar,Shane McMahon,MJF
2020,Seth Rollins (2),Roman Reigns,MJF,Randy Orton
2021,MJF,Roman Reigns,Kenny Omega,Baron Corbin
2022,MJF (2),Roman Reigns,Chris Jericho,Sammy Guevara
2023,Dominik Mysterio,Christian Cage,Roman Reigns,CM Punk
