col0,col1,col2,col3,col4,col5
Luena,Mubukwanu Kunyanda,Movement for Multi-Party Democracy,1992,Simwinji Simwinji,MMD
Nkana,Barnabas Bungono,MMD,1992,Matilda Chakulya,Movement for Multi-Party Democracy
Chadiza,Shart Banda,United National Independence Party,1992,Panji Kaunda,United National Independence Party
Kafue,Chanda Sosala,MMD,1992,Akbar Badat,Movement for Multi-Party Democracy
Rufunsa,Bartholomew Seyama,UNIP,,Scholastica Ngoma,Movement for Multi-Party Democracy
Bweengwa,Baldwin Nkumbula,Movement for Multi-Party Democracy,1993,Baldwin Nkumbula,National Party
Chasefu,Stanley Phiri,UNIP,1993,Rhodwell Nyirenda,United National Independence Party
Kalabo,Arthur Wina,Movement for Multi-Party Democracy,1993,Arthur Wina,National Party
Malole,Emmanuel Kasonde,MMD,1993,Dismas Kalingeme,Movement for Multi-Party Democracy
Mwansabombwe,Edward Muonga,MMD,1993,Josiah Chishala,MMD
Mwinilunga West,John Kalenga,Movement for Multi-Party Democracy,1993,Peter Mpashi,Movement for Multi-Party Democracy
Pemba,Aaron Muyovwe,MMD,1993,Daniel Buumba,Movement for Multi-Party Democracy
Senanga,Inonge Mbikusita-Lewanika,Movement for Multi-Party Democracy,1993,Inonge Mbikusita-Lewanika,National Party
Solwezi Central,Humphrey Mulemba,Movement for Multi-Party Democracy,1993,Humphrey Mulemba,National Party
Mongu,Akashambatwa Mbikusita-Lewanika,Movement for Multi-Party Democracy,,Akashambatwa Mbikusita-Lewanika,National Party
Katombora,Wonder Sikiti,MMD,,Aggrey Kanchele,Movement for Multi-Party Democracy
Chinsali,Katongo Mulenga,MMD,1994,Charles Museba,Movement for Multi-Party Democracy
Chilanga,Collins Hinamanjolo,Movement for Multi-Party Democracy,1994,Morgan Babuwa,MMD
Lukashya,John Mulwila,Movement for Multi-Party Democracy,1994,Bernard Mpundu,Movement for Multi-Party Democracy
Lunte,Chilufya Kapwepwe,Movement for Multi-Party Democracy,1994,Donald Musonda,Movement for Multi-Party Democracy
Mufulira,Fabian Kasonde,Movement for Multi-Party Democracy,1994,Kaunda Lembalemba,Movement for Multi-Party Democracy
Mumbwa,Makosonke Hlazo,Movement for Multi-Party Democracy,1994,Donald Chivubwe,Movement for Multi-Party Democracy
Chilubi,Edward Chitungulu,Movement for Multi-Party Democracy,1994,Shisala Mponda,MMD
Chikankata,Joshua Lumina,MMD,1994,,Movement for Multi-Party Democracy
Bweengwa,Baldwin Nkumbula,National Party,1995,Edgar Keembe,MMD
Chingola,Ludwing Sondashi,Movement for Multi-Party Democracy,April 1995,Enoch Kavindele,Movement for Multi-Party Democracy
