col0,col1,col2,col3,col4,col5,col6,col7
User:Heidi.Goodine,User:Cmariajost,User:Catherine Basar,User:Example User,Archaeology Today,User:Shelbeglidden,User:GillMargS,User:Poley18
User:Trieka Ayer,User:Example User,User:Example User,User:Example User,Dropa stones,User:mamclelland,User:Cmariajost,User:Example User
User:Lasampson,User:Example User,User:Example User,User:Example User,Jorvik Viking Centre,User:Hannahboydsim,User:Heidi.Goodine,User:Mattymo56
User:Rehansen,User:Example User,User:Example User,User:Example User,Woodstock Iron Works,User:Bonesgirl206,User:Mattymo56,User:SWtB
User:SWtB,User:Hannahboydsim,User:Example User,User:Example User,Mary Westmacott,User:GillMargS,User:Heidi.Goodine,User:Rehansen
User:Adamsml9,User:Example User,User:Example User,User:Example User,Awakening,User:Bonesgirl206,User:Hannahboydsim,User:Rehansen
User:mamclelland,User:Example User,User:Example User,User:Example User,Spurensicherung Art,User:Adamsml9,User:Poley18,User:SWtB
User:GSaundersLikeGlue,User:Example User,User:Example User,User:Example User,Omnilingual,User:Trieka Ayer,User:Lasampson,User:Example User
User:TLang12345,User:Example User,User:Example User,User:Example User,Benjamin Franklin Gates (character),User:Trieka Ayer,User:Cmariajost,User:Saunderhill
User:GillMargS,User:MtADorey,User:Example User,User:Example User,Archaeology & Animation,User:TLang12345,User:Lasampson,User:mamclelland
User:Poley18,User:Mabourque,User:Example User,User:Example User,Sydney Fox,User:TLang12345,User:MtADorey,User:Tnadolny
User:Bonesgirl206,User:Example User,User:Example User,User:Example User,Replicas,User:Shelbeglidden,User:Bwowchuk,User:GSaundersLikeGlue
User:Bwowchuk,User:Mattymo56,User:Example User,User:Example User,"[Vegetable, Mineral?]",User:MtADorey,User:Adamsml9,User:GSaundersLikeGlue
User:Saunderhill,User:Example User,User:Example User,User:Example User,Hannah Green book series,User:Mabourque,User:Example User,User:Example User
User:Tnadolny,User:Example User,User:Example User,User:Example User,Bonekickers,User:Mabourque,User:Example User,User:Example User
User:shelbeglidden,User:Example User,User:Example User,User:Example User,Inca Mummies: Secrets of a Lost World,User:Saunderhill,User:Tnadolny,User:Bwowchuk
User:Example User,User:Example User,User:Example User,User:Example User,Example article,open,open,User:Example User
User:Example User,User:Example User,User:Example User,User:Example User,Example article,open,open,User:Example User
User:Example User,User:Example User,User:Example User,User:Example User,Example article,open,open,User:Example User
User:Example User,User:Example User,User:Example User,User:Example User,Example article,open,open,User:Example User
