col0,col1,col2,col3,col4,col5,col6
1994,Postseason canceled due to 1994-95 Major League Baseball strike,Postseason canceled due to 1994-95 Major League Baseball strike,Postseason canceled due to 1994-95 Major League Baseball strike,Postseason canceled due to 1994-95 Major League Baseball strike,Postseason canceled due to 1994-95 Major League Baseball strike,Postseason canceled due to 1994-95 Major League Baseball strike
1995,Boston,Cleveland,Seattle,Atlanta,Cincinnati,Los Angeles
1996,New York,Cleveland,Texas,Atlanta,St. Louis,San Diego
1997,Baltimore,Cleveland,Seattle,Atlanta,Houston,San Francisco
1998,New York,Cleveland,Texas,Atlanta,Houston,San Diego
1999,New York,Cleveland,Texas,Atlanta,Houston,Arizona
2000,New York,Chicago,Oakland,Atlanta,St. Louis,San Francisco
2001,New York,Cleveland,Seattle,Atlanta,Houston,Arizona
2002,New York,Minnesota,Oakland,Atlanta,St. Louis,Arizona
2003,New York,Minnesota,Oakland,Atlanta,Chicago,San Francisco
2004,New York,Minnesota,Anaheim,Atlanta,St. Louis,Los Angeles
2005,New York,Chicago,Los Angeles,Atlanta,St. Louis,San Diego
2006,New York,Minnesota,Oakland,New York,St. Louis,San Diego
2007,Boston,Cleveland,Los Angeles,Philadelphia,Chicago,Arizona
2008,Tampa Bay,Chicago,Los Angeles,Philadelphia,Chicago,Los Angeles
2009,New York,Minnesota,Los Angeles,Philadelphia,St. Louis,Los Angeles
2010,Tampa Bay,Minnesota,Texas,Philadelphia,Cincinnati,San Francisco
2011,New York,Detroit,Texas,Philadelphia,Milwaukee,Arizona
2012,New York,Detroit,Oakland,Washington,Cincinnati,San Francisco
2013,Boston,Detroit,Oakland,Atlanta,St. Louis,Los Angeles
2014,Baltimore,Detroit,Los Angeles,Washington,St. Louis,Los Angeles
2015,Toronto,Kansas City,Texas,New York,St. Louis,Los Angeles
2016,Boston,Cleveland,Texas,Washington,Chicago,Los Angeles
2017,Boston,Cleveland,Houston,Washington,Chicago,Los Angeles
2018,Boston,Cleveland,Houston,Atlanta,Milwaukee,Los Angeles
2019,New York,Minnesota,Houston,Atlanta,St. Louis,Los Angeles
2020,Tampa Bay,Minnesota,Oakland,Atlanta,Chicago,Los Angeles
2021,Tampa Bay,Chicago,Houston,Atlanta,Milwaukee,San Francisco
2022,New York,Cleveland,Houston,Atlanta,St. Louis,Los Angeles
2023,Baltimore,Minnesota,Houston,Atlanta,Milwaukee,Los Angeles
