col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
2014,Corvette Racing,GTLM,Chevrolet Corvette C7.R,Chevrolet 5.5 V8,DAY,SEB,LBH,LGA,WGL,MOS,IMS,ELK,VIR,COA,PET,10th,291
2015,Corvette Racing,GTLM,Chevrolet Corvette C7.R,Chevrolet 5.5 V8,DAY,SEB,LBH,LGA,WGL,MOS,ELK,VIR,COA,PET,,8th,261
2016,Corvette Racing,GTLM,Chevrolet Corvette C7.R,Chevrolet 5.5 V8,DAY,2016 12 Hours of Sebring,LBH,LGA,WGL,MOS,LIM,ELK,VIR,COA,PET,1st,345
2017,Corvette Racing,GTLM,Chevrolet Corvette C7.R,Chevrolet LT5.5 5.5 V8,DAY,SEB,LBH,COA,WGL,MOS,LIM,ELK,VIR,LGA,PET,8th,276
2018,Corvette Racing,GTLM,C7.R,Chevrolet LT5.5 5.5 V8,DAY,SEB,LBH,MOH,WGL,MOS,LIM,ELK,VIR,LGA,PET,3rd,310
2019,Corvette Racing,GTLM,Chevrolet Corvette C7.R,Chevrolet LT5.5 5.5 V8,DAY,SEB,LBH,MDO,WGL,MOS,LIM,ELK,VIR,LGA,PET,11th,227
2020,Corvette Racing,GTLM,Chevrolet Corvette C8.R,Chevrolet 5.5 L V8,DAY,DAY,SEB,ELK,VIR,ATL,MDO,CLT,PET,LGA,SEB,3rd,315
2021,Corvette Racing,GTLM,Chevrolet Corvette C8.R,Chevrolet 5.5 L V8,DAY,SEB,DET,WGL,WGL,LIM,ELK,LGA,LBH,VIR,PET,2nd,3448
2022,Corvette Racing,GTD Pro,Chevrolet Corvette C8.R GTD,Chevrolet 5.5 L V8,DAY,SEB,LBH,LGA,WGL,MOS,LIM,ELK,VIR,PET,,35th,234
2023,Corvette Racing,GTD Pro,Chevrolet Corvette C8.R GTD,Chevrolet 5.5 L V8,DAY,SEB,LBH,MON,WGL,MOS,LIM,ELK,VIR,IMS,PET,9th,915
2024,Corvette Racing by Pratt Miller Motorsports,GTD Pro,Chevrolet Corvette Z06 GT3.R,Chevrolet LT6 5.5 L V8,DAY   8,SEB,LGA,DET,WGL,MOS,ELK,VIR,IMS,ATL,,5th*,1060*
Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:
