col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Burton / Burton and Uttoxeter (2024),Andrew James Griffiths,Andrew James Griffiths,Griffiths,Griffiths,→,Andrew James Griffiths,Kniveton,Kniveton,Kniveton,Jacob Moriarty
Cannock Chase,Burley,Milling,Amanda Anne Milling,Amanda Anne Milling,Amanda Anne Milling,Milling,Milling,Amanda Anne Milling,Milling,Newbury
Lichfield,Fabricant,Michael Louis David Fabricant,Michael Louis David Fabricant,Michael Louis David Fabricant,Fabricant,Fabricant,Michael Louis David Fabricant,Fabricant,Michael Louis David Fabricant,Robertson
Newcastle-under-Lyme,Farrelly,Christopher Paul Farrelly,Farrelly,Farrelly,Farrelly,Christopher Paul Farrelly,Bell,Bell,Bell,Jogee
Stafford,Jeremy John Elton Lefroy,Lefroy,Jeremy John Elton Lefroy,Jeremy John Elton Lefroy,"LEFROY, Jeremy John Elton","LEFROY, Jeremy John Elton",Theodora Roosevelt Clarke,Theodora Clarke,Theodora Clarke,Ingham
Staffordshire Moorlands,Dame Karen Anne Bradley,Bradley,Bradley,Bradley,Bradley,Bradley,Dame Karen Anne Bradley,Bradley,Karen Anne Bradley,Dame Karen Anne Bradley
"Stone / Stone, Great Wyrley & Penkridge ('24)",Cash,Cash,Sir William Nigel Paul Cash,William Nigel Paul Cash,William Nigel Paul Cash,Sir William Nigel Paul Cash,Cash,William Nigel Paul Cash,William Nigel Paul Cash,Gavin Alexander Williamson
S Staffordshire / Kingswinford & S Staffs ('24),Williamson,Williamson,Sir Gavin Alexander Williamson,Williamson,Sir Gavin Williamson,Williamson,Gavin Alexander Williamson,Sir Gavin Williamson,Sir Gavin Williamson,Wood
Stoke-on-Trent South,Robert Charles Douglas Flello,Flello,Flello,Jack Edgar Brereton,Brereton,Jack Edgar Brereton,Brereton,Jack Edgar Brereton,Brereton,Gardner
Stoke-on-Trent Central,Hon. Tristram Hunt,Hunt,Snell,Snell,Snell,Gareth Craig Snell,Joanna Mary Gideon,Gideon,Joanna Mary Gideon,Gareth Craig Snell
Stoke-on-Trent North,Walley,Smeeth,Smeeth,Smeeth,Smeeth,Smeeth,Gullis,Gullis,Gullis,Williams
Tamworth,Pincher,Pincher,Pincher,Pincher,Pincher,Pincher,Pincher,→,Edwards,Edwards
