col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
Chelmsford,Beadel,Beadel,Beadel,Usborne,Usborne,Usborne,Usborne,Usborne,Usborne,Usborne,Rasch,Rasch,Rasch,Colonel Rt. Hon. Ernest George Pretyman,Pretyman,Pretyman,Colonel Rt. Hon. Ernest George Pretyman,Colonel Rt. Hon. Ernest George Pretyman,Pretyman
Colchester,Trotter,Trotter,"Francis Richard Charles Guy Greville, 5th Earl of Warwick",Greville,Naylor-Leyland,Naylor-Leyland,Naylor-Leyland,Pearson,Pearson,Pearson,Pearson,Weetman Dickinson Pearson,Pearson,Weetman Dickinson Pearson,Worthington-Evans,Worthington-Evans,Worthington-Evans,Worthington-Evans,Worthington-Evans
Epping,Henry John Selwyn-Ibbetson,Selwin-Ibbetson,Selwin-Ibbetson,Henry John Selwyn-Ibbetson,Lockwood,Lockwood,Col. The Right Hon. A. R. M. Lockwood,Col. The Right Hon. A. R. M. Lockwood,Col. The Right Hon. A. R. M. Lockwood,Col. The Right Hon. A. R. M. Lockwood,A. R. M. Lockwood,A. R. M. Lockwood,Lockwood,Lockwood,Lockwood,Lockwood,A. R. M. Lockwood,Lockwood,Colvin
Essex South East,Makins,Rasch,Rasch,"Sir Frederic Carne Rasch, 1st Baronet","Sir Frederic Carne Rasch, 1st Baronet","Sir Frederic Carne Rasch, 1st Baronet","Sir Frederic Carne Rasch, 1st Baronet",Rasch,"Sir Frederic Carne Rasch, 1st Baronet","Sir Frederic Carne Rasch, 1st Baronet",Tufnell,Tufnell,Whitehead,Whitehead,Kirkwood,John Hendley Morrison Kirkwood,John Hendley Morrison Kirkwood,Viscount Iveagh,Guinness
Harwich,Round,Round,Round,Round,Round,Round,Round,Round,Round,Round,Round,Round,Lever,Lever,Newton,Newton,Newton,Newton,Newton
Maldon,Kitching,Gray,Gray,Gray,Dodd,Dodd,Dodd,Dodd,Strutt,Strutt,Strutt,Charles Hedley Strutt,T. Bethell,T. Bethell,Flannery,Flannery,Flannery,Flannery,Flannery
Saffron Walden,"Herbert Colstoun Gardner, 1st and last Baron Burghclere of Walden","Herbert Colstoun Gardner, 1st and last Baron Burghclere of Walden","Herbert Colstoun Gardner, 1st and last Baron Burghclere of Walden",Gardner,"Herbert Colstoun Gardner, 1st and last Baron Burghclere of Walden","Herbert Colstoun Gardner, 1st and last Baron Burghclere of Walden","Herbert Colstoun Gardner, 1st and last Baron Burghclere of Walden",Gardner,Gold,Gold,Wodehouse,Pease,Jack Pease,Joseph Albert Pease,Proby,Beck,A. C. T. Beck,Sir Arthur Cecil Tyrrell Beck,Beck
Romford,Westlake,Theobald,Theobald,Theobald,Theobald,Theobald,Money-Wigram,Alfred Money-Wigram,Money-Wigram,Sinclair,Sinclair,Sinclair,J. Bethell,J. Bethell,J. Bethell,John Bethell,J. Bethell,J. Bethell,John Bethell
Walthamstow,"The Rt. Hon. Edward Buxton, M.P.",Makins,Makins,Makins,Byrne,Byrne,Byrne,Byrne,Sir Edmund Widdrington Byrne,Woods,Morgan,Morgan,Simon,Simon,J. A. Simon,J. A. Simon,J. A. Simon,Simon,Simon
West Ham North,Cook,Fulton,Fulton,Fulton,Thomas Newcomen Archibald Grove,Grove,Grove,Thomas Newcomen Archibald Grove,Sir Ernest Gray,Gray,Gray,Sir Ernest Gray,Charles Frederick Gurney Masterman,Masterman,Masterman,Masterman,de Forest,de Forest,de Forest
West Ham South,Joseph Lynn Leicester,George Edward Banes,Banes,Banes,Hardie,James Keir Hardie,James Keir Hardie,→,Banes,Banes,George Edward Banes,George Edward Banes,Thorne,William James Thorne,Thorne,Thorne,Thorne,Thorne,Thorne
