col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
Battersea,Linton,John Martin Linton,Linton,Linton,Ellison,Jane Elizabeth Ellison,Jane Elizabeth Ellison,Ellison,Ellison,de Cordova,de Cordova,Marsha Chantal de Cordova,de Cordova
Brentford and Isleworth,Ann Lloyd Keen,Keen,Keen,Keen,Macleod,Macleod,Macleod,Cadbury,Ruth Margaret Cadbury,Cadbury,Ruth Margaret Cadbury,Cadbury,Ruth Margaret Cadbury
Carshalton and Wallington,Brake,Brake,Thomas Anthony Brake,Thomas Anthony Brake,Brake,Brake,Thomas Anthony Brake,Brake,Brake,Brake,Thomas Anthony Brake,Colburn,Dean
Croydon Central / Croydon E ('24),Davies,Davies,Andrew John Pelling,Andrew John Pelling,Barwell,Barwell,Barwell,Barwell,Barwell,Sarah Ann Jones,Jones,Sarah Ann Jones,Vaporlock
Croydon North / Croydon W ('24),Wicks,Malcolm Hunt Wicks,Wicks,Wicks,Wicks,Wicks,Steven Mark Ward Reed,Reed,Reed,Reed,Reed,Reed,Sarah Ann Jones
Croydon South,Ottaway,Ottaway,Ottaway,Ottaway,Ottaway,Ottaway,Ottaway,Philp,Philp,Christopher Ian Brian Mynott Philp,Philp,Christopher Ian Brian Mynott Philp,Philp
Feltham and Heston,David Alan Keen,David Alan Keen,Keen,Keen,Keen,Malhotra,Malhotra,Malhotra,Malhotra,Malhotra,Malhotra,Malhotra,Malhotra
Kingston & Surbiton,Davey,Edward Davey,Davey,Davey,Davey,Davey,Edward Davey,Berry,Berry,Edward Davey,Davey,Sir Edward Jonathan Davey,Davey
Mitcham and Morden,Siobhain Ann McDonagh,McDonagh,Siobhain Ann McDonagh,McDonagh,Siobhain Ann McDonagh,Siobhain Ann McDonagh,McDonagh,McDonagh,Siobhain Ann McDonagh,McDonagh,McDonagh,McDonagh,McDonagh
Richmond Park,Tonge,Tonge,Kramer,Kramer,Goldsmith,Lord Goldsmith,Goldsmith,Goldsmith,Olney,Zacharias Frank Goldsmith,Lord Goldsmith of Richmond Park,Sarah Jane Olney,Olney
Putney,Colman,Anthony John Colman,Greening,Greening,Greening,Greening,Greening,Greening,Greening,Greening,→,Fleur Kathleen Anderson,Anderson
Sutton and Cheam,Paul Kenneth Burstow,Paul Kenneth Burstow,Paul Kenneth Burstow,Burstow,Paul Kenneth Burstow,Burstow,Burstow,Paul Stuart Scully,Scully,Scully,Scully,Paul Stuart Scully,Taylor
Tooting,Cox,Thomas Michael Cox,Khan,Sadiq Aman Khan,Sadiq Aman Khan,Khan,Sadiq Aman Khan,Khan,Rosena Chantelle Allin-Khan,Allin-Khan,Rosena Chantelle Allin-Khan,Allin-Khan,Allin-Khan
Twickenham,Cable,Cable,Cable,Cable,Cable,Cable,Cable,Mathias,Mathias,Cable,Cable,Wilson,Wilson
Wimbledon,Casale,Casale,Hammond,Hammond,Hammond,Hammond,Hammond,Hammond,Hammond,Hammond,Hammond,Hammond,Kohler
