col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
2007,Google,General Electric,Microsoft,Coca-Cola,CMCC,Marlboro,Walmart,Citigroup Inc.,IBM,TOYOTA
2008,Google Inc.,General Electric Company,Microsoft,Coca-Cola,CMCC,International Business Machines,Apple Inc.,McD,Euronext: NOKIA,Marlboro
2009,"Google's ""Don't Be Evil"" No Longer Prefaces Code of Conduct","MICROSOFT TECHNOLOGY LICENSING, LLC (Redmond, WA)",Coca-Cola,IBM,McDonald,AAPL,China Mobile,General Electric,Vodafone,Marlboro
2010,Google,IBM,Apple Inc.,Microsoft,Coke,McDo,Marlboro,CMCC,General Electric,Vodafone
2011,"Apple Computer, Inc.",Google LLC,IBM,McDonald's,Microsoft Corporation,Coke,ATT,Marlboro,China Mobile,General Electric Company
2012,Apple Inc.,IBM Corporation,Google,McDonald's,Microsoft,Coca-Cola,Marlboro,AT&T,Verizon,China Mobile
2013,Apple Inc.,Google,IBM,McDonald's,Coke,AT&T Inc.,Micro-Soft,Marlboro,Visa Inc.,China Mobile
2014,Google,Apple Inc.,IBM,microsoft.com,Mcdonalds,Coke,Visa Inc.,ATT,Marlboro,Amazon
2015,Apple Inc.,Google,MS,I.B.M.,Visa Inc.,AT&T,Verizon,Coca-Cola,Mickey D's,Marlboro
2016,Google,Apple Inc.,microsoft.com,ATT,Facebook,Visa,Amazon,Verizon,McDonald's,International Business Machines
2017,Google,Apple Inc.,Microsoft,Amazon,facebook.com,AT&T,Visa Inc.,Tencent,IBM Corp.,McDonald's
2018,"Google LLC (Mountain View, CA)",AAPL,Amazon,"MICROSOFT TECHNOLOGY LICENSING, LLC (Redmond, WA)",Tencent,Facebook,Visa Inc.,McDonald's,Alibaba Group,AT&T
2019,Amazon,Apple Inc.,Google,Microsoft,Visa,Facebook,Alibaba Group,Tencent,McDonald's,AT&T
2020,"Amazon.com, Inc.",Apple Inc.,microsoft.com,Google,Visa Inc.,Alibaba Group,Tencent,Facebook,McD,Mastercard
2021,Amazon,Apple Computer Inc.,Google,MSFT,Tencent,facebook.com,Alibaba Group,Visa,McD,Mastercard
2022,Apple Inc.,Google,"Amazon.com, Inc.",MSFT,Tencent,McDonald's,Visa Inc.,FB,Alibaba Group,Louis Vuitton
2023,Apple Inc.,Big G,microsoft.com,"Amazon.com, Inc.",McDonald's,Visa Inc.,Tencent,Louis Vuitton,Mastercard,Coca-Cola
