col0,col1,col2,col3,col4,col5
1934,Round of 16,3-2,W,Milan,"Kielholz (2), Abegglen"
1934,Quarter-finals,2-3,L,Torino,"Kielholz, Jäggi"
1938 Jules Rimet Cup,Round of 16,1-1,D,"Paris, France",Andre Abegglen
1938,Round of 16,4-2,W,Paris,"Walaschek, Bickel, Abegglen (2)"
1938,Quarter-finals,0-2,L,Lille,
1950,Group 1,0-3,L,Belo Horizonte,
1950,Group 1,2-2,D,São Paulo,Fatton (2)
1950,Group 1,2-1,W,Porto Alegre,"Bader, Antenen"
1954,Group 2,2-1,W,Lausanne,"Ballaman, Hügi"
1954,Group 2,0-2,L,Bern,
1954,Group 2,4-1,W,Basel,"Hügi (2), Ballaman, Fatton"
1954,Quarter-final,5-7,L,Lausanne,"Ballaman (2), Hügi (3)"
1962,Group 2,1-3,L,Santiago,Wüthrich
1962,Group 2,1-2,L,Santiago,Schneiter
1962,Group 2,0-3,L,Santiago,
1966,Group 2,0-5,L,Sheffield,
1966,Group 2,1-2,L,Sheffield,Quentin
1966,Group 2,0-2,L,Sheffield,
1994,Group A,1-1,D,Pontiac,Bregy
1994,Group A,4-1,W,Pontiac,"Sutter, Chapuisat, Knup (2)"
1994,Group A,0-2,L,Palo Alto,
1994,Round of 16,0-3,L,Washington,
2006,Group G,0-0,D,Stuttgart,
2006,Group G,2-0,W,Dortmund,"Frei, Barnetta"
2006,Group G,2-0,W,Hanover,"Senderos, Frei"
2006,Round of 16,0-0,D,Cologne,
2010,Group H,1-0,W,Durban,Fernandes
2010,Group H,0-1,L,Port Elizabeth,
2010,Group H,0-0,D,Bloemfontein,
2014,Group E,2-1,W,Brasília,"Mehmedi, Seferovic"
2014,Group E,2-5,L,Salvador,"Džemaili, Xhaka"
2014,Group E,3-0,W,Manaus,Shaqiri (3)
2014,Round of 16,0-1,L,São Paulo,
2018,Group E,1-1,D,Rostov-on-Don,Zuber
2018,Group E,2-1,W,Kaliningrad,"Xhaka, Shaqiri"
2018,Group E,2-2,D,Nizhny Novgorod,"Džemaili, Drmić"
2018,Round of 16,0-1,L,Saint Petersburg,
2022,Group G,1-0,W,Al Wakrah,Embolo
2022,Group G,0-1,L,Doha,
2022,Group G,3-2,W,Doha,"Shaqiri, Embolo, Freuler"
2022,Round of 16,1-6,L,Lusail,Akanji
