col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
Antrim South,Savory,Savory,Savory,Savory,Savory,Savory,Cunningham,Cunningham,Cunningham,Cunningham,Cunningham,Cunningham,Cunningham,Cunningham,Molyneaux,Molyneaux,Molyneaux,Molyneaux,Molyneaux,Molyneaux
Armagh,James Richard Edwards Harden,Harden,James Richard Edwards Harden,Harden,James Richard Edwards Harden,Armstrong,Armstrong,Armstrong,Armstrong,John Edward Maginnis,Maginnis,John Edward Maginnis,Maginnis,Maginnis,Maginnis,John Edward Maginnis,James Harold McCusker,James Harold McCusker,James Harold McCusker,McCusker
Down South,Captain Lawrence Percy Story Orr,Captain Lawrence Percy Story Orr,Orr,Orr,Orr,Orr,Orr,Captain Lawrence Percy Story Orr,Orr,Captain Lawrence Percy Story Orr,Captain Lawrence Percy Story Orr,Orr,Orr,Captain Lawrence Percy Story Orr,Captain Lawrence Percy Story Orr,Captain Lawrence Percy Story Orr,Captain Lawrence Percy Story Orr,Powell,John Enoch Powell,Powell
Londonderry,Ross,Wellwood,Wellwood,Wellwood,Wellwood,Wellwood,Robert Chichester-Clark,Chichester-Clark,Robert Chichester-Clark,Chichester-Clark,Robert Chichester-Clark,Robert Chichester-Clark,Chichester-Clark,Robert Chichester-Clark,Robert Chichester-Clark,Chichester-Clark,Ross,Ross,Ross,Ross
Down North,W. D. Smiles,Smiles,Smiles,Smiles,Ford,Ford,Currie,George Boyle Hanna Currie,Currie,Currie,George Boyle Hanna Currie,George Boyle Hanna Currie,Currie,George Boyle Hanna Currie,Sir James Alexander Kilfedder,Kilfedder,Kilfedder,Sir James Alexander Kilfedder,,
Belfast East,McKibbin,McKibbin,McKibbin,McKibbin,McKibbin,McKibbin,McKibbin,McKibbin,McMaster,Stanley Raymond McMaster,Stanley Raymond McMaster,Stanley Raymond McMaster,McMaster,Stanley Raymond McMaster,McMaster,McMaster,,,,Craig
Belfast South,Gage,Gage,Gage,Campbell,Campbell,Campbell,Campbell,Campbell,Campbell,Campbell,Pounder,Rafton John Pounder,Pounder,Pounder,Rafton John Pounder,Pounder,,,Bradford,Robert Jonathan Bradford
Belfast North,Hyde,Harford Montgomery Hyde,Hyde,Hyde,Hyde,Harford Montgomery Hyde,Harford Montgomery Hyde,Hyde,Hyde,Mills,William Stratton Mills,William Stratton Mills,Mills,Mills,Mills,,Carson,Carson,Carson,Carson
Antrim North,H. O'Neill,H. O'Neill,Robert William Hugh O'Neill,Robert William Hugh O'Neill,P. O'Neill,P. O'Neill,P. O'Neill,P. O'Neill,P. O'Neill,Clark,Clark,Clark,Clark,Clark,,,,,,
No. of UUP MPs,10,10,9,9,9,9,11,12,12,12,12,12,11,10,8,7,7,6,6,7
