col0,col1,col2,col3,col4,col5
Grant Brown,Jonathan Sawatzky,Tuff Seguin,Mike McGurk,,Burntwood
Roger Parker,Jason Yates,Ian Ferley,Robbie Fisher,Marc Meyers,Dauphin
Glenn Toews,Bryan Preston,Dwayne Moffatt,Steve Procyshyn,,Dauphin
Murray Warren,Brian Barker,Terry Warren,Reg Warren,Gary Barker,Deloraine
Kelly Robertson,Doug Armour,Peter Prokopowich,Bob Scales,Mark Robertson,Neepawa
Kelly Marnoch,Bart Witherspoon,Branden Jorgensen,Chris Cameron,Steve Irwin,Carberry
Perry Fisher,Kevin Cullen,Brett McGregor,Sean Martin,Brett Hargreaves,Wawanesa
Ryan Hyde,Kyle Einerson,Farrol Asham,Kenny Keeler,Travis Taylor,Portage
Steve Pauls,Clarence Reimer,Kevin Friesen,Tim Bridges,Eric Atkins,Manitou
Curtis McCannell,Rob Van Deynze,Bill Thiessen,Jason Morrow,Kyle McCannell,Pilot Mound
Richard Muntain,Mike McCaughan,Curtis Atkins,Rodney Legault,Rob Atkins,Pinawa
Evan Martin,Travis Bale,Ian Fordyce,Nigel Milnes,Scott Madams,East St. Paul
Andy Stewart,Andrew Hunt,Sam Good,Trevor Blue,Myles MacMillan,Stonewall
Jeff Stoughton,Rob Fowler,Alex Forrest,Connor Njegovan,,Charleswood
Braden Calvert,Kyle Kurz,Lucas Van Den Bosch,Brendan Wilson,Trevor Calvert,Deer Lodge
Bill Kuran,Taylor McIntyre,Riley Smith,Jared Hancox,,Granite
Trevor Loreth,Brad Haight,Ryan Lowdon,Brett Cawson,Gerry Haight,Granite
Kyle Foster,Andrew Wickman,Ryan Hlatkey,Chad Barkman,Adam Wickman,Fort Rouge
Jason Gunnlaugson,Colton Lott,Kyle Doering,Rob Gordon,Matt Dunstone,Granite
William Lyburn,Richard Daneault,Andrew Irving,Dan Gagne,,Granite
Jerry Chudley,Kevin Cooley,Brent McKee,Paul Robertson,Jason Vinnell,Neepawa
Mike McEwen,B. J. Neufeld,Matt Wozniak,Denni Neufeld,,Fort Rouge
Reid Carruthers,Braeden Moskowy,Derek Samagalski,Colin Hodgson,,West St. Paul
David Bohn,Bryan Galbraith,Dennis Bohn,Larry Solomon,Shawn Magnusson,Assiniboine Memorial
Scott Ramsay,Mark Taylor,Ross McFadyen,Kyle Werenich,Kevin Thompson,Granite
Sean Grassie,Corey Chambers,Kody Janzen,Stuart Shiells,,Deer Lodge
Jared Kolomaya,Neil Kitching,Kennedy Bird,Daniel Hunt,,Stonewall
Daley Peters,Brendan Taylor,Taren Gesell,Greg Melnichuk,,West Kildonan
Mark Lukowich,Stuart Gresham,Chris Chimuk,Kevin Wiebe,Steen Sigurdson,Granite
Daniel Birchard,Kelly Fordyce,Brody Moore,Andrew Peck,Neil Okumura,Pembina
Merv Satterthwaite,Brent Griffin,Heinz Warkentin,Mike Zwarycz,Ken Armstrong,St. Vital
Greg Mikolayek,Ian Harkness,Dean Nero,Clint Fuz,Pat Carson,Fort Rouge
