col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
2005,Persson Motorsport,AMG,HOC,LAU,Circuit de Spa-Francorchamps,BRN,OSC,NOR,NÜR,ZAN,LAU,Istanbulpark,HOC,16th,5
2006,HWA Racelab,AMG-Mercedes C-Klasse 2006,HOC,LAU,OSC,BRH,NOR,Green Hell,ZAN,CAT,BUG,HOC,,2nd,63
2007,HWA Team,AMG-Mercedes C-Klasse 2007,HOC,OSC,LAU,BRH,NOR,MUG,ZAN,NÜR,CAT,HOC,,2nd,47
2008,HWA Racelab,AMG,HOC,OSC,MUG,LAU,NOR,ZAN,NÜR,BRH,CAT,BUG,HOC,5th,38
2009,HWA Team,AMG,HOC,LAU,NOR,ZAN,OSC,NÜR,BRH,CAT,DIJ,HOC,,4th,41
2010,HWA Team,AMG-Mercedes C-Klasse 2009,HOC,VAL,LAU,NOR,NÜR,ZAN,BRH,OSC,HOC,ADR,SHA,3rd,66
2011,HWA Team,AMG-Mercedes C-Klasse 2009,HOC,ZAN,SPL,LAU,NOR,NÜR,BRH,OSC,VAL,HOC,,3rd,51
2012,BMW Team Schnitzer,BMW M3 DTM,HOC,LAU,BRH,Österreichring,NOR,Nurburgring,ZAN,OSC,VAL,HOC,,1st,149
2013,BMW Team Schnitzer,BMW M3 DTM,HOC,BRH,SPL,LAU,NOR,MSC,Green Hell,OSC,ZAN,HOC,,3rd,82
2014,BMW Team Schnitzer,BMW M4 DTM,HOC,OSC,HUN,NOR,MSC,SPL,The Ring,LAU,ZAN,HOC,,11th,42
2015,BMW Team MTEK,BMW M4 DTM,HOC   1,HOC   2,LAU   1,LAU   2,NOR   1,NOR   2,ZAN   1,ZAN   2,Österreichring,SPL   2,MSC   1,5th,123
2016,BMW Team MTEK,BMW M4 DTM,HOC   1,HOC   2,A1-Ring,A1-Ring,LAU   1,LAU   2,NOR   1,NOR   2,ZAN   1,ZAN   2,MSC   1,15th,51
2017,BMW Team RBM,BMW M4 DTM,HOC   1,HOC   2,LAU   1,LAU   2,HUN   1,HUN   2,NOR   1,NOR   2,MSC   1,MSC   2,ZAN   1,13th,75
2018,BMW Team RBM,BMW M4 DTM,HOC   1,HOC   2,LAU   1,LAU   2,HUN   1,HUN   2,NOR   1,NOR   2,ZAN   1,ZAN   2,BRH   1,12th,85
2019,BMW Team RMG,BMW M4 Turbo DTM,HOC   1,HOC   2,ZOL   1,ZOL   2,MIS   1,MIS   2,NOR   1,NOR   2,ASS   1,ASS   2,BRH   1,9th,106
