col0,col1,col2
8 Mile,NJJ.Rocher,Cleared as of 19 May 2008
"00s, '20s, 10s, 20s, 30s, 40s, 50s, 60s, 70s, 80s, 90s",Paintspot,"Cleared as of February 23, 2019. While 9 out of 11 aren't technically disambiguation pages but still quite often incorrectly linked to, when the 19X0s are meant instead."
Alien,AnnaFrance,Clean as of August 19 2008
Alternative,Migospia,last edit June 14 2007
Amazon,bd2412,Checking weekly.
American,Oatmeal batman,last edit: January 5 2007
Anonymous,AnnaFrance,Clean as of July 29 2008
Bass,bd2412,Checking weekly.
BDT,AnnaFrance,Clean as of August 1 2008
Bie,Icarusgeek,Started January 14 2011.Only one article remains: Lake_Da. Does anybody know how I can find out who 'owns' the page? (as I can't edit it)
Boer War,Nzpcmad,Just started as of March 30 2007
Britain,"Steven J. Anderson, SteinbDJ",no links as of 2007-05-24
British,Blake01 and Jeff3000,no links as of 2008-04-13
Caucasian,Arenlor,Went back over it. 2010-01-23
Compression,Rwalker,Cleaned 107 links 2010-01-11
Confederacy,AnnaFrance,"Clean as of August 1, 2008"
Cuban,Spock of Vulcan,Clean as of 2011-02-15
Danish,Tkynerd,last edit 10 December 2011
Defender,Jeff3000,no links as of 2009-07-16
Duplication,Lenoxus,"As of 2008-04-16: 1 mainspace link allowed: hatnote in Duplicate. 1 Wikipedia space link allowed: Outline of Roget's Thesaurus. 2 DABs: Copy, Double."
Effective dose,ConradMayhew,Clean as of December 10 2011
English,"Tkynerd, happy5214",last edit 10 December 2011
EP,bd2412,Checking weekly.
Executive,AnnaFrance,Clean as of August 4 2008
Expo,Icarusgeek,Starting tomorrow (23 Jan) - with about 30 articles
Fatigue,Nihiltres,no links as of 2007-10-31
Fifty pence,Lenoxus,"As of 2008-04-16, 2 DAB links allowed: Two pence, Threepence, Ten pence."
Finnish,Tkynerd,last edit 10 December 2011
French,Spock of Vulcan,"Clean as of 2011-02-15. The links that are left should stay, for the same reason as the German ones."
German,Spock of Vulcan,Clean as of 2011-02-15. I've left 6 mainspace links to German (disambiguation) (a redirect to German) because it seems like they really should be pointing to the disambig page.
Gothic,William Avery,8 links requiring attention as of September 27 2008
Iranian,Jeff3000,last edit: November 4 2006
Italian,WolfgangFaber,0 links as of November 12 2006
Japanese,Dekimasu,0 links as of December 22 2014
Keyboard,bd2412,Checking weekly.
Khan,AnnaFrance,Clean as of August 8 2008
Lebanese,Ithinkhelikesit,0 links as of 2007-01-03
LLC,bd2412,Checking weekly.
LP,bd2412,Checking weekly.
Massacre,AnnaFrance,Clean as of August 11 2008
Nara,Ajstov,No links as of July 15 2011
Newcastle,IcarusGeek,"2 tricky articles hanging around, plus they come back in daily January 2011 2010"
NHS,AnnaFrance,Clean as of August 9 2008
Northwest,Tkynerd,last edit: 28 November 2011
Norwegian,Tkynerd,last edit: 10 December 2011
Old Trafford,Nzpcmad,No links as of March 14 2007
Organ,Goochelaar,"lots to do, just begun; last edit: January 27 2007"
Ottoman,TimBentley,2 links as of December 8 2006
Ottoman Turkish,TimBentley,0 links as of December 8 2006
Palm,Wjw0111,Just started as of March 28 2008
Passenger car,Tkynerd,last edit: 28 November 2011
Penthouse,Emc2,no links as of November 2 2006
Persian,Jeff3000,last edit: October 22 2006
Phoenix,happy5214,"My birth city, clean as of January 12, 2011"
Prime mover,AnnaFrance,Clean as of August 13 2008
PSP,HelmsC1978,last edit: January 1 2007
Romanesque,William Avery,Clean as of September 27 2008
Runner,AnnaFrance,Clean as of August 15 2008
Scottish,Finavon,"last edit October 26, 2008 - lots of User pages remain"
Seal,bd2412,Checking weekly.
Selo,CarrieVS,Clean as of June 6 2012
Sexuality,Mynameisnotpj,zero links as of May 19 2008
Solna,Tkynerd,last edit: 28 November 2011
Subway,Tkynerd,last edit: 10 December 2011
Swedish,Tkynerd,last edit: 10 December 2011
Terminal,Rwalker,"last edit: January 11, 2010 - only User and otheruses links remain"
Terrestrial,AnnaFrance,"clean as of August 17, 2008"
Ting,Tkynerd,last edit: 2 December 2011
Tom Jones,Badgernet,Clean as of October 13 2008
Turk,TimBentley,19 links as of December 8 2006
Turntable,Tkynerd,"last edit: No longer a dab page, redirects to Phonograph. I piped all incoming links in mainspace that didn't refer to phonographs.
3 December 2011"
Yugoslav,Biblbroks,4 links as of October 5 2007
