col0,col1,col2,col3
Butch Cassidy and the Sundance Kid,George Roy Hill,John Foreman,United States
Kes,Kenneth Charles Loach,Tony Garnett,United Kingdom
M*A*S*H,Robert Altman,Ingo Preminger,United States
Ryan's Daughter,Sir David Lean,Anthony Havelock-Allan,United Kingdom of Great Britain and Northern Ireland
Sunday Bloody Sunday,John Schlesinger,Joseph Janni,United Kingdom of Great Britain and Northern Ireland
The Go-Between,Joseph Losey,"John Heyman, Denis Johnson, Norman Priggen",United Kingdom
Death in Venice (Morte a Venezia),Luchino Visconti,Luchino Visconti,Italy   France
Taking Off,Miloš Forman,Alfred W. Crown,United States
Cabaret,Bob Fosse,Cy Feuer,the U.S.A.
A Clockwork Orange,Stanley Kubrick,Stanley Kubrick,Britain
The French Connection,William Friedkin,Philip D'Antoni,the U.S.A.
The Last Picture Show,Peter Bogdanovich,Stephen J. Friedman,United States
Day for Night (La Nuit américaine),François Truffaut,Marcel Berbert,France
The Day of the Jackal,Fred Zinnemann,John Woolf,United Kingdom   France
The Discreet Charm of the Bourgeoisie (Le Charme discret de la bourgeoisie),Luis Buñuel,Serge Silberman,France   Italy   Spain
Don't Look Now,Nicolas Roeg,Peter Katz,United Kingdom   Italy
"Lacombe, Lucien",Louis Malle,"Louis Malle, Claude Nedjar",France   West Germany   Italy
Chinatown,Roman Polanski,Robert Evans,United States
The Last Detail,Hal Ashby,Gerald Ayres,United States
Murder on the Orient Express,Sidney Lumet,"John Brabourne, Richard B. Goodwin",United Kingdom
Alice Doesn't Live Here Anymore,Martin Scorsese,"Audrey Maas, David Susskind",United States
Barry Lyndon,Stanley Kubrick,Stanley Kubrick,United Kingdom
Dog Day Afternoon,Sidney Lumet,"Martin Bregman, Martin Elfand",United States
Jaws,Steven Spielberg,"David Brown, Richard D. Zanuck",United States
One Flew Over the Cuckoo's Nest,Miloš Forman,"Michael Douglas, Saul Zaentz",United States
All the President's Men,Alan J. Pakula,Walter Coblenz,United States
Bugsy Malone,Alan Parker,Alan Marshall,United Kingdom
Taxi Driver,Martin Scorsese,"Julia Phillips, Michael Phillips",United States
Annie Hall,Woody Allen,"Charles H. Joffe, Jack Rollins",United States
A Bridge Too Far,Richard Attenborough,"Joseph E. Levine, Richard P. Levine",United Kingdom   United States
Network,Sidney Lumet,Howard Gottfried,United States
Rocky,John G. Avildsen,"Robert Chartoff, Irwin Winkler",United States
Julia,Fred Zinnemann,Richard Roth,U. S.
Close Encounters of the Third Kind,Steven Spielberg,"Julia Phillips, Michael Phillips",U.S. of America
Midnight Express,Alan Parker,"Alan Marshall, David Puttnam",U. K.
Star Wars,George Lucas,Gary Kurtz,United States
Manhattan,Woody Allen,Charles H. Joffe,United States
Apocalypse Now,Francis Coppola,Francis Coppola,United States
The China Syndrome,James Bridges,Michael Douglas,United States
The Deer Hunter,Michael Cimino,"Michael Cimino, Michael Deeley, John Peverall, Barry Spikings",U.S. of America
