col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
Boston,Ingram,Ingram,Farmer-Atkinson,Farmer-Atkinson,Farmer-Atkinson,Ingram,"Sir William James Ingram, 1st Bt.","Sir William James Ingram, 1st Bt.",Garfit,Garfit,Garfit,Faber,Faber,Dixon,Dixon,Dixon,Dixon,Dixon,Dixon
Brigg,Meysey-Thompson,→,Waddy,Waddy,Waddy,Waddy,Waddy,Richardson,Reckitt,Reckitt,Reckitt,Reckitt,Sheffield,Gelder,Gelder,Gelder,Gelder,Gelder,Gelder
Gainsborough,Bennett,Bennett,Eyre,Eyre,Eyre,Bennett,Bennett,Bennett,Bainbridge,Bainbridge,Ormsby-Gore,Renton,Alexander Leslie Renton,Bentham,Bentham,Bentham,Bentham,Bentham,Bentham
Grantham,Mellor,Mellor,Low,Low,William Malcolm Low,Lopes,Lopes,Lopes,Lopes,Lopes,Sir Arthur Alexander Priestley,Sir Arthur Alexander Priestley,Priestley,Sir Arthur Alexander Priestley,Sir Arthur Alexander Priestley,Priestley,Priestley,Priestley,Priestley
Grimsby,Heneage,→,→,→,→,Josse,Heneage,Heneage,Doughty,→,→,→,→,Wing,Doughty,Doughty,→,Tickler,Tickler
Horncastle,Stanhope,Stanhope,Stanhope,Stanhope,Stanhope,Stanhope,Stanhope,de Eresby,Lord Willoughby de Eresby,Lord Willoughby de Eresby,Lord Willoughby de Eresby,de Eresby,de Eresby,de Eresby,de Eresby,Weigall,Weigall,Weigall,Weigall
Lincoln,Ruston,→,Kerans,Kerans,Kerans,Crosfield,Crosfield,Crosfield,Seely,"Sir Charles Hilton Seely, 2nd Bt.",Seely,Roberts,Roberts,Roberts,Roberts,Roberts,Roberts,Roberts,Roberts
Louth,Otter,Otter,Heath,Heath,Heath,Perks,Perks,Perks,Perks,Perks,Perks,Perks,Perks,Brackenbury,Davies,Davies,Davies,Davies,Davies
Sleaford,Chaplin,Chaplin,Chaplin,Chaplin,Chaplin,Chaplin,Chaplin,Chaplin,Chaplin,Chaplin,Chaplin,Lupton,Lupton,Royds,Royds,Royds,Royds,Sir Edmund Royds,Royds
Spalding,Finch-Hatton,Finch-Hatton,Finch-Hatton,Sir Halley Stewart,Stewart,Stewart,Stewart,Stewart,Pollock,Pollock,Mansfield,Mansfield,Mansfield,McLaren,McLaren,McLaren,McLaren,McLaren,Peel
Stamford,Lawrance,Lawrance,Lawrance,Lawrance,Cust,Cust,Cust,Cust,Younger,"Sir William Younger, 1st Bt.",Younger,Joicey-Cecil,Joicey-Cecil,Heathcote-Drummond-Willoughby,Heathcote-Drummond-Willoughby,Hon. Claud Heathcote-Drummond-Willoughby,Heathcote-Drummond-Willoughby,Hon. Claud Heathcote-Drummond-Willoughby,Hon. Claud Heathcote-Drummond-Willoughby
