col0,col1,col2,col3,col4
Aathi Parasakthi,K. S. Gopalakrishnan,Chitra Productions,K. V. Mahadevan,"Gemini Ganesan, Jayalalithaa, Padmini, R. Muthuraman, S. V. Ranga Rao, S. Varalakshmi, Vanisri, Rajasree, Vennira Aadai Nirmala, S. V. Subbaiah, Sridevi"
Anbukkor Annan,N. S. Maniam,Karuna Films,M. S. Viswanathan,"Gemini Ganesan, Jaishankar, Vennira Aadai Nirmala, Srividya"
Annai Velankanni,K. Thangappan,Giri Movies,G. Devarajan,"Gemini Ganesan, Jayalalitha, Padmini, K. R. Vijaya, R. Muthuraman, Devika, Nagesh, Thengai Srinivasan, Manorama, Sachu, Sivakumar, Srividya"
Arunodhayam,V. Srinivasan,Muktha Films,K. V. Mahadevan,"Sivaji Ganesan, B. Saroja Devi, R. Muthuraman, Lakshmi, Cho, Manorama"
Arutperunjothi,A. T. Krishnaswamy,Balu Films,T. R. Pappa,"Master Sridhar, A. P. Nagarajan, K. A. Thangavelu, M. Saroja, Devaki"
Avalukendru Or Manam,C. V. Sridhar,Chitralaya,Manayangath Subramanian Viswanathan,"Gemini Ganesan, Bharathi, Kanchana, R. Muthuraman"
Babu,A. C. Tirulokchandar,Cine Bharath Productions,M. S. Viswanathan,"Sivaji Ganesan, Sowcar Janaki, K. Balaji, Nagesh, Sivakumar, Vennira Aadai Nirmala, Vijayasree"
Deivam Pesuma,Chinni Sampath,Bhanu Chitra Productions,Shankar-Ganesh,"A. V. M. Rajan, Vennira Aadai Nirmala, Sandhya Rani, Thengai Srinivasan, C. L. Anandhan, V. S. Raghavan, A. Karunanidhi"
Iru Thuruvam,S. Ramanathan,P. S. V. Pictures,M. S. Viswanathan,"Sivaji Ganesan, Padmini, R. Muthuraman, Nagesh, Rajasree P.S.Veerappa"
Irulum Oliyum,S. R. Puttanna,Producers Combine,K. V. Mahadevan,"Vanisri, A. V. M. Rajan, R. Muthuraman, Nagesh, Rama Prabha"
Justice Viswanathan,G. R. Nathan,Modern Theatres,Vedha,"Ravichandran, Major Sundarrajan, C. I. D. Sakunthala, Manimala, Thengai Srinivasan, Manorama"
Kankaatchi,A. P. Nagarajan,Sri Vijayalakshmi Pictures,Kunnakudi Vaidyanathan,"Sivakumar, Kumari Padmini, K. D. Santhanam, Kallapart Natarajan, A. Sakunthala, Suruli Rajan, Manorama"
Kannan Karunai,N. T. Rama Rao,,,"NTR, K. R. Vijaya"
Kettikaran,H. S. Venu,Dhandayuthapani Films,Shankar-Ganesh,"Jaishankar, Leela, Jayakumari, Nagesh, Major Sundarrajan"
