col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
2014,Chip Ganassi Racing with Felix Sabates,02,P,Riley Technologies LLC,Ford EcoBoost 3.5 L V6 Turbo,DAY,2014 12 Hours of Sebring,LBH,LGA,DET,WGL,MOS,IMS,ELK,COA,26th,81
2015,Chip Ganassi Racing,01,P,Riley Technologies LLC,Ford EcoBoost 3.5 L V6 Turbo,,SEB,LBH,LGA,DET,WGL,MOS,ELK,COA,PET,13th,98
2016,Ford Chip Ganassi Racing,67,GTLM,Ford GT,Ford 3.5 L EcoBoost V6,,2016 Sebring 12 Hours,LBH,LGA,DET,WGL,MOS,LIM,ELK,VIR,21st,52
2017,Ford Chip Ganassi Racing,67,GTLM,Ford GT,Ford EcoBoost 3.5 L Turbo V6,DAY,SEB,LBH,COA,WGL,MOS,LIM,ELK,VIR,LGA,15th,73
2018,Ford Chip Ganassi Racing,67,GTLM,Ford GT,Ford EcoBoost 3.5 L Turbo V6,2018 Rolex 24 at Daytona,SEB,LBH,MDO,WGL,MOS,LIM,ELK,VIR,LGA,11th,89
2019,Ford Chip Ganassi Racing,67,GTLM,Ford GT,Ford EcoBoost 3.5 L Turbo V6,DAY,SEB,LBH,MDO,WGL,MOS,LIM,ELK,VIR,LGA,17th,85
2020,Konica Minolta Cadillac,10,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,DAY,SEB,ELK,ATL,MDO,PET,LGA,SEB,,16th,94
2021,Cadillac Chip Ganassi Racing,01,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,SEB,2021 Acura SportsCar Challenge,2021 Chevrolet Detroit Grand Prix,WGL,WGL,ELK,LGA,LBH,PET,15th,858
2022,Chip Ganassi Racing with Felix Sabates,01,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,SEB,LBH,LGA,MDO,DET,WGL,MOS,ELK,PET,15th,572
2023,Cadillac Racing,01,GTP,Cadillac V-LMDh,Cadillac LMC55R 5. 5 L V8,DAY,SEB,LBH,LGA,WGL,MOS,ELK,IMS,PET,,12th,952
2024,Cadillac Racing,01,GTP,Cadillac V-Series.R,Cadillac LMC55R 5. 5 L V8,DAY,SEB,LBH,LGA,DET,WGL,ELK,IMS,PET,,4th*,594*
