col0,col1,col2,col3,col4,col5
1st,"March 22, 1986",1985,After Hours,—,Robert Peter Cohon
2nd,"March 28, 1987",1986,Platoon,She's Gotta Have It,Buck Henry
3rd,"February 11, 1988",1987,River's Edge,Dirty Dancing,Buck Henry Zuckerman
4th,"March 25, 1989",1988,Stand and Deliver,Mystic Pizza,Buck Henry
5th,"March 24, 1990",1989,"Sex, Lies, and Videotape",Heathers,Buck Henry
6th,"March 23, 1991",1990,The Grifters,Metropolitan,Buck Henry
7th,"March 28, 1992",1991,Rambling Rose,Straight Out of Brooklyn,Henry Zuckerman
8th,"March 27, 1993",1992,The Player,The Waterdance,Buck Henry Zuckerman
9th,"March 19, 1994",1993,Short Cuts,El Mariachi,Robert Townsend
10th,"March 25, 1995",1994,Pulp Fiction,Spanking the Monkey,Kevin Pollak
11th,"March 23, 1996",1995,Leaving Las Vegas,The Brothers McMullen,Samuel L. Jackson
12th,"March 22, 1997",1996,Fargo,Sling Blade,Samuel L. Jackson
13th,"March 21, 1998",1997,The Apostle,Eve's Bayou,John Turturro
14th,"March 20, 1999",1998,Gods and Monsters,The Opposite of Sex,Queen Latifah
15th,"March 25, 2000",1999,Election,"Being John Malkovich (Over $500,000)   The Blair Witch Project (Under $500,000)",Jennifer Tilly
16th,"March 24, 2001",2000,"Crouching Tiger, Hidden Dragon","You Can Count on Me   Chuck & Buck (Under $500,000)",John Waters
17th,"March 23, 2002",2001,Memento,In the Bedroom,John Waters
18th,"March 22, 2003",2002,Far from Heaven,The Dangerous Lives of Altar Boys,John Waters
19th,"February 28, 2004",2003,Lost in Translation,Monster,John Waters
20th,"February 26, 2005",2004,Sideways,Garden State,Samuel L. Jackson
21st,"March 4, 2006",2005,Brokeback Mountain,Crash,Sarah Silverman
22nd,"February 24, 2007",2006,Little Miss Sunshine,Sweet Land,Sarah Silverman
23rd,"February 23, 2008",2007,Juno,The Lookout,Rainn Wilson
24th,"February 21, 2009",2008,The Wrestler,"Synecdoche, New York",Steve Coogan
25th,"March 5, 2010",2009,Precious,Crazy Heart,Eddie Izzard
26th,"February 26, 2011",2010,Black Swan,Get Low,Joel McHale
27th,"February 25, 2012",2011,The Artist,Margin Call,Seth Rogen
28th,"February 23, 2013",2012,Silver Linings Playbook,The Perks of Being a Wallflower,Andy Samberg
29th,"March 1, 2014",2013,12 Years a Slave,Fruitvale Station,Patton Oswalt
30th,"February 21, 2015",2014,Birdman or (The Unexpected Virtue of Ignorance),Nightcrawler,"Fred Armisen, Kristen Bell"
31st,"February 27, 2016",2015,Spotlight,The Diary of a Teenage Girl,"Kate McKinnon, Kumail Nanjiani"
32nd,"February 25, 2017",2016,Moonlight,The Witch,"Nick Kroll, John Mulaney"
33rd,"March 3, 2018",2017,Get Out,Ingrid Goes West,"Nick Kroll, John Mulaney"
34th,"February 23, 2019",2018,If Beale Street Could Talk,Sorry to Bother You,Aubrey Plaza
35th,"February 8, 2020",2019,The Farewell,Booksmart,Aubrey Plaza
36th,"April 22, 2021",2020,Nomadland,Sound of Metal,Melissa Villaseñor
37th,"March 6, 2022",2021,The Lost Daughter,7 Days,"Megan Mullally, Nick Offerman"
38th,"March 4, 2023",2022,Everything Everywhere All at Once,Aftersun,Hasan Minhaj
39th,"February 25, 2024",2023,Past Lives,A Thousand and One,Aidy Bryant
