col0,col1,col2,col3,col4
Daniel Birchard,Kelly Fordyce,Andrew Peck,Paolo Aquila,Pembina CC
Braden Calvert,Kyle Kurz,Ian McMillan,Rob Gordon,Fort Rouge CC
Reid Carruthers,Derek Samagalski,Connor Njegovan,Matt Lorenz,Morris CC
Corey Chambers,Daley Peters,Julien Leduc,Brendan Bilawka,Fort Garry CC
Cale Dunbar,Shanyne MacGranachan,Kyle Sambrook,Chris Campbell,Brandon CC
Matt Dunstone,B.J. Neufeld,Colton Lott,Ryan Harnden,Fort Rouge CC
Wayne Ewasko,Doug May,Lorne Ryall,Gord Stelmack,Beausejour CC
Hayden Forrester,Brennan Sampson,Cyrus Brandt,Alexandre Fontaine,Fort Rouge CC
Mark Franklin,Jamie Hay,Barry Campbell,Grez Ziemanski,Granite CC
Brooks Freeman,Thomas McGillivray,Ryan Ostrowsky,Aaron MacDonell,Virden CC
Sean Grassie,Jordon Johnson,Daryl Evans,Rodney Legault,Deer Lodge CC
David Hamblin,Kris Mazinke,Ron Vermette,Devin Vermette,Morris CC
Ryan Hyde,Kenneth Keeler,Hartley Vanstone,Trevor Munro,Portage CC
Steve Irwin,Travis Taylor,Travis Brooks,Travis Saban,Brandon CC
Jay Kinnaird,James Hay,Kris Kinnaird,Sean McKean,Virden CC
Tanner Lott,Brad Van Walleghem,Wade Ford,Stu Shiells,Fort Rouge CC
Kelly Marnoch,Bart Witherspoon,Branden Jorgensen,Dean Smith,Carberry CC
Richard Muntain,Dean Dunstone,Al Purdy,Bruce Wyche,Granite CC
Steve Pauls,Clare Reimer,Bernie Hildebrand,Russell Pauls,Pilot Mound CC
Jordan Peters,Andrew Clapham,Zack Bilawka,Cole Chandler,Fort Rouge CC
Justin Reynolds,Nick Weshnoweski,Josh Maisey,Sean Giesbrecht,Winnipeg Beach CC
Justin Richter,Kyle Einarson,Jared Litke,Mitch Einarson,Beausejour CC
J. T. Ryan,Colin Kurz,Austin Pearson,Brandon Radford,Assiniboine Memorial CC
Tuffy Seguin,Matt Violot,Sean McKenzie,Jack Bauer,Burntwood CC
Grant Shewfelt,Mike Johnson,Rob Van Deynze,Mike Orchard,Baldur CC
Steen Sigurdson,Josh Claeys,Scott Bruce,Scott Peterson,Assiniboine Memorial CC
Riley Smith,Nick Curtis,Jared Hancox,Justin Twiss,Thistle CC
Jeff Stewart,Eric Zamrykut,Austin Mustard,Geoff Trimble,Gladstone CC
Rob Van Kommer,Evan Reynolds,Jefferey Steen,Seth White,Carberry CC
Brett Walter,Graham McFarlane,Devon Wiebe,Hugh McFarlane,Assiniboine Memorial CC
Ryan Wiebe,Ty Dilello,Sean Flatt,Adam Flatt,Fort Rouge CC
Joey Witherspoon,Taylor McIntyre,Derek Blanchard,Trevor Calvert,Assiniboine Memorial CC
