col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
2007,Real Racing,Honda NSX,SUZ,OKA,Fuji International Speedway,SEP,SUG,SUZ,MOT,AUT,22nd,6
2008,ARTA,Acura NSX,SUZ,OKA,FUJ,SEP,SUG,SUZ,MOT,AUT,8th,49
2009,Autobacs Racing Team Aguri,Honda NSX,OKA,SUZ,FUJ,SEP,SUG,SUZ,FUJ,AUT,2nd,81
2010,Team Kunimitsu,Honda HSV-010 GT,SUZ,OKA,Fuji International Speedway,SEP,SUG,SUZ,Fuji International Speedway,MOT,8th,40
2011,Team Kunimitsu,Honda HSV-010 GT,OKA,FUJ,SEP,SUG,SUZ,FUJ,AUT,MOT,9th,37
2012,Team Kunimitsu,Honda HSV-010 GT,OKA,Fuji International Speedway,SEP,SUG,SUZ,FUJ,AUT,MOT,5th,43
2013,Team Kunimitsu,Honda HSV-010 GT,OKA,Fuji International Speedway,SEP,SUG,SUZ,FUJ,AUT,MOT,10th,37
2014,Dome Racing,Honda NSX Concept-GT,OKA,FUJ,AUT,SUG,Fuji International Speedway,SUZ,BUR,MOT,18th,11
2015,Team Kunimitsu,Honda NSX Concept-GT,OKA,FUJ,Buriram International Circuit,FUJ,SUZ,SUG,AUT,MOT,3rd,60
2016,Team Kunimitsu,Honda NSX Concept-GT,OKA,FUJ,SUG,FUJ,SUZ,CHA,MOT,MOT,14th,20
2017,Team Kunimitsu,Honda NSX-GT,OKA,Fuji International Speedway,AUT,SUG,Fuji International Speedway,SUZ,Buriram International Circuit,MOT,7th,45
2018,Autobacs Racing Team Aguri,Acura NSX (North America),OKA,Fuji International Speedway,SUZ,CHA,Fuji International Speedway,SUG,AUT,MOT,3rd,71
2019,ARTA,Honda NSX-GT,OKA,Fuji International Speedway,SUZ,Buriram International Circuit,FUJ,AUT,SUG,MOT,10th,31
2020,Modulo Nakajima Racing,Acura NSX (North America),Fuji International Speedway,Fuji International Speedway,SUZ,MOT,FUJ,SUZ,MOT,FUJ,12th,31
2021,Modulo Nakajima Racing,Acura NSX (North America),OKA,FUJ,MOT,SUZ,SUG,AUT,MOT,FUJ,18th,5
2022,Modulo Nakajima Racing,Honda NSX-GT,OKA,FUJ,SUZ,Fuji International Speedway,SUZ,SUG,AUT,MOT,15th,4
2023,Modulo Nakajima Racing,Acura NSX (North America),OKA,FUJ,SUZ,FUJ,SUZ,SUG,AUT,MOT,14th,19
2024,Modulo Nakajima Racing,Honda Civic Type R-GT GT500,OKA,FUJ,SUZ,FUJ,SUZ,SUG,AUT,MOT,15th*,1*
