col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
2014,Starworks Motorsport,8,PC,FLM,Chevrolet LS3 6.2 L V8,DAY,2014 Sebring 12 Hours,LGA,KAN,WGL,IMS,ELK,VIR,COA,PET,2nd,282
2015,Starworks Motorsport,8,PC,Oreca FLM09,Chevrolet LS3 6.2 L V8,DAY,SEB,LGA,DET,WGL,MOS,LIM,ELK,COA,PET,5th,268
2016,Starworks Motorsport,8,PC,Formula LM,Chevrolet LS3 6.2 L V8,DAY,SEB,LBH,LGA,DET,WGL,MOS,LIM,ELK,COA,1st,355
2017,VisitFlorida Racing,90,P,Riley Mk. 30,Gibson GK428 4.2 V8,2017 Rolex 24 at Daytona,SEB,LBH,COA,DET,WGL,MOS,,,,7th,233
2017,VisitFlorida Racing,90,P,Ligier JS P217,Gibson GK428 4.2 V8,,,,,,,,ELK,LGA,PET,7th,233
2018,Wayne Taylor Racing,10,P,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,SEB,LBH,MDO,DET,WGL,MOS,ELK,LGA,PET,3rd,270
2019,Konica Minolta Cadillac,10,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,SEB,LBH,MDO,DET,WGL,MOS,ELK,LGA,PET,4th,274
2020,Konica Minolta Cadillac,10,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,DAY,SEB,ELK,ATL,MOH,PET,LGA,SEB,,2nd,264
2021,Chip Ganassi Racing with Felix Sabates,01,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,SEB,2021 Acura SportsCar Challenge,DET,WGL,WGL,ELK,LGA,LBH,PET,4th,3163
2022,Cadillac Racing,01,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,SEB,LBH,LGA,MDO,DET,WGL,MOS,ELK,PET,3rd,3220
2023,CGR,01,GTP,Cadillac V-LMDh,Cadillac LMC55R 5. 5 L V8,DAY,SEB,LBH,LGA,WGL,MOS,ELK,IMS,PET,,7th,2673
2024,CGR,01,GTP,Cadillac V-Series.R,Cadillac LMC55R 5. 5 L V8,DAY,SEB,LBH,LGA,DET,WGL,,ELK,IMS,PET,2nd*,1951*
Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:
