col0,col1,col2,col3,col4,col5
Joyce Quin,28 July 1998,28 July 1999,Labour,Blair,Cook
Geoff Hoon,28 July 1999,11 October 1999,Labour,Blair,Cook
Keith Vaz,11 October 1999,11 June 2001,Labour,Blair,Cook
Peter Hain,11 June 2001,24 October 2002,Labour,Blair,Straw
Denis MacShane,28 October 2002,11 May 2005,Labour,Blair,Straw
Douglas Alexander,11 May 2005,8 May 2006,Labour,Blair,Straw
Geoff Hoon,8 May 2006,28 June 2007,Labour,Blair,Beckett
Jim Murphy,28 June 2007,3 October 2008,Labour,Brown,Miliband
Caroline Flint,3 October 2008,5 June 2009,Labour,Brown,Miliband
The Baroness Kinnock of Holyhead,5 June 2009,13 October 2009,Labour,Brown,Miliband
Parliamentary Under-Secretary of State for Europe and Asia,Parliamentary Under-Secretary of State for Europe and Asia,Parliamentary Under-Secretary of State for Europe and Asia,Parliamentary Under-Secretary of State for Europe and Asia,Parliamentary Under-Secretary of State for Europe and Asia,Parliamentary Under-Secretary of State for Europe and Asia
Chris Bryant,13 October 2009,11 May 2010,Labour,Gordon Brown,Miliband
Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe
David Lidington,12 May 2010,14 July 2016,UK Conservative Party,Cameron,
Minister of State for Europe and the Americas,Minister of State for Europe and the Americas,Minister of State for Europe and the Americas,Minister of State for Europe and the Americas,Minister of State for Europe and the Americas,Minister of State for Europe and the Americas
Alan Duncan,15 July 2016,22 July 2019,Conservative,May,
Christopher Pincher,25 July 2019,13 February 2020,Conservative,Johnson,Raab
Parliamentary Under-Secretary of State for European Neighbourhood and the Americas,Parliamentary Under-Secretary of State for European Neighbourhood and the Americas,Parliamentary Under-Secretary of State for European Neighbourhood and the Americas,Parliamentary Under-Secretary of State for European Neighbourhood and the Americas,Parliamentary Under-Secretary of State for European Neighbourhood and the Americas,Parliamentary Under-Secretary of State for European Neighbourhood and the Americas
Wendy Morton,13 February 2020,19 December 2021,Conservative,Johnson,Raab
Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe
Chris Heaton-Harris,19 December 2021,8 February 2022,Conservatives,Johnson,Truss
Minister of State for Europe and North America,Minister of State for Europe and North America,Minister of State for Europe and North America,Minister of State for Europe and North America,Minister of State for Europe and North America,Minister of State for Europe and North America
James Cleverly,8 February 2022,7 July 2022,Conservative,Johnson,Truss
Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe
Graham Stuart,7 July 2022,6 September 2022,Conservative,Johnson,Truss
Leo Docherty,7 September 2022,27 October 2022,Conservative and Unionist Party,Truss,Cleverly
Parliamentary Under-Secretary of State for Europe,Parliamentary Under-Secretary of State for Europe,Parliamentary Under-Secretary of State for Europe,Parliamentary Under-Secretary of State for Europe,Parliamentary Under-Secretary of State for Europe,Parliamentary Under-Secretary of State for Europe
Leo Docherty,27 October 2022,26 March 2024,Conservative,Sunak,
Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe,Minister of State for Europe
Nus Ghani,26 March 2024,5 July 2024,Conservative,Sunak,
