col0,col1,col2,col3,col4,col5
AFG,Albania,Algeria,Angola,Argentina,Armenia
Australia,Österreich,Azerbaijan,Bahrain,bd,Barbadoes
Belarus,Belgium,🇧🇯,Bhutan,Bolivia,Lefatshe la Botswana
Brazil,Brunei,BUL,🇧🇫,Burundi,Cambodia
Cameroon,Canada,Republique centrafricaine,Chile,China,República de Colombia
cr,Cote d'Ivoire,Croatia,CZ,COD,DK
Djibouti,Dominica,Ecuador,Egypt,El Salvador,Equatorial Guinea
Estonia,Ethiopia,Fiji,Finland,France,Gabon
Gambia,Georgia,Germany,Ghana,Greece,Greenland
Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras
Hungary,India,Indonesia,Iran,Iraq,Ireland
Israel,Italy,Japan,Jordan,Kazakhstan,Kenya
Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho
Liberia,Libya,Madagascar,Malawi,Malaysia,Mali
Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Morocco
Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand
Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan
Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines
Poland,Portugal,Qatar,Republic of Seychelles,Republic of South Africa,Republic of the Congo
Romania,Russia,Rwanda,Sao Tome Principe,Saudi Arabia,Senegal
Serbia,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia
Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden
Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand
The Bahamas,The United Arab Emirates,The United Kingdom,The United States,Timor-Leste,Togo
Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine
Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia
