col0,col1,col2,col3,col4,col5
Grant Brown,Jonathan Sawatzky,Tuffy Seguin,David Schneider,,Burntwood
Richard Daneault,Chris Galbraith,Braden Zawada,Mike Neufeld,Bruce Archer,Granite
Randy Dutiaume,Dave Tonnellier,Bryce McEwen,Sheldon Wettig,,Thistle
Wayne Ewasko,Randal Thomas,Dave Beaudoin,Gord Stelmack,Cory Anderson,Beausejour
Rob Fowler,Allan Lyburn,Brendan Talyor,Derek Samagalski,,Brandon
Graham Freeman,Allan Lawn,Kevin Barkley,Dwayne Barkley,,Virden
Sean Grassie,Kody Janzen,Scott McCamis,Stu Shiells,,Deer Lodge
Doug Hamblin,Kevin Hamblin,Lorne Hamblin,Doug Fisher,David Hamblin,Morris
Ryan Hyde,Farrol Asham,Kyle Einarson,Kenny Keeler,Harley Vanstone,Portage
Steve Irwin,Joey Witherspoon,Travis Taylor,Travis Saban,Terry McNamee,Brandon
Dave Johnson,Robin Nelson,Gary Shibata,Davie Priestley,David Bay,Pembina
Jared Kolomaya,Neil Kitching,Kennedy Bird,Daniel Hunt,Andrew Hunt,Stonewall
David Kraichy,Andrew Irving,Taylor McIntyre,Brad Van Walleghem,,Fort Rouge
William Kuran,Kelly Marnoch,Branden Jorgensen,Chris Cameron,Evan Reynolds,Carberry
Trevor Loreth,Braid Haight,Ryan Lowden,Brett Cawson,Taren Gesell,West Kildonan
Mark Lukowich,Stu Gresham,Chris Chimuk,Kevin Wiebe,,West Kildonan
William Lyburn,Alex Forrest,Connor Njegovan,Tyler Forrest,James Kirkness,Fort Rouge
Mike McEwen,B. J. Neufeld,Matt Wozniak,Denni Neufeld,,Fort Rouge
Richard Muntain,Mike McCaughan,Curtis Atkins,Rodney Legault,Myron Bowerman,Pinawa
Don Nelson,Eldon Derksen,Harvey Hiebert,Dave Penner,,Pembina
Randy Neufeld,Jim Coleman,A. J. Girardin,Shane Halliburton,Matt Abraham,Pembina
Glenn Parrott,Scott Gray,Cory Parrott,Grant Spraggs,,Minnedosa
Scott Ramsay,Mark Taylor,Ross McFadyen,Kyle Werenich,Kevin Thompson,Granite
Justin Richter,Shawn Magnusson,Bryan Galbraith,Darcy Jacobs,,Riverton
Kelly Robertson,Doug Armour,Peter Prokopowich,Bob Scales,,Neepawa
Brent Scales,Gordy Hardy,Kelly Tibble,Todd Trevellyen,,Swan River
Bob Sigurdson,Darren Oryniak,Al Purdy,Chad Barkman,Wayne Sigurdson,West Kildonan
Steen Sigurdson,Riley Smith,Ian McMillan,Nick Curtis,Trevor Calvert,Heather
Justin Stanus,Josh Drews,Nolan Bradshaw,Justin Twiss,,Fort Rouge
Jeff Stoughton,Jon Mead,Reid Carruthers,Mark Nichols,Garth Smith,Charleswood
Greg Todoruk,Dwight Bottrell,Darcy Todoruk,Barrett Procyshyn,Jim Todoruk,Dauphin
Geoff Trimble,Jeff Stewart,Darren Pennell,Alan Christison,Dean Smith,Gladstone
