col0,col1,col2,col3,col4
1979,Øvrebø,Mette Mestad,Bente Mestad,Lilly Berland
1980,Austmarka,Mette Mestad,Bente Mestad,Mona Hauger
1981,Bardufoss,Ingeborg Nordmo,Iren Grødal,Bente Mestad
1982,Steinkjer,Sonja Larsen,Mette Mestad,Siv Bråten
1983,Lygna,Mette Mestad,Sanna Grønlid,Gry Østvik
1984,Vossestrand,Mette Mestad,Gry Østvik,Sanna Grønlid
1985,Fyresdal,Gry Østvik,Siv Bråten,Sanna Grønlid
1986,Geilo,Siv Bråten,Sanna Grønlid,Helga Øvsthus
1987,Tromsø,Siv Bråten Lunde,Anne Elvebakk,Synnøve Thoresen
1988,Dombås,Elin Kristiansen,Mona Bollerud,Anne Elvebakk
1989,Sørskogsbygda,Mona Bollerud,Synnøve Thoresen,Anne Elvebakk
1990,Voss,Elin Kristiansen,Gunn Fossum,Mona Bollerud
1991,Steinkjer,Anne Elvebakk,Grete Ingeborg Nykkelmo,Synnøve Thoresen
1992,Skrautvål,Anne Elvebakk,Hildegunn Fossen,Gunn Margit Andreassen
1993,Hattfjelldal,Hildegunn Fossen,Åse Idland,Unni Kristiansen
1994,Orkdalen,Hildegunn Fossen,Anne Elvebakk,Signe Trosten
1995,Fet,Gunn Margit Andreassen,Eli Merete Melheim,Ann-Elen Skjelbreid
1996,Brumunddal,Annette Sikveland,Gunn Margit Andreassen,Ann-Elen Skjelbreid
1997,Snåsa,Liv Grete Skjelbreid,Ann-Elen Skjelbreid,Gunn Margit Andreassen
1998,Dokka   Dombås,Liv Grete Skjelbreid,Ann-Elen Skjelbreid,Unni Kristiansen
1999,Tana,Liv Grete Skjelbreid,Gro Marit Istad,Gunn Margit Andreassen
2000,Meråker   Ål,Liv Grete Skjelbreid,Gunn Margit Andreassen,Linda Tjørhom
2001,Ål,Linda Tjørhom,Gunn Margit Andreassen,Liv Kjersti Eikeland
2002,Nordfjordeid,Liv Grete Skjelbreid Poirée,Gunn Margit Andreassen,Ann-Elen Skjelbreid
2003,Tromsø,Ann-Elen Skjelbreid,Linda Tjørhom,Gunn Margit Andreassen
2004,Steinkjer,Anne Ingstadbjørg,Linda Tjørhom,Liv Kjersti Eikeland
2005,Bossmo   Ytteren   Skonseng,Gro Marit Istad Kristiansen,Tora Berger,Jori Mørkve
2006,Trondheim   Byåsen,Linda Tjørhom,Tora Berger,Kari Henneseid Eie
2007,Folldal,Tora Berger,Anne Ingstadbjørg,Julie Bonnevie-Svendsen
2008,Stryn,Julie Bonnevie-Svendsen,Solveig Rogstad,Tora Berger
2009,Lillehammer,Tora Berger,Anne Ingstadbjørg,Gunn Margit Andreassen
2010,Simostranda,Tora Berger,Jori Mørkve,Ann Kristin Flatland
2011,Målselv,Tora Berger,Marte Olsbu,Ann Kristin Flatland
2012,Trondheim,Tora Berger,Synnøve Solemdal,Ane Skrove Nossum
2013,Dombås,Tora Berger,Jori Mørkve,Birgitte Røksund
2014,Voss,Marte Olsbu,Tora Berger,Vilde Ravnsborg Gurigard
2015,Sirdal,Ingrid Landmark Tandrevold,Sigrid Bilstad Neraasen,Marte Olsbu
