col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
Berwick-upon-Tweed,Robert Allen Fenwick Thorp,Lambton,Antony Claude Frederick Lambton,"Antony Claude Frederick Lambton, Lord Lambton",Lord Lambton,Lambton,Lambton,Lambton,Lambton,Lambton,Beith,"Alan Beith, Baron Beith",Beith,"Alan Beith, Baron Beith","Alan James Beith, Baron Beith",Beith
Hexham,Brown,Speir,Sir Rupert Speir,Speir,Sir Rupert Speir,Speir,Sir Rupert Malise Speir,Rupert Malise Speir,Rippon,Rippon,Rippon,Rippon,Rippon,Rippon,Rippon,Rippon
Newcastle upon Tyne North,Headlam,Lloyd George,Lloyd George,Lloyd George,Elliott,Elliott,Elliott,Elliott,Elliott,Elliott,Elliott,Elliott,Elliott,Elliott,Elliott,Elliott
Tynemouth,Ward,Ward,Ward,Ward,Ward,Irene Ward,Ward,Ward,"rene Mary Bewick Ward, Baroness Ward",Irene Ward,Ward,Sir Neville Guthrie Trotter,Trotter,Trotter,Trotter,Trotter
Newcastle upon Tyne East,Blenkinsop,Blenkinsop,Blenkinsop,Blenkinsop,Blenkinsop,Montgomery,Sir William Fergus Montgomery,Geoffrey William Rhodes,Geoffrey William Rhodes,Rhodes,Rhodes,Geoffrey William Rhodes,Thomas,Thomas,Thomas,→
Blyth,Robens,Alfred Robens,Alfred Robens,Robens,Alfred Robens,Alfred Robens,Milne,Edward James Milne,Edward James Milne,Edward James Milne,Milne,→,Ryman,Ryman,Ryman,Ryman
Morpeth,Taylor,Robert John Taylor,Owen,Owen,Owen,Owen,Owen,Owen,Owen,Grant,Grant,Grant,Grant,Grant,Grant,Grant
Newcastle upon Tyne Central,Wilkes,Short,Short,Short,Short,Edward Watson Short,Short,Short,Short,Short,Short,Short,Short,Cowans,Harry Lowes Cowans,Cowans
Newcastle upon Tyne West,"Ernest Popplewell, Baron Popplewell","Ernest Popplewell, Baron Popplewell",Popplewell,Popplewell,"Ernest Popplewell, Baron Popplewell",Popplewell,"Ernest Popplewell, Baron Popplewell","Ernest Popplewell, Baron Popplewell",Robert Crofton Brown,Robert Crofton Brown,Robert Crofton Brown,Robert Crofton Brown,Robert Crofton Brown,Brown,Brown,Robert Crofton Brown
Wallsend,McKay,McKay,McKay,McKay,McKay,McKay,McKay,Edward Garrett,William Edward Garrett,Garrett,Garrett,Garrett,Garrett,William Edward Garrett,Garrett,Garrett
