col0,col1,col2,col3,col4
1904,William Gray,,Joseph Sternberg,
1904,Joseph Abbott,,Joseph Sternberg,
1904,Alfred Hicks,,Joseph Sternberg,
1907,Alfred Hicks,,Joseph Sternberg,
1910,Alfred Hicks,,Joseph Sternberg,
1913,Alfred Hicks,,Joseph Sternberg,
1916,Alfred Hicks,,Joseph Sternberg,
1917,Alfred Hicks,Nationalist,Joseph Sternberg,Nationalist
1919,Alfred Hicks,Nationalist,Joseph Sternberg,Nationalist
1921,Herbert Keck,Nationalist,Joseph Sternberg,Nationalist
1922,Herbert Keck,Nationalist,Joseph Sternberg,Nationalist
1925,Herbert Keck,Nationalist,Joseph Sternberg,Nationalist
1928,Herbert Keck,Nationalist,George Lansell,Nationalist
1931,Herbert Keck,Nationalist,George Lansell,Nationalist
1931,Herbert Keck,United Australia,George Lansell,United Australia
1934,Herbert Keck,United Australia,George Lansell,United Australia
1937,John Lienhop,Country,George Lansell,United Australia
1940,John Lienhop,Country,George Lansell,United Australia
1943,John Lienhop,Country,George Lansell,United Australia
1944,John Lienhop,Country,George Lansell,Country
1946,John Lienhop,Country,George Lansell,Country
1949,John Lienhop,Liberal and Country,George Lansell,Liberal and Country
1949,John Lienhop,Liberal and Country,George Lansell,Liberal and Country
1951,Herbert Ludbrook,Liberal and Country,George Lansell,Liberal and Country
1952,Herbert Ludbrook,Liberal and Country,Arthur Smith,Labor
1955,Herbert Ludbrook,Liberal and Country,Arthur Smith,Labor
1958,Herbert Ludbrook,Liberal and Country,Arthur Smith,Labor
1961,Herbert Ludbrook,Liberal and Country,Arthur Smith,Labor
1964,Herbert Ludbrook,Liberal and Country,Jock Granter,Liberal and Country
1965,Herbert Ludbrook,Liberal,Jock Granter,Liberal
1967,Fred Grimwade,Liberal,Jock Granter,Liberal
1970,Fred Grimwade,Liberal,Jock Granter,Liberal
1973,Fred Grimwade,Liberal,Jock Granter,Liberal
1976,Fred Grimwade,Liberal,Bruce Reid,Liberal
1979,John Radford,Liberal,Bruce Reid,Liberal
1982,John Radford,Liberal,Bruce Reid,Liberal
1985,,,Bruce Reid,Liberal
