col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
2006,Paulo de Mello Gomes,Volkswagen Bora,INT,CTB,CGD,INT,Autodromo Internacional Ayrton Senna,Autodromo Internacional de Curitiba,SCZ,Autodromo de Brasilia,TAR,ARG,RIO,INT,NC,0
2007,Medley-A.Mattheis,Chevrolet Astra,INT,CTB,Autodromo Internacional de Campo Grande,INT,Autodromo Internacional Ayrton Senna,SCZ,Autodromo Internacional de Curitiba,Autodromo de Brasilia,ARG,TAR,Autodromo Internacional Nelson Piquet,INT,4th,240
2008,Medley-A.Mattheis,Chevrolet Astra,INT,BSB,Autodromo Internacional de Curitiba,SCZ,Autódromo Internacional de Campo Grande,INT,Autodromo Internacional Nelson Piquet,LON,CTB,BSB,TAR,INT,2nd,285
2009,Dolly-Action Power,Chevrolet Vectra,INT,CTB,BSB,SCZ,INT,SAL,RIO,Autodromo Internacional Ayrton Senna,CTB,BSB,TAR,INT,6th,248
2010,Blau Full Time,Peugeot 307,INT,CTB,VEL,Autodromo Internacional Nelson Piquet,RBP,SAL,INT,CGD,LON,Autodromo Internacional de Santa Cruz do Sul,BSB,Autodromo Internacional de Curitiba,7th,229
2011,Medley Full Time,Peugeot 408,CTB,INT,RBP,VEL,CGD,Autodromo Internacional Nelson Piquet,INT,Bahia,SCZ,Autodromo Internacional Ayrton Senna,Autodromo de Brasilia,VEL,7th,234
2012,Medley Full Time,Peugeot 408,INT,Autodromo Internacional de Curitiba,VEL,RBP,Autodromo Internacional Ayrton Senna,RIO,SAL,CAS,TAR,CTB,Autodromo Internacional Nelson Piquet,INT,21st,56
2013,Schin Racing Team,Peugeot 408,INT,Autodromo Internacional de Curitiba,TAR,SAL,BRA,Autodromo Internacional de Cascavel,Ribeirao Preto,CAS,VEL,Autodromo Internacional de Curitiba,Autodromo Internacional Nelson Piquet,INT,10th,102
2014,Schin Racing Team,Peugeot 408,INT   1,Autodromo Internacional de Santa Cruz do Sul,SCZ   2,BRA   1,Autodromo de Brasilia,GOI   1,Autodromo Internacional Ayrton Senna,GOI   1,CAS   1,CAS   2,CUR   1,CUR   2,NC,N/A
2015,Voxx Racing,Peugeot 408,GOI   1,Ribeirao Preto,Ribeirao Preto,VEL   1,VEL   2,CUR   1,CUR   2,SCZ   1,SCZ   2,CUR   1,Autodromo Internacional de Curitiba,GOI   1,,
2016,Cimed Racing,Peugeot 408,CUR   1,VEL   1,VEL   2,GOI   1,Autodromo Internacional Ayrton Senna,SCZ   1,SCZ   2,TAR   1,TAR   2,CAS   1,CAS   2,INT   1,,
2017,Cimed Racing,Chevrolet Cruze,GOI   1,Autodromo Internacional Ayrton Senna,VEL   1,VEL   2,Autodromo Internacional de Santa Cruz do Sul,Autodromo Internacional de Santa Cruz do Sul,CAS   1,Autodromo Internacional de Cascavel,Autodromo Internacional Ayrton Senna,Autodromo Internacional Ayrton Senna,CDC   1,CDC   2,,
