col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
Barnard Castle,Henderson,Rt. Hon. Arthur Henderson,Rt. Hon. Arthur Henderson,Henderson,Henderson,Henderson,Rt. Hon. Arthur Henderson,Henderson,Henderson,Henderson,Rt. Hon. Arthur Henderson,Henderson
Bishop Auckland,Paulton,Paulton,Havelock-Allan,"Sir Henry Spencer Moreton Havelock-Allan, 2nd Bt.",Henry Havelock-Allan,Havelock-Allan,"Sir Henry Spencer Moreton Havelock-Allan, 2nd Bt.",Havelock-Allan,Havelock-Allan,Havelock-Allan,Henry Spencer Moreton Havelock-Allan,Havelock-Allan
Chester-le-Street,John Taylor,John Taylor,→,John Taylor,John Taylor,John Taylor,→,→,→,John Taylor,John Taylor,John Taylor
Darlington,"Herbert Pike Pease, 1st Baron Daryngton",H. Pease,Lincoln,Lincoln,"Herbert Pike Pease, 1st Baron Daryngton","Herbert Pike Pease, 1st Baron Daryngton",→,→,→,"Herbert Pike Pease, 1st Baron Daryngton",→,→
Durham,Hills,Hills,Hills,Hills,Hills,→,→,→,→,→,→,→
Durham Mid,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Galbraith,Galbraith,Galbraith,Galbraith
Durham North West,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Williams,Williams,Williams,Williams,Williams
Durham South East,Lambton,Lambton,Hayward,Hayward,Hayward,Hayward,Hayward,Hayward,Hayward,Hayward,Hayward,Hayward
Gateshead,Johnson,Johnson,Elverston,Elverston,Elverston,Elverston,Elverston,Sir Harold Elverston,Sir Harold Elverston,Elverston,Elverston,Elverston
The Hartlepools,C. Furness,C. Furness,S. Furness 1,S. Furness 1,S. Furness 1,S. Furness 1,S. Furness 1,Runciman,"Runciman, Walter, 1st Baron Runciman",Runciman,"Runciman, Walter, 1st Baron Runciman",Runciman
Houghton-le-Spring,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,Wing,Wing,Wing,Wing,Wing,Wing
Jarrow,C. Palmer,Curran,G. Palmer,G. Palmer,G. Palmer,G. Palmer,G. Palmer,G. Palmer,G. Palmer,G. Palmer,G. Palmer,G. Palmer
South Shields,Robson,Robson,Robson,Rea,Rea,Rea,Rea,Rea,Rea,Cochrane,Cochrane,Wilson
Stockton-on-Tees,Ropner,Ropner,Samuel,Samuel,Samuel,Samuel,Samuel,Samuel,Samuel,Samuel,Watson,Watson
Sunderland,Stuart,Stuart,Storey,Storey,Greenwood,Greenwood,Greenwood,Greenwood,Greenwood,Greenwood,Greenwood,Greenwood
Sunderland,Summerbell,Summerbell,Knott,Knott,Goldstone,Goldstone,Goldstone,Goldstone,Goldstone,Goldstone,Goldstone,Goldstone
