col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
Dundee,Lacaita,Lacaita,Lacaita,Firth,Leng,Sir John Leng,Leng,Leng,Leng,Leng,Leng,Sir John Leng,Sir John Leng,Wilkie,Wilkie,Wilkie,Wilkie,Wilkie,Wilkie,Wilkie
Dundee,Robertson,Robertson,Robertson,Robertson,Robertson,Robertson,Robertson,Robertson,Robertson,Robertson,Robertson,Robertson,Robertson,Robertson,Robertson,Churchill,David Winter,Churchill,The Honourable Sir Winston Spencer Churchill,Churchill
Forfarshire,Barclay,→,→,→,→,Rigby,Hon. Charles Maule Ramsay,J Martin White,James Martin White,John Sinclair,John Sinclair,John Sinclair,Sinclair,John Sinclair,Sinclair,Sinclair,Falconer,Falconer,Falconer,Falconer
Montrose Burghs,John Will,Will,John Will,Will,John Will,Will,John Will,John Will,Morley,Morley,Morley,Morley,Morley,Morley,Morley,Harcourt,Harcourt,Harcourt,Harcourt,Harcourt
Perth,Parker,Parker,Parker,Parker,Parker,Whitelaw,Whitelaw,Wallace,Wallace,Wallace,Wallace,Wallace,Wallace,Wallace,Sir Robert Pullar,Sir Robert Pullar,Sir Robert Pullar,Whyte,Whyte,Whyte
Perthshire Eastern,Menzies,Menzies,Menzies,Menzies,Kinloch,Kinloch,Kinloch,Kinloch,Kinloch,Kinloch,Kinloch,Kinloch,Thomas Ryburn Buchanan,Thomas Ryburn Buchanan,Thomas Ryburn Buchanan,Thomas Ryburn Buchanan,Thomas Ryburn Buchanan,Young,Young,Young
Perthshire Western,Sir Donald Currie,→,→,Sir Donald Currie,→,Sir Donald Currie,→,→,→,→,Sir Donald Currie,Stroyan,Stroyan,Erskine,Erskine,Erskine,Erskine,Stewart-Murray,Lieut.-Col. Sir John George Stewart-Murray,Stirling
Clackmannanshire & Kinross-shire,Balfour,Balfour,Balfour,"John Blair Balfour, 1st Baron Kinross",Balfour,Balfour,Balfour,Balfour,Balfour,"John Blair Balfour, 1st Baron Kinross",Wason,Wason,Wason,Wason,Wason,Wason,Wason,Wason,Wason,Wason
Falkirk Burghs,Ramsay,Ramsay,Sinclair,William Sinclair,Sinclair,Smith,Smith,Wilson,John Wilson,Sir John Wilson,John Wilson,Sir John Wilson,Wilson,Macdonald,Macdonald,Macdonald,Macdonald,Macdonald,Macdonald,Macdonald
Stirling Burghs,Sir Henry Campbell-Bannerman,Sir Henry Campbell-Bannerman,CB,Campbell-Bannerman,Campbell-Bannerman,Campbell-Bannerman,Campbell-Bannerman,Campbell-Bannerman,CB,Campbell-Bannerman,Sir Henry Campbell-Bannerman,Campbell-Bannerman,Campbell-Bannerman,Campbell-Bannerman,Campbell-Bannerman,"Arthur Ponsonby, Baron Ponsonby",Ponsonby,Ponsonby,Ponsonby,Arthur Ponsonby Ponsonby Baron
Stirlingshire,Bolton,Bolton,Bolton,Bolton,Bolton,Jacks,Jacks,McKillop,McKillop,McKillop,McKillop,McKillop,McKillop,Smeaton,Smeaton,Smeaton,Smeaton,Chapple,Chapple,Chapple
