col0,col1,col2,col3,col4,col5
Andaman and Nicobar Islands,Bengali,Tamil,Telugu,Hindi,ml
Andhra Pradesh,Andhra bhasha,Urdu,Tamil,Kannada,Odia
Arunachal Pradesh,Nishi,Adi,Apatani language,Tagin,Hindi language
Axom,Assamese,Bengali language,Bodo,Hindi,Nepali
Bihar,Hindi (including Bihari languages),Maithili,Urdu language,Bengali,Santali
Chandigarh,Hindi,Punjabi,Urdu,Nepal,Bengali language
Chhattisgarh,Hindi language,Odia,Bengali,Telugu,Marathi
Dadra and Nagar Haveli and Daman and Diu,Gujarati,Hindi,Marathi,Konkani,Bengali
Delhi,Hindi language,Punjabi,Urdu,Bengali,mai
Goa,Konkani,Marathi,Hindi,Kannada,Urdu language
Gujarat,Gujarati,Modern Standard Hindi,Marathi,Sindhi,Urdu
Haryana,Hindi,Punjabi,Urdu,Bengali,Maithili
Himachal Pradesh,Hindi (including Pahari languages),Punjabi,Nepalese,Kashmiri,Dogri
Jammu and Kashmir and Ladakh,Kashmiri,Dogri,Modern Standard Hindi,Punjabi,Urdu
Jharkhand,Hindi (including Bihari languages),Santali language,Bengali,Urdu,Odia language
Karnataka,Kannada,Andhra bhasha,Tamil,Urdu language,Marathi
Kerala,Malayalam,Tamil,Tulu,Kannada,Konkani
Lakshadweep,ml,Dhivehi,Tamil,hi,Telugu
Madhya Pradesh,Hindi language,Marathi,Urdu,Sindhi,Gujarati
Maharashtra,Marathi,Hindi language,Urdu,Gujarati,Telugu
Manipur,Meitei,Nepali language,hi,Bengali,English
Meghalaya,Khasi,Garo,Bengali,ne,Hindi
Mizoram,Mizo,English,Hindi,Meitei,Chakma
Nagaland,Naga languages,English,Hindi language,Asamiya language,Meitei
Odisha,or,Santhali,Urdu language,Telugu,Hindi
Puducherry,Tamil,Telugu language,mal,French,English
Punjab,Punjabi,hi,Urdu,Bengali,English
Rajasthan,Hindi  (including Rajasthani languages),Punjabi,Gujarati,Sindhi,Urdu
Sikkim,Nepali,Hindi,Bengali,Urdu language,Punjabi
Tamil Nadu,Tamil,Malayalam,Telugu,Urdu,Kannada
Telangana,Telugu,ur,Gondi,Kannada,Marathi
Tripura,Bengali,Kokborok,Chakma,English,Meitei
Uttar Pradesh,Hindi (including Hindi languages),Urdu,Punjabi,Nepali language,bn
Uttarakhand,Hindi (including Pahari languages),Urdu,Punjabi,Bengali,Nepalese
West Bengal,Bengali,Hindi language,Santali,Oordoo,Nepali
