col0,col1
Kevin Conroy,Batman / Bruce Wayne
Rachel Kimsey,Wonder Woman / Diana Prince    Sis    Bleez
Jason J. Lewis,Superman / Kal-El / Clark Kent      General Zod     DeSaad    Krypto     Streaky the Supercat    Boss Kack     Carmine Falcone     Rath     Biff    Chancellor Al-On    Quex-Ul     Dex-Starr     Red Tornado
Jonathan Adams,Darkseid / Uxas
John Astin,Uncle Dudley
Sean Astin,Shazam / Billy Batson
Jake T. Austin,Blue Beetle / Jaime Reyes
Diedrich Bader,Booster Gold   Uthool    H.I.V.E. Master (2nd appearance)
Troy Baker,Hawkman    Jonas Glim   Kanto
Hannibal Buress,Mister Terrific / Michael Holt
Dayci Brookshire,Zatanna (young)
P. J. Byrne,Firestorm / Ronnie Raymond
Lacey Chabert,Zatanna Zatara
Gary Cole,Teth Adam / Black Adam
Jon Cryer,Felix Faust
Darin De Paul,Sinestro       Despotellis
Trevor Devall,Cain    Jonah Hex
John DiMaggio,Lobo       Mongul
Chris Diamantopoulos,Oliver Queen / Green Arrow       Nyorlath     H.I.V.E. Master (1st appearance)      Metallo
Melissa Disney,Mom      Brat
Dan Donohue,Brother Night       Merlin (1st appearance)
Michael Dorn,Atrocitus
Noel Fisher,Klarion the Witch Boy
Crispin Freeman,Martian Manhunter / J'onn J'onzz / John Jones
Gilbert Gottfried,Mister Mxyzptlk
Grey Griffin,Navigation Computer
Julianne Grossman,Queen Hippolyta
Mark Hamill,Joker      Swamp Thing       Trickster       Himself
Ely Henry,Calculator
Gillian Jacobs,Roxy Rocket
Ken Jeong,Toyman
Peter Jessop,Steppenwolf
Josh Keaton,Green Lantern / Hal Jordan
John de Lancie,Brainiac
Natalie Lander,Stargirl / Courtney Whitmore       Timmy
Cloris Leachman,Granny Goodness
Natasha Leggero,Poison Ivy
Thomas Lennon,Amazo
David Lodge,Calythos
Jon Lovitz,Sid Sharp
Erica Luttrell,Doctor Fate (young)
Piotr Michael,Kalibak   Perry White
Max Mittelman,Parasite        Jimmy Olsen
Jasika Nicole,Vixen / Mari McCabe
Jerry O'Connell,Atom / Ray Palmer
Damian O'Hare,John Constantine       Abnegazar      Professor Anderson
Patton Oswalt,Space Cabbie
Khary Payton,Cyborg / Victor Stone    Kanjar Ro
Robert Picardo,Two-Face
Laura Post,Circe   Big Barda
Dania Ramirez,Red Velvet
Carl Reiner,Wizard
Paula Rhodes,John Constantine (young)
Andy Richter,Chronos
William Salyers,Virman Vundabar
Charlie Schlatter,Flash / Barry Allen
Patrick Seitz,Etrigan the Demon / Jason Blood        Merlin (2nd appearance)
Armin Shimerman,Zilius Zox
Kevin Shinick,Dad
Christian Slater,Floyd Lawton / Deadshot
Roger Craig Smith,Scott Free / Mister Miracle
Dana Snyder,Plastic Man Patrick Eel O'Brian        Penguin / Oswald Cobblepot
David Sobolov,Gorilla Grodd
Brent Spiner,Riddler
Joanne Spracklen,Kara Zor-El / Supergirl
Peter Stormare,Victor Fries / Mr. Freeze
Tara Strong,Harleen Quinzel / Harley Quinn      Lois Lane       Ember       Batman (young)
Mena Suvari,Killer Frost
Fred Tatasciore,Cyrus Gold / Solomon Grundy
Stephen Tobolowsky,Martin Stein
Oliver Vaquer,Mister Mind
Jim Ward,Brain
Jessica Walter,Athena
Travis Willingham,Bizarro
Fryda Wolff,Faora
James Woods,Lex Luthor
