col0
Independent
Independent
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
ACC
ACC
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
ACC
ACC
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
ACC
ACC
Atlantic Coast Conference
Atlantic Coast Conference
ACC
Atlantic Coast Conference
ACC
ACC
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
ACC
Atlantic Coast Conference
Atlantic Coast Conference
ACC
ACC
ACC
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
ACC
ACC
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
ACC
ACC
Atlantic Coast Conference
Atlantic Coast Conference
Totals
Atlantic Coast Conference
ACC
Atlantic Coast Conference
ACC
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
ACC
ACC
ACC
Atlantic Coast Conference
Atlantic Coast Conference
ACC
ACC
Atlantic Coast Conference
Atlantic Coast Conference
ACC
Atlantic Coast Conference
ACC
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
ACC
Atlantic Coast Conference
ACC
Atlantic Coast Conference
Atlantic Coast Conference
ACC
ACC
Atlantic Coast Conference
ACC
Atlantic Coast Conference
Atlantic Coast Conference
ACC
Atlantic Coast Conference
Atlantic Coast Conference
ACC
ACC
ACC
ACC
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
Atlantic Coast Conference
ACC
Atlantic Coast Conference
ACC
ACC
