col0,col1,col2,col3,col4,col5,col6,col7
Aldridge-Brownhills,Shepherd,Morton,Morton,Morton,Morton,Morton,Morton
"Birmingham, Edgbaston",Stuart,Stuart,Preet Kaur Gill,Preet Kaur Gill,Preet Kaur Gill,Preet Kaur Gill,Gill
Birmingham Erdington,John Eugene Joseph Dromey,John Eugene Joseph Dromey,John Eugene Joseph Dromey,John Eugene Joseph Dromey,John Eugene Joseph Dromey,Paulette Adassa Hamilton,Paulette Adassa Hamilton
Birmingham Hall Green / B. H. G. & Moseley ('24),Godsiff,Godsiff,Godsiff,Godsiff,Ali,Ali,Ali
Birmingham Hodge Hill / B. H. H. & Solihull N ('24),Byrne,Byrne,Byrne,Liam Dominic Byrne,Liam Dominic Byrne,Byrne,Liam Dominic Byrne
Birmingham Ladywood,S. Mahmood,S. Mahmood,S. Mahmood,S. Mahmood,S. Mahmood,S. Mahmood,S. Mahmood
"Birmingham, Northfield",Burden,Richard Haines Burden,Richard Haines Burden,Burden,Sambrook,Gary William Sambrook,Turner
Birmingham Perry Barr,K. Mahmood,K. Mahmood,K. Mahmood,K. Mahmood,K. Mahmood,K. Mahmood,Khan
Birmingham Selly Oak,McCabe,McCabe,McCabe,McCabe,McCabe,McCabe,Carns
Birmingham Yardley,Hemming,Phillips,Phillips,Phillips,Phillips,Phillips,Phillips
Coventry North East / Coventry East (2024),Ainsworth,Fletcher,Fletcher,Fletcher,Fletcher,Fletcher,Creagh
Coventry North West,Robinson,Robinson,Robinson,Robinson,Owatemi,Owatemi,Owatemi
Coventry South,Cunningham,Cunningham,Cunningham,Cunningham,Sultana,Sultana,Sultana
Dudley North / Dudley (2024),Austin,Austin,Austin,→,Longhi,Longhi,Kumar
Dudley South,Kelly,Wood,Wood,Wood,Wood,Wood,N/A
Halesowen & Rowley Regis / Halesowen (2024),J. Morris,J. Morris,J. Morris,J. Morris,J. Morris,J. Morris,Ballinger
Meriden / Meriden & Solihull East (2024),Spelman,Spelman,Spelman,Spelman,Bhatti,Bhatti,Bhatti
Solihull / Solihull West & Shirley (2024),Burt,Knight,Knight,Knight,Knight,→,Shastri-Hurst
Stourbridge,James,James,James,James,Webb,Webb,Eccles
Sutton Coldfield,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell
Walsall North,Winnick,Winnick,E. Hughes,E. Hughes,E. Hughes,E. Hughes,N/A
Walsall South / Walsall & Bloxwich (2024),Vaz,Vaz,Vaz,Vaz,Vaz,Vaz,Vaz
Warley / Smethwick (2024),Spellar,Spellar,Spellar,Spellar,Spellar,Spellar,Josan
West Bromwich East / West Bromwich (2024),Watson,Watson,Watson,Watson,Richards,Richards,Coombes
West Bromwich W / Tipton & Wednesbury (2024),A. Bailey,A. Bailey,A. Bailey,A. Bailey,S. Bailey,S. Bailey,Bance
Wolverhampton North East,Reynolds,Reynolds,Reynolds,Reynolds,Stevenson,Stevenson,Brackenridge
Wolverhampton South East,McFadden,McFadden,McFadden,McFadden,McFadden,McFadden,McFadden
Wolverhampton SW / Wolverhampton W (2024),Uppal,Marris,Smith,Smith,Anderson,Anderson,Juss
Constituency,2010,2015,2017,19,2019,22,2024
