col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
1989,Tom Stephens,Labor,Thomas Richard Helm,Labor,Mark Warriedar Nevill,WA Labor,Phil Lockyer,Liberal Party of Western Australia,Norman Frederick Moore,Liberal
"Western Australian state election, 1993",Thomas Gregory Stephens,WA Labor,Tom Helm,Australian Labor Party (Western Australian Branch),Mark Nevill,Labor,Philip Harry Lockyer,Liberal,Norman Frederick Moore,WA Liberals
1996,Tom Stephens,Labor,Thomas Richard Helm,Australian Labor Party (Western Australian Branch),Mark Nevill,WA Labor,Greg Smith,Liberal,Norman Frederick Moore,WA Liberals
1999,Thomas Gregory Stephens,Australian Labor Party (Western Australian Branch),Thomas Richard Helm,Labor,Mark Warriedar Nevill,Independent,Gregory David Smith,Liberal Party of Western Australia,Norman Moore,Liberal Party of Western Australia
2000,Thomas Gregory Stephens,Labor,Thomas Richard Helm,Independent,Mark Warriedar Nevill,Independent,Gregory David Smith,Liberal,Norman Frederick Moore,Liberal
2001,Tom Stephens,Labor,Jon Ford,Labor,Robin Chapple,Greens,John Fischer,One Nation,Norman Frederick Moore,WA Liberals
2004,Kevin Leahy,Labor,Jonathan Robert Ford,WA Labor,Robin Chapple,Greens,John Duncombe Fischer,Independent,Norman Moore,Liberal
"Western Australian state election, 2005",Vince Catania,WA Labor,Jon Ford,Labor,Shelley Archer,Labor,Kenneth Charles Baston,Liberal,Norman Frederick Moore,Liberal
2007,Vince Catania,Labor,Jon Ford,Labor,Shelley Frances Archer,Independent,Ken Baston,Liberal Party of Western Australia,Norman Moore,Liberal
2008,Shelley Eaton,WA Labor,Jon Ford,WA Labor,Shelley Frances Archer,Independent,Ken Baston,Liberal,Norman Moore,Liberal
2008,Robin Howard Chapple,Greens,Jon Ford,Labor,Helen Bullock,Labor,Ken Baston,Liberal,Norman Frederick Moore,Liberal Party of Western Australia
2013,Robin Chapple,Greens,Jon Ford,Labor,Helen Bullock,Labor,Ken Baston,Liberal,Norman Moore,Liberal
2013,Robin Howard Chapple,Greens WA,Stephen Dawson,WA Labor,Mark Lewis,Liberal,Kenneth Charles Baston,Liberals WA,Jacqui Boydell,The Nationals Western Australia
"Western Australian state election, 2017",Robin Howard Chapple,WA Greens,Stephen Noel Dawson,Labor,Kyle McGinn,Labor,Kenneth Charles Baston,WA Liberals,Jacqui Boydell,Nationals
2021,Peter Allan Foster,Labor,Stephen Dawson,Labor,Kyle McGinn,Australian Labor Party (Western Australian Branch),Rosetta Sahanna,Labor,Wilson Robert Tucker,Daylight Saving
2023,Peter Allan Foster,Labor,Stephen Dawson,Australian Labor Party (Western Australian Branch),Kyle Owen McGinn,WA Labor,Rosetta Sahanna,Labor,Wilson Tucker,Independent Daylight Saving
