col0,col1,col2,col3,col4
2nd,Charles J. Fulton,RPI,Aaron Vale Blackford,Rep
3rd,Lloyd Ellis,Dem,Herbert B. Carroll,Rep
4th,Allen Gilbert Dotts,Rep,John W. Kent,Rep
5th,Henry Guy Roberts,Rep,Frank D. Ickis,RPI
6th,Samuel Edwin Fackler,Rep,Arthur Gray Leonard,RPI
8th,William C. Cochrane,Rep,William C. Cochrane,RPI
11th,Charles B. Kern,RPI,Wesley C. Lowe,Rep
14th,Forrester Call Stanley,RPI,Forrester Call Stanley,Rep
15th,William Alexander Clark,RPI,William Alexander Clark,RPI
16th,John N. Langfitt,Rep,John N. Langfitt,RPI
17th,Redfield Clipper Mills,RPI,Frank Bissell,Rep
19th,William Samuel Baird,RPI,William Samuel Baird,Rep
23rd,Charles Steere Browne,Rep,George W. Tabor,Dem
24th,Charles Longley Rigby,RPI,Charles Longley Rigby,RPI
25th,George Marchant Clearman,Rep,George Marchant Clearman,RPI
26th,Charles Francis Clark,RPI,Charles Francis Clark,RPI
27th,Emmett E. Cavanaugh,Rep,C. E. Anderson,RPI
28th,William E. McLeland,Rep,William E. McLeland,Rep
31st,Lars Johan Skromme,RPI,Lant H. Doran,RPI
32nd,Bertel M. Stoddard,RPI,Bertel M. Stoddard,RPI
33rd,George F. Slemmons,Rep,Chester G. Cole,RPI
34th,Andrew Jackson Shinn,Rep,Oliver P. Bennett,RPI
36th,Charles Augustus Benson,Rep,Charles Augustus Benson,Rep
38th,Arch Wallace McFarlane,Rep,Charles Theodore Rogers,RPI
39th,John M. Ramsey,RPI,George W. Christophel,RPI
40th,George S. Hartman,RPI,John Henry Hager,RPI
41st,Otto E. Gunderson,RPI,Otto E. Gunderson,RPI
43rd,Charles Frederic Johnston,RPI,Edward W. Clark,Rep
46th,Ed Hoyt Campbell,RPI,Lew MacDonald,RPI
47th,William John Breakenridge,Rep,George William Patterson,Rep
49th,Tollef Edward Moen,RPI,Tollef Edward Moen,RPI
