col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
Ligier Gitanes Blondes,Ligier JS39B,Renault RS6 3.5 V10,BRA,PAC,SMR,LII Grand Prix Automobile de Monaco,ESP,CAN,FRA,GBR,GER,X Marlboro Magyar Nagydij,BEL,ITA,POR,EUR,JPN,AUS,11th,9
Ligier Gitanes Blondes,Ligier JS41,Mugen Honda MF301 3.0 V10,BRA,1995 Brazilian Grand Prix,SMR,ESP,MON,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,EUR,PAC,JPN,8th,16
Ligier Gauloises Blondes,Ligier JS43,Mugen Honda MF301HA 3.0 V10,AUS,BRA,ARG,EUR,SMR,MON,ESP,CAN,FRA,GBR,GER,HUN,LIV Grand Prix de Belgique,ITA,POR,JPN,9th,13
Prost Gauloises Blondes,Prost JS45,Mugen Honda MF301HA/B 3.0 V10,AUS,BRA,ARG,SMR,MON,ESP,CAN   11,FRA,GBR,GER,HUN,BEL,ITA,AUT,LUX,JPN,9th,16
Gauloises Prost Peugeot,Prost AP01,Peugeot A16 3.0 V10,AUS,BRA,ARG   15,SMR   11,ESP   16,MON,CAN,FRA,GBR,AUT,Grosser Mobil 1 Preis von Deutschland,Marlboro Magyar Nagydij,BEL,ITA,LUX,JPN,NC,0
Gauloises Prost Peugeot,Prost AP02,Peugeot A18 3.0 V10,AUS,BRA,SMR,MON,ESP,CAN,FRA,GBR,AUT,GER,HUN,BEL,ITA   11,EUR,MAL,JPN,15th,2
Lucky Strike BAR Honda,BAR 003,Honda RA001E 3.0 V10,AUS,X Petronas Malaysian Grand Prix,BRA,XXI Gran Premio Warsteiner di San Marino,ESP,AUT,LIX Grand Prix de Monaco,CAN,EUR,FRA,GBR,GER,HUN,BEL,ITA,XXX SAP United States Grand Prix,14th,5
Lucky Strike BAR Honda,BAR 004,Honda RA002E 3.0 V10,AUS,Petronas Malaysian Grand Prix,BRA,SMR,Gran Premio Marlboro de Espana,AUT,MON,XL Grand Prix Air Canada,EUR,GBR,FRA,GER,HUN,BEL   12,LXXIII Gran Premio Vodafone d'Italia,USA,14th,3
Panasonic Toyota Racing,Toyota TF103,Toyota RVX-03 3.0 V10,AUS,MAL,BRA,SMR,Gran Premio Marlboro de Espana,A1 Grand Prix von Österreich,MON,CAN,EUR,Mobil 1 Grand Prix de France,GBR,Groser Mobil 1 Preis von Deutschland,Magyar Nagydij,ITA,USA,JPN,15th,6
Panasonic Toyota Racing,Toyota TF104,Toyota RVX-04 3.0 V10,AUS,MAL,BHR,SMR,ESP,MON,EUR,XLII Grand Prix Air Canada,USA,Mobil 1 Grand Prix de France,GBR,,,,,,14th,6
Panasonic Toyota Racing,Toyota TF105,Toyota RVX-05 3.0 V10,Foster's Australian Grand Prix,MAL,BHR,SMR,ESP,MON,EUR,Grand Prix Air Canada,'2005 United States Grand Prix,Mobil 1 Grand Prix de France,LVIII Foster's British Grand Prix,GER,HUN,TUR,ITA,BEL,-,-
