col0,col1,col2,col3,col4,col5
1st,Nathaniel Hedges,Dem,Exum Sumner McCulloch,Dem,Dem Hold
1st,Joseph Hollman,Dem,Obsolete subdistrict,Obsolete subdistrict,Obsolete subdistrict
2nd,Eliab Doud,RPI,Jacob Garretson Vale,Rep,Rep Hold
4th,Madison Miner Walden,Rep,William Fields Vermillion,RPI,Rep Hold
5th,James D. Wright,RPI,Edward M. Bill,Rep,Rep Hold
6th,Edward M. Bill,RPI,James D. Wright,RPI,Rep Hold
10th,Charles Leopold Matthies,Rep,Charles Beardsley,RPI,Rep Hold
11th,Theron Webb Woolson,RPI,John Patterson West,Rep,Rep Hold
14th,James M. Robertson,RPI,James Simpson Hurley,Rep,Rep Hold
16th,John Abbott Parvin,RPI,Samuel McNutt,RPI,Rep Hold
17th,John C. Johnson,RPI,Joseph W. Havens,Rep,Rep Hold
18th,John R. Needham,RPI,John Nicholas Dixon,RPI,Rep Hold
19th,Thomas McMillan,RPI,John M. Cathcart,Rep,Rep Hold
21st,Joseph Rea Reed,Rep,Benjamin Franklin Murray,Rep,Rep Hold
22nd,Andrew McCune Larimer,Rep,Hans Reimer Claussen,Rep,Rep Hold
22nd,W. W. Cones,People's,Robert Lowry,Rep,Rep Gain
23rd,John Henry Smith,Rep,Alexander Baird Ireland,RPI,Rep Hold
27th,John Meyer,Rep,Joseph Dysart,Rep,Rep Hold
28th,Jonathan Wright Cattell,RPI,Frank T. Campbell,RPI,Rep Hold
29th,Lewis Brigham Dunham,Dem,Benjamin Franklin Allen,RPI,Rep Gain
30th,Sewall Spaulding Farwell,RPI,Lewis Brigham Dunham,Dem,Dem Gain
31st,Robert Smyth,Rep,John McKean,RPI,Rep Hold
32nd,James Chapin,Rep,Robert Smyth,Rep,Rep Hold
33rd,Wells Sylvanus Rice,Rep,James Chapin,Rep,Rep Hold
34th,Frederick M. Knoll,Dem,Wells Sylvanus Rice,Rep,Rep Gain
34th,Benjamin Billings Richards,Dem,Obsolete subdistrict,Obsolete subdistrict,Obsolete subdistrict
35th,Joseph Grimes,RPI,Frederick M. Knoll,Dem,Dem Gain
35th,Newly created subdistrict,Newly created subdistrict,Michael B. Mulkern,Dem,iowademocrats.org
36th,William G. Donnan,RPI,Joseph Grimes,RPI,Rep Hold
37th,Homer E. Newell,RPI,William G. Donnan,RPI,Rep Hold
38th,William Larrabee,Rep,George William Couch,Rep,Rep Hold
39th,Marcus Tuttle,Rep,Homer E. Newell,RPI,Rep Hold
40th,James B. Powers,RPI,William Larrabee,RPI,Rep Hold
44th,Isaac J. Mitchell,Rep,Emmons Johnson,RPI,Rep Hold
45th,Theodore Hawley,RPI,Isaac J. Mitchell,Rep,Rep Hold
46th,Addison Oliver,RPI,Marcus Tuttle,Rep,Rep Hold
47th,Newly created district,Newly created district,Theodore Hawley,RPI,Rep Gain
48th,Newly created district,Newly created district,Charles Atkins,RPI,Rep Gain
