col0,col1,col2,col3,col4,col5
Commerce,Commerce,Commerce,Laurie Halverson,Zack Stephenson,Tim O'Driscoll
Education Policy,Education Policy,Education Policy,Cheryl Youakim,Mary Kunesh-Podein,Sondra Erickson
Environment and Natural Resources Policy,Environment and Natural Resources Policy,Environment and Natural Resources Policy,John Persell,Jamie Becker-Finn,Dale Lueck
Ethics,Ethics,Ethics,Mary Murphy,,Sondra Erickson
Government Operations,Government Operations,Government Operations,Mike Freiberg,Duane Sauke,Nick Zerwas
Government Operations,Government Operations,Government Operations,Mike Freiberg,Duane Sauke,Duane Quam
Subcommittees,Subcommittees,Elections,Raymond Dehn,Kristin Bahner,Jim Nash
Subcommittees,Subcommittees,Local Government,Sandra Masin,Steve Elkins,Joe McDonald
Health and Human Services Policy,Health and Human Services Policy,Health and Human Services Policy,Rena Moran,Kelly Morrison,Deb Kiel
Labor,Labor,Labor,Mike Sundin,Erin Koegel,Jason Rarick
Labor,Labor,Labor,Mike Sundin,Erin Koegel,Bob Vogel
Rules and Legislative Administration,Rules and Legislative Administration,Rules and Legislative Administration,Ryan Winkler,Kaohly Her,Kurt Daudt
Subcommittee,Subcommittee,Legislative Process Reform,Gene Pelowski,,Linda Runbeck
Taxes,Taxes,Taxes,Paul Marquart,Dave Lislegard,Greg Davids
Division,Division,Property and Local Tax,Diane Loeffler,Samantha Vang,Jerry Hertaus
Division,Division,Property and Local Tax,Andrew Carlson,Samantha Vang,Jerry Hertaus
Ways and Means,Ways and Means,Ways and Means,Lyndon Carlson,Liz Olson,Pat Garofalo
Divisions,Agriculture and Food Finance and Policy,Agriculture and Food Finance and Policy,Jeanne Poppe,Jeff Brand,Rod Hamilton
Divisions,Capital Investment,Capital Investment,Mary Catherine Murphy,Fue Lee,Dean Urdahl
Divisions,Education Finance,Education Finance,Jim Davnie,Julie Sandstede,Ron Kresha
Divisions,Subdivision,Early Childhood Finance and Policy,Dave Pinto,Carlie Kotyza-Witthuhn,Mary Franson
Divisions,Environment and Natural Resources Finance,Environment and Natural Resources Finance,Rick Hansen,Anne Claflin,Dan Fabian
Divisions,Subdivision,Water,Peter Fischer,Steve Sandell,Josh Heintzeman
Divisions,Energy and Climate Finance and Policy,Energy and Climate Finance and Policy,Jean Wagenius,Jamie Long,Chris Swedzinski
Divisions,Greater Minnesota Jobs and Economic Development Finance,Greater Minnesota Jobs and Economic Development Finance,Gene Pelowski,Ben Lien,Paul Anderson
Divisions,Health and Human Services Finance,Health and Human Services Finance,Tina Liebling,Alice Mann,Joe Schomacker
Divisions,Subdivisions,Early Childhood Finance and Policy,Dave Pinto,Carlie Kotyza-Witthuhn,Mary Franson
Divisions,Subdivisions,Long-Term Care,Jennifer Schultz,Todd Lippert,Glenn Gruenhagen
Divisions,Higher Education Finance and Policy,Higher Education Finance and Policy,Connie Bernardy,Laurie Pryor,Bud Nornes
Divisions,Housing Finance and Policy,Housing Finance and Policy,Alice Hausman,Michael Howard,Tama Theis
Divisions,Jobs and Economic Development Finance,Jobs and Economic Development Finance,Tim Mahoney,Mohamud Noor,Bob Gunther
Divisions,Judiciary Finance and Civil Law,Judiciary Finance and Civil Law,John Lesch,Kelly Moller,Peggy Scott
Divisions,Legacy Finance,Legacy Finance,Leon Lillie,Ami Wazlawik,Josh Heintzeman
Divisions,Public Safety and Criminal Justice Reform Finance and Policy,Public Safety and Criminal Justice Reform Finance and Policy,Carlos Mariani,Heather Edelson,Brian Johnson
Divisions,Subdivision,Corrections,Jack Considine,Dan Wolgamott,Marion O'Neill
Divisions,State Government Finance,State Government Finance,Mike Nelson,Andrew Carlson,Tony Albright
Divisions,State Government Finance,State Government Finance,Mike Nelson,Ginny Klevorn,Tony Albright
Divisions,Transportation Finance and Policy,Transportation Finance and Policy,Frank Hornstein,Brad Tabke,Paul Torkelson
Divisions,Veterans and Military Affairs Finance and Policy,Veterans and Military Affairs Finance and Policy,Rob Ecklund,Jay Xiong,Bob Dettmer
Select Committees,Select Committees,Select Committees,Select Committees,Select Committees,Select Committees
Minnesota's Pandemic Response and Rebuilding,Minnesota's Pandemic Response and Rebuilding,Minnesota's Pandemic Response and Rebuilding,Melissa Hortman,Ryan Winkler,
