col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
2000,OPC Team Holzer,Opel Astra V8 Coupé,HOC   1,HOC   2,OSC   1,OSC   2,NOR   1,NOR   2,SAC   1,SAC   2,NÜR   1,NÜR   2,12th,45
2001,OPC Team Holzer,Opel Astra V8 Coupé,HOC   QR,HOC   CR,Nurburgring,NÜR   CR,OSC   QR,OSC   CR,SAC   QR,SAC   CR,NOR   QR,NOR   CR,19th,7
2002,OPC Team Holzer,Opel Astra V8 Coupé,HOC   QR,HOC   CR,ZOL   QR,ZOL   CR,DON   QR,DON   CR,SAC   QR,SAC   CR,NOR   QR,NOR   CR,8th,10
2003,OPC Team Phoenix,Opel Astra V8 Coupé,HOC,ADR,NÜR,LAU,NOR,Donington Park Circuit,NÜR,A1R,ZAN,HOC,8th,12
2004,OPC Team Holzer,Opel Vectra GTS V8 2004,HOC,EST,ADR,LAU,NOR,SHA 1,NÜR,OSC,ZAN,BRN,8th,15
2006,Audi Sport Team Rosberg,Audi A4 DTM 2005,HOC,LAU,OSC,BRH,NOR,The Ring,ZAN,CAT,BUG,HOC,10th,12
2007,Abt Sportsline,Audi A4 DTM 2007,HOC,OSC,LAU,BRH,NOR,MUG,ZAN,NÜR,CAT,HOC,7th,25
2008,Audi Sport ABT,Audi A4 DTM 2008,HOC,OSC,MUG,LAU,NOR,ZAN,NÜR,BRH,CAT,BUG,1st,75
2009,Abt Sportsline,Audi A4 DTM 2009,HOC,LAU,NOR,ZAN    DSQ,OSC,NÜR,BRH,CAT,DIJ,HOC,1st,64
2010,Abt Sportsline,Audi A4 DTM 2009,HOC,VAL,LAU,NOR,NÜR,ZAN,BRH,OSC,HOC,ADR,4th,53
2011,Abt Sportsline,Audi A4 DTM 2009,HOC,ZAN,A1-Ring,LAU,NOR,NÜR,BRH,OSC,VAL,HOC,4th,36
2012,ABT Schaeffler Audi Sport,Audi A5 DTM,HOC,LAU,BRH,SPL,NOR,NÜR,ZAN,OSC,VAL,HOC,14th,19
2013,ABT Schaeffler Audi Sport,Audi RS5 DTM,HOC,BRH,SPL,LAU,NOR,MSC,NÜR,OSC,ZAN,HOC,10th,37
2014,Audi Sport Team Phoenix,Audi RS5 DTM,HOC,OSC,HUN,NOR,MSC,SPL,Nurburgring,LAU,ZAN,HOC,9th,44
2015,Audi Sport Team Phoenix,Audi RS5 DTM,HOC   1,HOC   2,LAU   1,LAU   2,NOR   1,NOR   2,ZAN   1,ZAN   2,SPL   1,SPL   2,18th,51
2016,Audi Sport Team Phoenix,Audi RS5 DTM,HOC   1,HOC   2,A1-Ring,SPL   2,LAU   1,LAU   2,NOR   1,NOR   2,ZAN   1,ZAN   2,22nd,13
