col0,col1,col2,col3,col4,col5,col6,col7,col8
1978,The Collegiate School of St Peter,S.P.S.C.,,,S.P.S.C.,PAC,Pembroke,Princes
1979,,S.P.S.C.,S.P.S.C.,,S.P.S.C.,"S.P.S.C. /

Pulteney","Prince Alfred College, Adelaide",Pulteney
1980,P.A.C.,P.A.C.,,Pulteney,P.A.C.,Pulteney,S.P.S.C.,U.H.S.
1981,"Christian Brothers College, Adelaide",Princes,,Pulteney,P.A.C.,S.P.S.C.,"Pembroke School, Adelaide",The Reds
1982,C.B.C.,Pulteney,,Pulteney,Pulteney,Sancti Petri Schola Collegiata,Scotch,Pembroke
1983,Pembroke,PAC,,Pulteney,"Christian Brothers College, Adelaide",Pulteney,"Pembroke School, Adelaide","Prince Alfred College, Adelaide"
1984,Pulteney,S.P.S.C.,,S.P.S.C.,P.A.C.,Pulteney,"Pembroke School, Adelaide",Pembroke
1985,The Reds,Princes,,Pulteney,S.P.S.C.,"Prince Alfred College, Adelaide",Sancti Petri Schola Collegiata,P.A.C.
1986,SPSC,U.H.S.,P.A.C.,Pulteney,S.P.S.C.,Collegiate School of St Peter,S.P.S.C.,Pembroke
1987,S.P.S.C.,"Prince Alfred College, Adelaide",Pulteney,Pulteney,S.P.S.C.,Collegiate School of St Peter,P.A.C.,Pulteney
1988,S.P.S.C.,S.P.S.C.,P.A.C.,Pulteney,St. Peter's College,The Collegiate School of St Peter,Pulteney,Unley State High School
1989,S.P.S.C.,S.P.S.C.,Pulteney,The Reds,S.P.S.C.,Pulteney,"Scotch College, Adelaide",Pulteney
1990,Pembroke,PAC,The Reds,Pulteney,Princes,P.A.C.,"Scotch College, Adelaide",Pulteney
1991,S.P.S.C.,S.P.S.C.,S.P.S.C.,PAC,P.A.C.,Princes,Pembroke,Scotch
1992,Scotch,P.A.C.,SPSC,S.P.S.C.,"Christian Brothers College, Adelaide","King's College, Adelaide",Pembroke,P.A.C.
1993,Pulteney,SPSC,S.P.S.C.,Pulteney,"Christian Brothers College, Adelaide",P.A.C. (1),King's College,A.H.S.
