col0,col1,col2,col3,col4,col5,col6
Arafura,18 March 2023,Lawrence Costa,Territory Labor,Manuel Brown,Territory Labor,Death
Fannie Bay,20 August 2022,Michael Gunner,Labor,Brent Potter,Labor,Resignation
Daly,11 September 2021,Ian Sloan,CLP,Dheran Young,Territory Labor,Resignation (health and family reasons)
Johnston,29 February 2020,Ken Vowles,Territory Labor,Joel Bowden,Territory Labor Party,Resignation
"Casuarina by-election, 2014",18 October 2014,Konstantine Vatskalis,Territory Labor Party,Lauren Moss,Territory Labor Party,Resignation
"Blain by-election, 2014",12 April 2014,Terry Mills,Country Liberal,Nathan Barrett,Country Liberal,Resignation
"Wanguri by-election, 2013",16 February 2013,Paul Raymond Henderson,Territory Labor,Nicole Manison,Territory Labor,Resignation
Araluen,9 October 2010,Jodeen Carney,Country Liberal,Robyn Jane Lambley,CLP,Resignation (ill health)
Greatorex,28 July 2007,Richard Lim,Country Liberal,Matt Conlan,Country Liberal,Resignation (family reasons)
Stuart,23 September 2006,Peter Toyne,Territory Labor,Karl Hampton,Labor,Resignation (medical reasons)
Katherine,4 October 2003,Mike Reed,Country Liberal,Fay Miller,Country Liberals,Resignation
Port Darwin,11 March 2000,Shane Stone,Country Liberals,Sue Carter,Country Liberals,Resignation
Wanguri,31 July 1999,John Bailey,Territory Labor,Paul Raymond Henderson,Labor,Resignation
Blain,31 July 1999,Barry Coulter,Country Liberals,Terry Mills,Country Liberal,Resignation
Stuart,28 September 1996,Brian Ede,Territory Labor Party,Peter Toyne,Labor,Resignation
Arnhem,7 October 1995,Wes Lanhupuy,Territory Labor,Jack Ah Kit,Labor,Resignation
Fannie Bay,17 June 1995,Marshall Perron,Country Liberals,Clare Martin,Labor,Resignation
Arafura,7 November 1992,Stan Tipiloura,Territory Labor Party,Maurice Rioli,Territory Labor,Death
Millner,7 December 1991,Terry Smith,Labor,Ken Parish,Labor,Resignation
Wanguri,19 August 1989,Don Dale,Country Liberal,John Bailey,Labor,Resignation (ill health)
Flynn,10 September 1988,Ray Hanrahan,Country Liberals,Enzo Floreani,NT Nationals,Resignation
Barkly,5 September 1987,Ian Tuxworth,NT Nationals,Ian Tuxworth,NT Nationals,Election declared void
Araluen,19 April 1986,Jim Robertson,CLP,Eric Poole,Country Liberal,Resignation
Jingili,15 December 1984,Paul Everingham,Country Liberals,Rick Setter,Country Liberal,Resignation (contested HoR)
Millner,21 November 1981,Jon Isaacs,Territory Labor Party,Terry Smith,Labor,Resignation
MacDonnell,28 March 1981,Neville Perkins,Territory Labor Party,Neil Bell,Labor,Resignation
Alice Springs,7 February 1976,Bernie Kilgariff,CLP,Eric Manuell,CLP,Resignation (contested Senate)
