col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
1973,Nissan Motor Company Ltd,Datsun 240Z,MON   18,SWE,POR,KEN   Ret,,,,,,,,N/A,N/A
1973,Fiat S.p.A,Fiat 124 Abarth Spider,,,,,MOR   Ret,GRE   2,POL,FIN,AUT,ITA,USA,N/A,N/A
1974,African Roadways Ltd,Datsun 1800 SSS,MON,SWE,POR,KEN   6,GRE,FIN,ITA,CAN,USA,,,N/A,N/A
1975,Opel Euro Händler Team,Opel Ascona,MON,SWE,KEN   Ret,GRC   Ret,MOR   Ret,POR   4,FIN,ITA   Ret,FRA,,,N/A,N/A
1976,Opel Euro Händler Team,Opel Kadett GT/E,MON,SWE,POR,KEN   Ret,GRC,MOR,FIN,ITA,FRA,GBR   Ret,,N/A,N/A
1977,D.T. Dobie & Co (EA) Ltd,Datsun 160J,MON,SWE,POR,KEN   2,NZL,GRC,FIN,CAN,ITA,FRA,GBR,N/A,N/A
1978,D.T. Dobie & Co (EA) Ltd,Datsun 160J,MON,SWE,KEN   3,POR,GRC,FIN,CAN,ITA,CIV,FRA,GBR,N/A,N/A
1979,D.T. Dobie / Team Datsun,Datsun 160J,MON,SWE,POR,KEN   5,GRC,NZL,FIN,CAN,ITA,FRA,GBR,28th,8
1980,Datson,Datsun 160J,MON,SWE,POR,KEN   2,GRC,ARG,FIN,NZL,ITA,FRA,GBR,16th,15
1981,D.T. Dobie / Team Datsun,Datsun Violet GT,,,,KEN   2,FRA,GRC,ARG,BRA,FIN,ITA,CIV,19th,15
1982,Rothmans Opel Rally Team,Opel Ascona 400,MON,SWE,POR,KEN   Ret,FRA,GRC,NZL,BRA,FIN,ITA,CIV,NC,0
1983,Rothmans Opel Rally Team,Opel Ascona 400,MON,SWE,POR,KEN   Ret,FRA,GRC,NZL,ARG,FIN,ITA,CIV,NC,0
1984,Opel Euro Team,Opel Ascona 400,MON,SWE,POR,KEN   2,FRA,GRC,NZL,ARG,FIN,ITA,CIV,15th,15
1985,Opel Euro Team,Opel Ascona 400,MON,SWE,POR,KEN   4,FRA,GRC,NZL,ARG,FIN,ITA,CIV,22nd,10
1987,GM Euro Sport,Opel Kadett GSi,MON,SWE,POR,KEN   9,FRA,GRC,USA,NZL,ARG,FIN,CIV,58th,2
