col0,col1,col2,col3
"United States presidential election in Alabama, 1820",J. Monroe,"United States presidential election, 1820",James Monroe
1824,General Andrew Jackson,"United States presidential election, 1824",John Quincy Adams
1828,Andrew Jackson,1828,Andrew Jackson
1832,Andrew Jackson,1832,Andrew Jackson
1836,Martin Van Buren,1836,Martin Van Buren
1840,Martin Van Buren,1840,William Henry Harrison
1844,James K. Polk,1844,James K. Polk
1848,Lewis Cass,1848,Zachary Taylor
1852,Franklin Pierce,1852,Franklin Pierce
1856,James Buchanan,1856,James Buchanan
1860,John C. Breckinridge,1860,Abraham Lincoln
1864,,1864,Abraham Lincoln
1868,Ulysses S. Grant,1868,Ulysses S. Grant
1872,Ulysses S. Grant,1872,Ulysses S. Grant
1876,Samuel J. Tilden,1876,Rutherford B. Hayes
1880,Winfield Scott Hancock,1880,James A. Garfield
1884,Grover Cleveland,1884,Grover Cleveland
1888,Grover Cleveland,1888,Benjamin Harrison
1892,Grover Cleveland,1892,Grover Cleveland
1896,William Jennings Bryan,1896,William McKinley
1900,William Jennings Bryan,1900,William McKinley
1904,Alton B. Parker,1904,Theodore Roosevelt
1908,William Jennings Bryan,1908,William Howard Taft
1912,Woodrow Wilson,1912,Woodrow Wilson
1916,Woodrow Wilson,1916,Woodrow Wilson
1920,James M. Cox,1920,Warren G. Harding
1924,John W. Davis,1924,Calvin Coolidge
1928,Al Smith,1928,Herbert Hoover
1932,Franklin D. Roosevelt,1932,Franklin D. Roosevelt
1936,Franklin D. Roosevelt,1936,Franklin D. Roosevelt
1940,Franklin D. Roosevelt,1940,Franklin D. Roosevelt
1944,Franklin D. Roosevelt,1944,Franklin D. Roosevelt
1948,Strom Thurmond,1948,Harry S. Truman
1952,Adlai Stevenson,1952,Dwight D. Eisenhower
1956,Adlai Stevenson,1956,Dwight D. Eisenhower
1960,Harry F. Byrd,1960,John F. Kennedy
1964,Barry Goldwater,1964,Lyndon B. Johnson
1968,George Wallace,1968,Richard Nixon
1972,Richard Nixon,1972,Richard Nixon
1976,Jimmy Carter,1976,Jimmy Carter
1980,Ronald Reagan,1980,Ronald Reagan
1984,Ronald Reagan,1984,Ronald Reagan
1988,George H. W. Bush,1988,George H. W. Bush
1992,George H. W. Bush,1992,Bill Clinton
1996,Bob Dole,1996,Bill Clinton
2000,George W. Bush,2000,George W. Bush
2004,George W. Bush,2004,George W. Bush
2008,John McCain,2008,Barack Obama
2012,Mitt Romney,2012,Barack Obama
2016,Donald Trump,2016,Donald Trump
2020,Donald Trump,2020,Joe Biden
