col0,col1,col2,col3,col4,col5,col6
1980-81,Stamford,Stevenage Borough,Wootton Blue Cross,Not Formed,Irthlingborough Diamonds,Long Buckby
1981-82,Stamford,Newport Pagnell Town,Irthlingborough Diamonds,Not Formed,Stamford,Irthligborough Diamonds
1982-83,Irthlingborough Diamonds,Raunds Town,Irthlingborough Diamonds,Not Formed,Wootton Blue Cross,Desborough Town
1983-84,Buckingham Town,Town,Arlesey Town,Raunds Town,Buckingham Town,Stamford
1984-85,Arlesey Town Football Club,Northampton Spencer,Long Buckby,Brackley Town,Long Buckby,Raunds Town
1985-86,Buckingham Town,Kempston Rovers,Irthlingborough Diamonds,Wootton Blue Cross,Stamford,Rushden Town
1986-87,Potton United,Baker Perkins,Irthlingborough Diamonds,Wellingborough Whitworths,Stewarts & Lloyds Corby,Irthlingborough Diamonds
1987-88,Spalding United,British Timken Duston,Stotfold,Kettering Town,Arlesey Town,Kettering Town
1988-89,Potton United,Ramsey Town,Raunds Town,Cogenhoe United,Northampton Spencer,Raunds Town
1989-90,Holbeach United,Daventry Town,Mirrlees Blackstone,Northampton ON Chenecks,Holbeach United,Mirrlees Blackstone
1990-91,Bourne Town,Daventry Town,Northampton Spencer,Wellingborough Town,Raunds Town,Northampton Spencer
1991-92,Northampton Spencer,Harrowby United,Stotfold,Hamlet S & L Corby,Rothwell Town,Stotfold
1992-93,Rothwell Town,Ford Sports Daventry,Rushden & Diamonds,Burton Park Wanderers,Rothwell Town,Rushden & Diamonds
1993-94,Rothwell Town,Northampton Vanaid,Rothwell Town,Bourne Town,Northampton Spencer,Rothwell Town
1994-95,Boston Town,St Neots Town,Northampton Spencer,Wootton Blue Cross,Spalding United,Cogenhoe United
1995-96,Raunds Town,Ford Sports Daventry,Raunds Town,Wellingborough Whitworths,Cogenhoe United,Mirrlees Blackstone
1996-97,Stamford,Yaxley,Stotfold,Northampton Vanaid,Desborough Town,Rothwell Town
1997-98,Stamford,Higham Town,Rothwell Town,St Neots Town,Ford Sports Daventry,Rothwell Town
1998-99,Spalding United,Bugbrooke St Michaels,Rothwell Town,Kettering Town,Stotfold,Northampton Spencer
1999-2000,Ford Sports Daventry,Cottingham,Rothwell Town,King's Lynn,Cogenhoe United,King's Lynn
2000-01,Boston Town,Daventry Town,Cogenhoe United,Stamford,Desborough Town,Rothwell Town
2001-02,Ford Sports Daventry,Newport Pagnell Town,Stotfold,Holbeach United,Raunds Town,Wootton Blue Cross
2002-03,Holbeach United,Northampton Sileby Rangers,Bugbrooke St Michaels,Olney Town,Blackstones,Stewarts & Lloyds Corby
2003-04,Spalding United,Potton United,Raunds Town,Bourne Town,Boston Town,Blackstones
2004-05,Cogenhoe United,Northampton Sileby Rangers,Yaxley,Ford Sports Daventry,Potton United,Stotfold
2005-06,Woodford United,Sleaford Town,Bourne Town,Woodford United,Yaxley,Northampton Sileby Rangers
2006-07,Deeping Rangers,Whitworths,Cogenhoe United,St Neots Town,Boston Town,Cogenhoe United
2007-08,Stotfold,Daventry Town,Stotfold,Huntingdon Town,Desborough Town,Blackstones
2008-09,Stewarts & Lloyds Corby,Peterborough Northern Star,Stotfold,Peterborough Northern Star,Stotfold,Blackstones
2009-10,Daventry Town,Irchester United,St. Neots Town,Northampton ON Chenecks,St Ives Town,Stotfold
2010-11,St. Neots Town,AFC Kempston Rovers,Cogenhoe United,King's Lynn Town,Peterborough Northern Star,Thrapston Town
2011-12,Long Buckby,Huntingdon Town,King's Lynn Town,Bugbrooke St Michaels,St Ives Town,Whitworth
2012-13,Holbeach United,Northampton Sileby Rangers,Cogenhoe United,Oadby Town,Spalding United,AFC Kempston Rovers
