col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
Hereford,J. Pulley,Bailey,Bailey,Grenfell,Cooke,Cooke,Cooke,Sir John Stanhope Arkwright,Arkwright,Arkwright,Arkwright,Sir John Stanhope Arkwright,Sir John Stanhope Arkwright,W.A.S.H,Hewins,Hewins,Hewins
Leominster,Duckham,James Rankin,Rankin,Rankin,Rankin,Rankin,James Rankin,James Rankin,Rankin,Edmund George Lamb,Lamb,Rankin,Rankin,Wright,Wright,Wright,Wright
Southern division of Herefordshire,Biddulph,→,→,→,Michael Biddulph,→,Michael Biddulph,Clive,Clive,Gardner,Clive,Clive,Percy Archer Clive,→,Percy Archer Clive,Percy Archer Clive,C. Pulley
Bewdley,"Sir Edmund Anthony Harley Lechmere, 3rd Bt.",Lechmere,Lechmere,A. Baldwin,A. Baldwin,A. Baldwin,A. Baldwin,A. Baldwin,A. Baldwin,A. Baldwin,S. Baldwin,"Stanley Baldwin, 1st Earl Baldwin","Stanley Baldwin, 1st Earl Baldwin of Bewdley","Stanley Baldwin, 1st Earl Baldwin","Stanley Baldwin, 1st Earl Baldwin",S. Baldwin,S. Baldwin
Droitwich,Corbett,→,→,Martin,"Sir Richard Biddulph Martin, 1st Baronet, of Overbury Cour",Richard Martin,Martin,Martin,Martin,Harmsworth,Harmsworth,Lyttelton,John Lyttelton,→,→,Whiteley,Whiteley
Dudley,Sheridan,Robinson,Robinson,Robinson,Robinson,Robinson,Robinson,Robinson,Robinson,Hooper,Hooper,Hooper,Griffith-Boscawen,Sir Arthur Sackville Trevor Griffith-Boscawen,Rt. Hon. Sir Arthur Sackville Trevor Griffith-Boscawen,Griffith-Boscawen,Rt. Hon. Sir Arthur Sackville Trevor Griffith-Boscawen
Evesham,Temple,Temple,Temple,Lechmere,Lechmere,Long,Long,Charles Long,Long,Lt.-Col. Charles Wigram Long,Long,Eyres-Monsell,Eyres-Monsell,Bolton Monsell,Viscount Monsell,Eyres-Monsell,Eyres-Monsell
Kidderminster,Brinton,Sir Augustus Frederick Godson,Sir Augustus Frederick Godson,Sir Augustus Frederick Godson,Godson,Sir Augustus Frederick Godson,Sir Augustus Frederick Godson,Godson,Godson,Barnard,Sir Edmund Broughton Barnard,Knight,Knight,Knight,Knight,Knight,Knight
Worcester,The Hon. George Higginson Allsopp,Allsopp,Allsopp,George Higginson Allsopp,George Higginson Allsopp,Allsopp,Allsopp,Allsopp,Allsopp,Williamson,Goulding,Goulding,Goulding,Goulding,Goulding,Goulding,Goulding
Worcestershire East,Hastings,→,Chamberlain,Chamberlain,Sir Joseph Austen Chamberlain,Chamberlain,Sir Joseph Austen Chamberlain,Chamberlain,Chamberlain,Chamberlain,Sir Joseph Austen Chamberlain,Sir Joseph Austen Chamberlain,Chamberlain,Sir Joseph Austen Chamberlain,Harris,Frederick Leverton Harris,Frederick Leverton Harris
Worcestershire North,Hingley,→,→,→,→,→,Wilson,Wilson,→,→,→,→,→,→,→,→,→
