col0,col1,col2,col3,col4,col5,col6
American League,East,Baltimore Orioles,Norfolk Tides,Bowie Baysox,Aberdeen IronBirds,Delmarva Shorebirds
American League of Professional Baseball Clubs,AL Eastern Division,Boston Red Sox,Worcester Red Sox,Portland Sea Dogs,Greenville Drive,Salem Red Sox
AL,American League Eastern Divison,Bronx Bombers,Scranton/Wilkes-Barre RailRiders,Somerset Patriots,Hudson Valley Renegades,Tampa Tarpons
AL,East,TBR,Bulls,Montgomery Biscuits,Bowling Green Hot Rods,Charleston RiverDogs
American League,American League East Division,Toronto Blue Jays,Bisons,New Hampshire Fisher Cats,Canadians,Dunedin Blue Jays
American League,Central,Chicago White Sox,Charlotte Knights,Birmingham Barons,Winston-Salem Dash,Kannapolis Intimidators
American League,Central,Cleveland Guardians,Columbus Clippers,Akron RubberDucks,Lake County Captains,Lynchburg Hillcats
American League of Professional Baseball Clubs,Central,Detroit Tigers,Toledo Mud Hens,Erie SeaWolves,West Michigan Whitecaps,Lakeland Flying Tigers
American League,American League Central Division,Kansas City Royals,Omaha Storm Chasers,Northwest Arkansas Naturals,Quad Cities River Bandits,Columbia Fireflies
Junior Circuit,Central,Minnesota Twins,St. Paul Saints,Wichita Wind Surge,Cedar Rapids Kernels,Fort Myers Mighty Mussels
American League,West,Houston Astros,Sugar Land Space Cowboys,Corpus Christi Hooks,Asheville Tourists,Fayetteville Woodpeckers
American League,West,Los Angeles Angels,Salt Lake Bees,Rocket City Trash Pandas,Tri-City Dust Devils,Inland Empire 66ers
American League,West,Oakland Athletics,Las Vegas Aviators,Midland RockHounds,Lansing Lugnuts,Stockton Ports
AL,West,Seattle Mariners,Tacoma Rainiers,Arkansas Travelers,Everett AquaSox,Modesto Nuts
American League of Professional Baseball Clubs,West,Texas Rangers,Round Rock Express,Frisco RoughRiders,Hickory Crawdads,Down East Wood Ducks
National League,East,Atlanta Braves,Gwinnett Stripers,Mississippi Braves,Rome Emperors,Augusta GreenJackets
National League,East,Miami Marlins,Jacksonville Jumbo Shrimp,Pensacola Blue Wahoos,Beloit Sky Carp,Jupiter Hammerheads
National League,East,New York Mets,Syracuse Mets,Binghamton Rumble Ponies,Brooklyn Cyclones,St. Lucie Mets
National League,East,Philadelphia Phillies,Lehigh Valley IronPigs,Reading Fightin Phils,Jersey Shore BlueClaws,Clearwater Threshers
National League,East,Washington Nationals,Rochester Red Wings,Harrisburg Senators,Wilmington Blue Rocks,Fredericksburg Nationals
National League,Central,Chicago Cubs,Iowa Cubs,Tennessee Smokies,South Bend Cubs,Myrtle Beach Pelicans
National League,Central,Cincinnati Reds,Louisville Bats,Chattanooga Lookouts,Dayton Dragons,Daytona Tortugas
National League,Central,Milwaukee Brewers,Nashville Sounds,Biloxi Shuckers,Wisconsin Timber Rattlers,Carolina Mudcats
National League,Central,Pittsburgh Pirates,Indianapolis Indians,Altoona Curve,Greensboro Grasshoppers,Bradenton Marauders
National League,Central,St. Louis Cardinals,Memphis Redbirds,Springfield Cardinals,Peoria Chiefs,Palm Beach Cardinals
National League,West,Arizona Diamondbacks,Reno Aces,Amarillo Sod Poodles,Hillsboro Hops,Visalia Rawhide
National League,West,Colorado Rockies,Albuquerque Isotopes,Hartford Yard Goats,Spokane Indians,Fresno Grizzlies
National League,West,Los Angeles Dodgers,Oklahoma City Baseball Club,Tulsa Drillers,Great Lakes Loons,Rancho Cucamonga Quakes
National League,West,San Diego Padres,El Paso Chihuahuas,San Antonio Missions,Fort Wayne TinCaps,Lake Elsinore Storm
National League,West,San Francisco Giants,Sacramento River Cats,Richmond Flying Squirrels,Eugene Emeralds,San Jose Giants
