col0,col1,col2,col3,col4,col5
Presidential electoral votes in the Northwestern States since 1892,Presidential electoral votes in the Northwestern States since 1892,Presidential electoral votes in the Northwestern States since 1892,Presidential electoral votes in the Northwestern States since 1892,Presidential electoral votes in the Northwestern States since 1892,Presidential electoral votes in the Northwestern States since 1892
Year,Idaho,Montana,Oregon,Washington,Wyoming
1892,Weaver,Harrison,B. Harrison,Harrison,B. Harrison
1896,W. J. Bryan,Bryan,McKinley,W. J. Bryan,Bryan
"United States presidential election, 1900",William J. Bryan,Bryan,McKinley,President William McKinley,McKinley
"United States presidential election, 1904",T. Roosevelt,T. Roosevelt,"Theodore Roosevelt, Jr.",T. Roosevelt,T. Roosevelt|
1908,Taft,Taft,Taft,Taft,Taft
1912,Wilson,Wilson,Wilson,"Theodore Roosevelt, Jr.",Wilson
1916,Wilson,Wilson,Hughes,Wilson,Wilson
1920,Harding,Harding,Harding,Harding,Harding
1924,Coolidge,Coolidge,Coolidge,Coolidge,Coolidge
1928,Hoover,Hoover,Hoover,Hoover,Hoover
1932,F. Roosevelt,F. Roosevelt,F. Roosevelt,F. Roosevelt,F. Roosevelt
1936,F. Roosevelt,F. Roosevelt,F. Roosevelt,F. Roosevelt,F. Roosevelt
1940,F. Roosevelt,F. Roosevelt,F. Roosevelt,F. Roosevelt,F. Roosevelt
1944,F. Roosevelt,F. Roosevelt,F. Roosevelt,F. Roosevelt,Dewey
1948,Truman,Truman,Dewey,Truman,Truman
1952,Eisenhower,Eisenhower,Eisenhower,Eisenhower,Eisenhower
1956,Eisenhower,Eisenhower,Eisenhower,Eisenhower,Eisenhower
1960,Nixon,Nixon,Nixon,Nixon,Nixon
1964,Johnson,Johnson,Johnson,Johnson,Johnson
1968,Nixon,Nixon,Nixon,Humphrey,Nixon
1972,Nixon,Nixon,Nixon,Nixon,Nixon
1976,Ford,Ford,Ford,Ford,Ford
1980,Reagan,Reagan,Reagan,Reagan,Reagan
1984,Reagan,Reagan,Reagan,Reagan,Reagan
1988,Bush,Bush,Dukakis,Dukakis,Bush
1992,Bush,Clinton,Clinton,Clinton,Bush
1996,Dole,Dole,Clinton,Clinton,Dole
2000,Bush,Bush,Gore,Gore,Bush
2004,Bush,Bush,Kerry,Kerry,Bush
2008,McCain,McCain,Obama,Obama,McCain
2012,Romney,Romney,Obama,Obama,Romney
2016,Trump,Trump,Clinton,Clinton,Trump
2020,Trump,Trump,Biden,Biden,Trump
