col0,col1,col2
Mark Hamill,Star Wars Episode V: The Empire Strikes Back,Luke Skywalker
Alan Wolf Arkin,Simon,Prof. Simon Mendelssohn
Dennis Christopher,Fade to Black,Eric Binford
Kirk Douglas,The Final Countdown,Capt. Matthew Yelland
Christopher Reeve,Somewhere in Time,Richard Collier
Harrison Ford,Raiders of the Lost Ark,Indiana Jones
Sean Connery,Outland,Marshal William T. O'Niel
Albert Finney,Wolfen,Dewey Wilson
Donald Pleasence,Halloween II,Dr. Sam Loomis
Christopher Reeve,Superman II,Clark Kent / Superman
William Shatner,Star Trek II: The Wrath of Khan,James T. Kirk
Mel Gibson,Mad Max 2,Max Rockatansky
Lee Horsley,The Sword and the Sorcerer,Prince Talon
Christopher Reeve,Deathtrap,Clifford Anderson
Henry Thomas,E.T. the Extra-Terrestrial,Elliott
Mark Hamill,Return of the Jedi,Luke Skywalker
Matthew Broderick,WarGames,David Lightman
Christopher Reeve,Superman III,Clark Kent / Superman
Roy Scheider,Blue Thunder,Officer Frank Murphy
Christopher Walken,The Dead Zone,Johnny Smith
Jeff Bridges,Starman,Starman
George Burns,"Oh, God! You Devil",God / Harry O. Tophet
Harrison Ford,Indiana Jones and the Temple of Doom,Indiana Jones
Arnold Schwarzenegger,The Terminator,Terminator
William Shatner,Star Trek III: The Search for Spock,James T. Kirk
Michael J. Fox,Back to the Future,Marty McFly
Hume Cronyn,Cocoon,Joe Finley
Louis Gossett Jr.,Enemy Mine,Jeriba 'Jerry' Shigan
James Karen,The Return of the Living Dead,Frank
Chris Sarandon,Fright Night,Jerry Dandrige
Jeff Goldblum,The Fly,Seth Brundle
Michael Biehn,Aliens,Corporal Dwayne Hicks
Leonard Nimoy,Star Trek IV: The Voyage Home,Spock
Anthony Perkins,Psycho III,Norman Bates
William Shatner,Star Trek IV: The Voyage Home,James T. Kirk
Jack Nicholson,The Witches of Eastwick,Daryl Van Horne
Lance Henriksen,Pumpkinhead,Ed Harley
Michael Nouri,The Hidden,Det. Tom Beck
Terry O'Quinn,The Stepfather,Jerry Blake
Arnold Schwarzenegger,Predator,Major Alan Dutch Schaefer
Peter Weller,RoboCop,Alex Murphy / RoboCop
Tom Hanks,Big,Josh Baskin
Hume Cronyn,Cocoon: The Return,Joe Finley
Bob Hoskins,Who Framed Roger Rabbit,Eddie Valiant
Jeremy Irons,Dead Ringers,Beverly Mantle / Elliot Mantle
Bill Murray,Scrooged,Frank Cross
James Spader,Jack's Back,John / Rick Wesford
Jeff Daniels,Arachnophobia,Dr. Ross Jennings
Warren Beatty,Dick Tracy,Dick Tracy
Harrison Ford,Indiana Jones and the Last Crusade,Indiana Jones
Ed Harris,The Abyss,Virgil 'Bud' Brigman
Axel Jodorowsky,Santa Sangre,Fenix
Liam Neeson,Darkman,Peyton Westlake / Darkman
Jack Nicholson,Batman,Jack Napier / The Joker
Arnold Schwarzenegger,Total Recall,Douglas Quaid / Hauser
Patrick Swayze,Ghost,Sam Wheat
