col0,col1
Fatima-Zohra Bouchra,weightlifting at the 2016 Summer Olympics - women's 75 kg
Joana Palacios,Women's 58 kg
Nazik Avdalyan,Women's 69 kg
Sona Poghosyan,weightlifting at the 2016 Summer Olympics - women's 75 kg
Tia-Clair Toomey,Women's 58 kg
Anastasiya Mikhalenka,Women's 69 kg
Darya Pachabut,weightlifting at the 2016 Summer Olympics - women's 69 kg
Darya Naumava,weightlifting at the 2016 Summer Olympics - women's 75 kg
Rosane Santos,Women's 53 kg
Jaqueline Ferreira,weightlifting at the 2016 Summer Olympics - women's 75 kg
Arcangeline Fouodji,Women's 69 kg
Marie-Ève Beauchemin-Nadeau,Women's 69 kg
María Fernanda Valdés,Women's 75 kg
Li Yajun,Women's 53 kg
Deng Wei,Women's 63 kg
Xiang Yanmei,weightlifting at the 2016 Summer Olympics - women's 69 kg
Meng Suping,Women's +75 kg
Chen Wei-ling,Women's 48 kg
Hsu Shu-ching,Women's 53 kg
Kuo Hsing-chun,weightlifting at the 2016 Summer Olympics - women's 58 kg
Lin Tzu-chi,Women's 63 kg
Lina Rivas,Women's 58 kg
Mercedes Pérez,Women's 63 kg
Leydi Solís,weightlifting at the 2016 Summer Olympics - women's 69 kg
Ubaldina Valoyes,Women's 75 kg
Luisa Peters,Women's +75 kg
Marina Rodríguez,Women's 63 kg
Beatriz Pirón,Women's 48 kg
Yuderqui Contreras,weightlifting at the 2016 Summer Olympics - women's 58 kg
Alexandra Escobar,weightlifting at the 2016 Summer Olympics - women's 58 kg
Neisi Dajomes,weightlifting at the 2016 Summer Olympics - women's 69 kg
Esraa El-Sayed,Women's 63 kg
Sara Ahmed,Women's 69 kg
Shaimaa Khalaf,Women's +75 kg
Apolonia Vaivai,weightlifting at the 2016 Summer Olympics - women's 69 kg
Anni Vuohijoki,Women's 63 kg
Gaëlle Nayo-Ketchanke,Women's 75 kg
Sabine Kusterer,weightlifting at the 2016 Summer Olympics - women's 58 kg
Rebekah Tiler,Women's 69 kg
Saikhom Mirabai Chanu,Women's 48 kg
Sri Wahyuni Agustiani,Women's 48 kg
Dewi Safitri,Women's 53 kg
Giorgia Bordignon,Women's 63 kg
Hiromi Miyake,Women's 48 kg
Kanae Yagi,Women's 53 kg
Mikiko Ando,weightlifting at the 2016 Summer Olympics - women's 58 kg
Namika Matsumoto,Women's 63 kg
Margarita Yelisseyeva,Women's 48 kg
Karina Goricheva,Women's 63 kg
Zhazira Zhapparkul,Women's 69 kg
Zhanyl Okoeva,Women's 48 kg
Rebeka Koha,Women's 53 kg
Elisa Ravololoniaina,Women's 63 kg
Mathlynn Sasser,Women's 58 kg
Roilya Ranaivosoa,Women's 48 kg
Mónica Domínguez,weightlifting at the 2016 Summer Olympics - women's 58 kg
Eva Gurrola,Women's 63 kg
Alejandra Garza,weightlifting at the 2016 Summer Olympics - women's 75 kg
Ankhtsetseg Munkhjantsan,weightlifting at the 2016 Summer Olympics - women's 69 kg
Samira Ouass,weightlifting at the 2016 Summer Olympics - women's 75 kg
Tracey Lambrechs,Women's +75 kg
Scarleth Mercado,Women's 53 kg
Mariam Usman,Women's +75 kg
Choe Hyo-sim,Women's 63 kg
Rim Jong-sim,weightlifting at the 2016 Summer Olympics - women's 75 kg
Kim Kuk-hyang,Women's +75 kg
Fiorella Cueva,Women's 48 kg
Hidilyn Diaz,Women's 53 kg
Patrycja Piechowiak,Women's 69 kg
Lely Burgos,Women's 48 kg
Florina-Sorina Hulpan,Women's 69 kg
Andreea Aanei,Women's +75 kg
Tima Turieva,Women's 63 kg
Anastasiya Romanova,weightlifting at the 2016 Summer Olympics - women's 69 kg
Tatiana Kashirina,Women's +75 kg
Mary Opeloge,Women's 75 kg
Jenly Tegu Wini,Women's 58 kg
Yoon Jin-hee,Women's 53 kg
Lee Hui-sol,Women's +75 kg
Son Young-hee,Women's +75 kg
Lydia Valentín,weightlifting at the 2016 Summer Olympics - women's 75 kg
Angelica Roos,weightlifting at the 2016 Summer Olympics - women's 58 kg
Sopita Tanasan,Women's 48 kg
Pimsiri Sirikaew,Women's 58 kg
Sukanya Srisurat,weightlifting at the 2016 Summer Olympics - women's 58 kg
Siripuch Gulnoi,Women's 63 kg
Yosra Dhieb,Women's +75 kg
Mehtap Kurnaz,Women's 63 kg
Duygu Aynacı,weightlifting at the 2016 Summer Olympics - women's 69 kg
Assiya İpek,Women's 75 kg
Gulnabat Kadyrova,Women's 69 kg
Yuliya Paratova,Women's 53 kg
Veronika Ivasyuk,Women's 58 kg
Iryna Dekha,weightlifting at the 2016 Summer Olympics - women's 75 kg
Anastasiya Lysenko,Women's +75 kg
Aisha Al-Balushi,Women's 58 kg
Morghan King,Women's 48 kg
Jenny Arthur,weightlifting at the 2016 Summer Olympics - women's 75 kg
Sarah Robles,Women's +75 kg
Sofía Rito,Women's 53 kg
Génesis Rodríguez,Women's 53 kg
Yaniuska Espinosa,Women's 75 kg
Naryury Pérez,weightlifting at the 2016 Summer Olympics - women's 75 kg
Vương Thị Huyền,Women's 48 kg
