col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
2001,Team Take One,McLaren F1 GTR,GT500,TAI,Fuji International Speedway,SUG,FUJ,MOT,SUZ,MIN,,9th,38
2004,Toyota Team SARD,Toyota Celica Supra,GT500,TAI,SUG,SEP,TOK,MOT,AUT,SUZ,,2nd,61
2005,Toyota Team SARD,Toyota Celica XX,GT500,OKA,Fuji International Speedway,SEP,SUG,MOT,FUJ,AUT,SUZ,16th,21
2006,Toyota Team SARD,Toyota Supra,GT500,SUZ,OKA,Fuji International Speedway,SEP,SUG,SUZ,MOT,AUT,23rd,13
2007,Toyota Team SARD,Lexus SC430,GT500,SUZ,OKA,FUJ,SEP,SUG,SUZ,MOT,AUT,15th,21
2008,Toyota Team SARD,Lexus SC430,GT500,SUZ,OKA,Fuji International Speedway,SEP,SUG,SUZ,MOT,AUT,21st,11
2009,Lexus Team SARD,Lexus SC430,GT500,OKA,SUZ,FUJ,SEP,SUG,SUZ,Fuji International Speedway,AUT,14th,27
2010,Lexus Team SARD,Lexus SC430,GT500,SUZ,OKA,Fuji International Speedway,SEP,SUG,SUZ,FUJ,MOT,13th,12
2011,Lexus Team Kraft,Lexus SC430,GT500,OKA,FUJ,SEP,SUG,SUZ,FUJ,AUT,MOT,15th,7
2012,Lexus Team WedsSport BANDOH,Lexus SC430,GT500,OKA,Fuji International Speedway,SEP,SUG,SUZ,Fuji International Speedway,AUT,MOT,9th,36
2013,Lexus Team WedsSport BANDOH,Lexus SC430,GT500,OKA,FUJ,SEP,SUG,SUZ,Fuji International Speedway,AUT,MOT,14th,9
2014,Pacific Racing Team,Porsche 911 GT3,GT300,OKA,FUJ,AUT,SUG,FUJ,SUZ,BUR,MOT,30th,5
2015,Gainer,Nissan GTR,GT300,OKA,FUJ,CHA,Fuji International Speedway,SUZ,SUG,AUT,MOT,1st,94
2016,Gainer,Nissan GT-R GT3,GT300,OKA,FUJ,SUG,FUJ,SUZ,CHA,MOT,MOT,8th,38
2017,D'station Racing,Porsche 911 GT3,GT300,OKA,Fuji International Speedway,AUT,SUG,FUJ,SUZ,CHA,MOT,22nd,4
2019,JLOC,Lamborghini Huracán GT3,GT300,OKA,FUJ,SUZ,CHA,FUJ,AUT,SUG,MOT,8th,29
2020,JLOC,Lamborghini Huracán GT3,GT300,OKA,FUJ,AUT,SUG,MOT,SUZ,CHA,SEP,*,*
