col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
Batley and Spen / Spen Valley (2024),Wood,Michael Roy Wood,Cox,Brabin,Tracy Lynn Brabin,Tracy Lynn Brabin,Leadbeater,Leadbeater,Leadbeater
Bradford East,Ward,Ward,Hussain,Hussain,Hussain,Hussain,Hussain,Hussain,Hussain
Bradford South,Sutcliffe,Sutcliffe,Cummins,Judith Mary Cummins,Cummins,Judith Mary Cummins,Cummins,Cummins,Cummins
Bradford West,Singh,Galloway,Shah,Naseem Shah,Shah,Naseem Shah,Shah,Shah,Shah
Calder Valley,Whittaker,Whittaker,Whittaker,Whittaker,Whittaker,Whittaker,Whittaker,Whittaker,Fenton-Glynn
Colne Valley,McCartney,McCartney,Jason Alexander McCartney,McCartney,Walker,Jason Alexander McCartney,McCartney,Jason Alexander McCartney,Davies
Dewsbury / Dewsbury & Batley (2024),Simon Justin Reevell,Simon Justin Reevell,Paula Michelle Sherriff,Sherriff,Sherriff,Eastwood,Mark Simon Eastwood,Mark Simon Eastwood,Mohamed
Elmet and Rothwell 1,Shelbrooke,Shelbrooke,Shelbrooke,Alec Edward Shelbrooke,Alec Edward Shelbrooke,Alec Edward Shelbrooke,Alec Edward Shelbrooke,Alec Edward Shelbrooke,N/A
Halifax,Riordan,Riordan,Lynch,Lynch,Lynch,Lynch,Lynch,Lynch,Dearden
Hemsworth / Normanton & Hemsworth (2024),Trickett,Trickett,Trickett,Trickett,Trickett,Trickett,Trickett,Trickett,Trickett
Huddersfield,Sheerman,Sheerman,Sheerman,Sheerman,Sheerman,Sheerman,Sheerman,Sheerman,Uppal
Keighley / Keighley & Ilkley (2024),Hopkins,Hopkins,Hopkins,Hopkins,Grogan,Moore,Moore,Moore,Moore
Leeds Central / Leeds South (2024),Benn,Benn,Benn,Benn,Benn,Benn,Benn,Benn,Benn
Leeds East,Mudie,Mudie,Burgon,Burgon,Burgon,Burgon,Burgon,Burgon,Burgon
Leeds North East,Hamilton,Hamilton,Hamilton,Hamilton,Hamilton,Hamilton,Hamilton,Hamilton,Hamilton
Leeds North West,Mulholland,Mulholland,Mulholland,Mulholland,Sobel,Sobel,Sobel,Sobel,White
Leeds West / Leeds Central & Headingley (2024),Reeves,Reeves,Reeves,Reeves,Reeves,Reeves,Reeves,Reeves,Sobel
Morley & Outwood / Leeds SW & Morley (2024),Balls,Balls,Jenkyns,Jenkyns,Jenkyns,Jenkyns,Jenkyns,Jenkyns,Sewards
"Normanton, Pontefract & Castleford / P., C. & Knottingley ('24)",Cooper,Cooper,Cooper,Cooper,Cooper,Cooper,Cooper,Cooper,Cooper
Pudsey / Leeds West & Pudsey (2024),Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Reeves
Shipley,Davies,Davies,Davies,Davies,Davies,Davies,Davies,Davies,Dixon
Wakefield / Wakefield & Rothwell (2024),Creagh,Creagh,Creagh,Creagh,Creagh,Ahmad Khan,→,Lightwood,Lightwood
