col0,col1,col2,col3,col4
1974,Vingrom,Ivar Olaus Nordkild,Kjell Hovda,Esten Gjelten
1975,Mo i Rana,Bjørn Sirijord,Tor Svendsberget,Svein Engen
1976,Melhus,Sigleif Johansen,Svein Engen,Bjørn Sirijord
1977,Furnes,Svein Engen,Sigleif Johansen,Tor Svendsberget
1978,Voss,Sigleif Johansen,Terje Krokstad,Tor Northug
1979,Øvrebø,Kjell Søbak,Odd Lirhus,Svein Engen
1980,Austmarka,Odd Lirhus,Terje Krokstad,Roar Nilsen
1981,Bardufoss,Sigleif Johansen,Rolf Storsveen,Svein Engen
1982,Steinkjer,Terje Krokstad,Eirik Kvalfoss,Johnny Rognstad
1983,Lygna,Kjell Søbak,Johnny Rognstad,Øivind Nerhagen
1984,Vossestrand,Johnny Rognstad,Eirik Kvalfoss,Øivind Nerhagen
1985,Fyresdal,Eirik Kvalfoss,Kjell Søbak,Johnny Rognstad
1986,Geilo,Eirik Kvalfoss,Øivind Nerhagen,Geir Einang
1987,Tromsø,Eirik Kvalfoss,Gisle Fenne,Geir Einang
1988,Dombås,Geir Einang,Eirik Kvalfoss,Hans Jørgen Tveito
1989,Sørskogsbygda,Frode Løberg,Ivar Michal Ulekleiv,Geir Einang
1990,Voss,Sverre Istad,Eirik Kvalfoss,Gisle Fenne
1991,Steinkjer,Jon Åge Tyldum,Eirik Kvalfoss,Geir Einang
1992,Skrautvål,Jon Åge Tyldum,Gisle Fenne,Tor Espen Kristiansen
1993,Brumunddal,Ivar Michal Ulekleiv,Dag Bjørndalen,Jon Åge Tyldum
1994,Trondheim,Sylfest Glimsdal,Halvard Hanevold,Frode Andresen
1995,Fet,Jon Åge Tyldum,Sylfest Glimsdal,Jon Per Nygaard
1996,Brumunddal,Frode Andresen,Jon Åge Tyldum,Dag Bjørndalen
1997,Snåsa,Ole Einar Bjørndalen,Sylfest Glimsdal,Halvard Hanevold
1998,Dokka   Dombås,Halvard Hanevold,Dag Bjørndalen,Frode Andresen
1999,Tana,Dag Bjørndalen,Frode Andresen,Sylfest Glimsdal
2000,Meråker   Ål,Ole Einar Bjørndalen,Frode Andresen,Halvard Hanevold
2001,Ål,Ole Einar Bjørndalen,Frode Andresen,Dag Bjørndalen
2002,Nordfjordeid,Ole Einar Bjørndalen,Egil Gjelland,Frode Andresen
2003,Tromsø,Egil Gjelland,Tor Halvor Bjørnstad,Dag Bjørndalen
2004,Steinkjer,Lars Berger,Halvard Hanevold,Ole Einar Bjørndalen
2005,Bossmo   Ytteren   Skonseng,Frode Andresen,Stian Eckhoff,Halvard Hanevold
2006,Trondheim   Byåsen,Stian Eckhoff,Ole Einar Bjørndalen,Frode Andresen
2007,Folldal,Ole Einar Bjørndalen,Magne Thorleiv Rønning   Stian Eckhoff,—
2008,Stryn,Emil Hegle Svendsen,Alexander Os,Stian Eckhoff
2009,Lillehammer,Alexander Os,Ronny Hafsås,Ole Einar Bjørndalen
2010,Simostranda,Emil Hegle Svendsen,Henrik L'Abée-Lund,Alexander Os
2011,Målselv,Tarjei Bø,Alexander Os,Dag Erik Kokkin
2012,Trondheim,Emil Hegle Svendsen,Lars Berger,Stian Gilje
2013,Dombås,Lars Berger,Johannes Thingnes Bø,Emil Hegle Svendsen
2014,Voss,Johannes Thingnes Bø,Erlend Bjøntegaard,Kristoffer Langøien Skjelvik
2015,Sirdal,Bjarte Solvang,Fredrik Gjesbakk,Lars Gunnar Skjevdal
2016,Dombås,Thomas Fenne,Andreas Dahlø Wærnes,Johannes Dale
