col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
Addison,"2,147",85.27,270,10.72,24,0.95,32,1.27,2,0.08,43,1.71,"2,518"
"Bennington County, VT","1,996",87.24,217,9.48,18,0.79,20,0.87,1,0.04,36,1.57,"2,288"
"Caledonia County, Vermont","1,821",87.30,181,8.68,18,0.86,27,1.29,7,0.34,32,1.53,"2,086"
"Chittenden County, Vermont","6,660",84.98,881,11.24,73,0.93,111,1.42,9,0.11,103,1.31,"7,837"
Essex,681,92.65,24,3.27,3,0.41,13,1.77,0,0,14,1.90,735
Franklin,"3,307",89.60,264,7.15,34,0.92,42,1.14,0,0,44,1.19,"3,691"
Grand Isle,633,90.95,43,6.18,4,0.57,6,0.86,0,0,10,1.44,696
Lamoille,"1,036",84.36,150,12.21,10,0.81,23,1.87,2,0.16,7,0.57,"1,228"
Orange,"1,391",83.59,215,12.92,15,0.90,19,1.14,2,0.12,22,1.32,"1,664"
Orleans,"1,392",90.04,113,7.31,11,0.71,12,0.78,0,0,18,1.16,"1,546"
"Rutland County, VT","5,303",90.63,399,6.82,43,0.73,70,1.20,3,0.05,33,0.56,"5,851"
Washington,"2,875",82.31,486,13.91,46,1.32,30,0.86,6,0.17,50,1.43,"3,493"
Windham,"1,581",82.22,275,14.30,15,0.78,27,1.40,3,0.16,22,1.14,"1,923"
Windsor,"3,161",84.63,453,12.13,27,0.72,48,1.29,2,0.05,44,1.18,"3,735"
Total,"33,984",86.49,"3,971",10.11,341,0.87,480,1.22,37,0.09,478,1.22,"39,291"
