col0,col1,col2,col3,col4,col5,col6,col7,col8
Opponent,Agg.,1st leg,2nd leg,Qualifying phase,Opponent,Agg.,1st leg,2nd leg
Bye,Bye,Bye,Bye,Third qualifying round,Tirol Innsbruck,4-1,0-0 (A),4-1 (H)
Opponent,Result,Result,Result,First group stage,Opponent,Result,Result,Result
Helsingborgs IF,3-1 (A),3-1 (A),3-1 (A),Matchday 1,Olympiacos,2-1 (H),2-1 (H),2-1 (H)
Rosenborg,3-1 (H),3-1 (H),3-1 (H),Matchday 2,Heerenveen,1-0 (A),1-0 (A),1-0 (A)
Paris Saint-Germain,0-1 (A),0-1 (A),0-1 (A),Matchday 3,Lyon,1-0 (H),1-0 (H),1-0 (H)
Paris Saint-Germain,2-0 (H),2-0 (H),2-0 (H),Matchday 4,Lyon,2-1 (A),2-1 (A),2-1 (A)
Helsingborgs IF,0-0 (H),0-0 (H),0-0 (H),Matchday 5,Olympiacos,0-1 (A),0-1 (A),0-1 (A)
Rosenborg,1-1 (A),1-1 (A),1-1 (A),Matchday 6,Heerenveen,1-1 (H),1-1 (H),1-1 (H)
Group F winners,Group F winners,Group F winners,Group F winners,Final standings,Group C winners,Group C winners,Group C winners,Group C winners
Opponent,Result,Result,Result,Second group stage,Opponent,Result,Result,Result
Lyon,1-0 (H),1-0 (H),1-0 (H),Matchday 1,Sturm Graz,2-0 (H),2-0 (H),2-0 (H)
Arsenal,2-2 (A),2-2 (A),2-2 (A),Matchday 2,Panathinaikos,0-0 (A),0-0 (A),0-0 (A)
Spartak Moscow,1-0 (H),1-0 (H),1-0 (H),Matchday 3,Manchester United,0-0 (H),0-0 (H),0-0 (H)
Spartak Moscow,3-0 (A),3-0 (A),3-0 (A),Matchday 4,Manchester United,1-1 (A),1-1 (A),1-1 (A)
Lyon,0-3 (A),0-3 (A),0-3 (A),Matchday 5,Sturm Graz,5-0 (A),5-0 (A),5-0 (A)
Arsenal,1-0 (H),1-0 (H),1-0 (H),Matchday 6,Panathinaikos,2-1 (H),2-1 (H),2-1 (H)
Group C winners,Group C winners,Group C winners,Group C winners,Final standings,Group A winners,Group A winners,Group A winners,Group A winners
Opponent,Agg.,1st leg,2nd leg,Knockout phase,Opponent,Agg.,1st leg,2nd leg
Manchester United,3-1,1-0 (A),2-1 (H),Quarter-finals,Arsenal,2-2 (a),1-2 (A),1-0 (H)
Real Madrid,3-1,1-0 (A),2-1 (H),Semi-finals,Leeds United,3-0,0-0 (A),3-0 (H)
