col0,col1,col2,col3,col4,col5,col6
East,,John Cinicola,Eastern,Round of 32,VMI,L 73-66
East,,Roger Gaeckler,East Coast,Round of 32,Notre Dame,L 90-83
East,Kentucky,Joe Beasman Hall,Southeastern,Regional Runner-up,North Carolina,L 79-72
East,1976–77 North Carolina Tar Heels men's basketball season,Dean Smith,Atlantic Coast,Runner Up,Marquette,L 67-59
East,Notre Dame,Digger Phelps,Independent,Sweet Sixteen,North Carolina,L 79-77
East,Princeton,Pete Carril,Ivy League,Round of 32,Kentucky,L 72-58
East,Purdue,Fred Schaus,Big Ten,Round of 32,1976–77 North Carolina Tar Heels men's basketball season,L 69-66
East,VMI,Charlie Schmaus,Southern,Sweet Sixteen,Kentucky,L 93-78
Mideast,Mideast,Mideast,Mideast,Mideast,Mideast,Mideast
Mideast,,Dick Parfitt,Mid-American,Round of 32,UNC Charlotte,L 91-86
Mideast,UNC Charlotte,Lee Rose,Sun Belt,Fourth Place,UNLV,L 106-94
Mideast,Detroit,Dick Vitale,Independent,Sweet Sixteen,Michigan,L 86-81
Mideast,,George Blaney,Independent,Round of 32,Michigan,L 92-81
Mideast,Michigan,Johnny Orr,Big Ten,Regional Runner-up,UNC Charlotte,L 75-68
Mideast,,Jimmy Earle,Ohio Valley,Round of 32,Detroit,L 93-76
Mideast,Syracuse,Jim Boeheim,Independent,Sweet Sixteen,UNC Charlotte,L 81-59
Mideast,,Ray Mears,Southeastern,Round of 32,Syracuse,L 93-88
Midwest,Midwest,Midwest,Midwest,Midwest,Midwest,Midwest
Midwest,Arizona,Fred Snowden,Western Athletic,Round of 32,Southern Illinois,L 81-77
Midwest,Arkansas,Eddie Sutton,Southwest,Round of 32,Wake Forest,L 86-80
Midwest,Cincinnati,Gale Catlett,Metropolitan,Round of 32,Marquette,L 66-51
Midwest,Kansas State,Jack Hartman,Big Eight,Sweet Sixteen,Marquette,L 67-66
Midwest,Marquette,Al McGuire,Independent,Champion,North Carolina,W 67-59
Midwest,Providence,Dave Gavitt,Independent,Round of 32,Kansas State,L 87-80
Midwest,Southern Illinois,Paul Lambert,Missouri Valley,Sweet Sixteen,Wake Forest,L 86-81
Midwest,Wake Forest,Carl Tacy,Atlantic Coast,Regional Runner-up,Marquette,L 82-68
West,West,West,West,West,West,West
West,Idaho State,Jim Killingsworth,Big Sky,Regional Runner-up,UNLV,L 107-90
West,,Dwight Jones,Pacific Coast,Round of 32,Idaho State,L 83-72
West,Louisville,Denny Crum,Metropolitan,Round of 32,UCLA,L 87-79
West,,Bob Gaillard,West Coast,Round of 32,UNLV,L 121-95
West,St. John's,Lou Carnesecca,Independent,Round of 32,Utah,L 72-68
West,UCLA,Gene Bartow,Pacific-8,Sweet Sixteen,Idaho State,L 76-75
West,UNLV,Jerry Tarkanian,Independent,Third Place,UNC Charlotte,W 106-94
West,Utah,Jerry Pimm,Western Athletic,Sweet Sixteen,UNLV,L 83-88
